,what,non-chinese,empire,did,the,yuan,dynasty,succeed,?
the,0.42745697498321533,0.26123887300491333,0.32532164454460144,0.34736719727516174,1.0,0.2548272907733917,0.26267939805984497,0.21317096054553986,0.22068053483963013
yuan,0.13503028452396393,0.5070703625679016,0.2975424826145172,0.1467057168483734,0.2548272907733917,1.0,0.49336904287338257,0.15639826655387878,0.12871281802654266
dynasty,0.17240095138549805,0.3711431622505188,0.43554046750068665,0.19201454520225525,0.26267939805984497,0.49336904287338257,1.0,0.13538211584091187,0.15884074568748474
is,0.28837618231773376,0.1939641237258911,0.18343110382556915,0.19247472286224365,0.5823672413825989,0.1437031477689743,0.16410371661186218,0.20076440274715424,0.22961433231830597
considered,0.2834889590740204,0.1977630853652954,0.23529143631458282,0.2623664438724518,0.4028765559196472,0.09289617091417313,0.16050711274147034,0.24240419268608093,0.19909770786762238
both,0.3361809551715851,0.16991980373859406,0.21069614589214325,0.34255191683769226,0.4931981563568115,0.10960843414068222,0.058194562792778015,0.2618466019630432,0.19455738365650177
a,0.3320399522781372,0.2461957186460495,0.1900206059217453,0.2552328109741211,0.5829201340675354,0.18084076046943665,0.14993494749069214,0.17377811670303345,0.23916715383529663
successor,0.14961299300193787,0.07881135493516922,0.20978207886219025,0.2361486852169037,0.14193344116210938,0.21674972772598267,0.17761319875717163,0.4911651909351349,0.0913006067276001
to,0.455847829580307,0.17646566033363342,0.21448755264282227,0.4452643394470215,0.535392165184021,0.1499021351337433,0.1214921623468399,0.27684369683265686,0.29463258385658264
the,0.42745697498321533,0.26123887300491333,0.32532164454460144,0.34736719727516174,1.0,0.2548272907733917,0.26267939805984497,0.21317096054553986,0.22068053483963013
mongol,0.15870186686515808,0.3914998769760132,0.45230501890182495,0.17534953355789185,0.2924198508262634,0.5039428472518921,0.5123041272163391,0.14583392441272736,0.12849251925945282
empire,0.21723191440105438,0.19993525743484497,1.0000001192092896,0.18850058317184448,0.32532164454460144,0.2975424826145172,0.43554046750068665,0.17200471460819244,0.14909450709819794
and,0.31309178471565247,0.2727651000022888,0.27479609847068787,0.34479495882987976,0.5171257257461548,0.22359056770801544,0.21357402205467224,0.19787050783634186,0.20544172823429108
an,0.2821882665157318,0.18636251986026764,0.16588738560676575,0.22598257660865784,0.4207492768764496,0.0947575569152832,0.17141813039779663,0.2094903141260147,0.19793890416622162
imperial,0.09280271828174591,0.32782256603240967,0.3880499303340912,0.16254396736621857,0.3074202835559845,0.3571368157863617,0.36272624135017395,0.10080599784851074,0.10900196433067322
chinese,0.11643128097057343,0.9166719317436218,0.19877436757087708,0.19065357744693756,0.2785343527793884,0.5665212273597717,0.39861640334129333,0.07616005837917328,0.20843194425106049
dynasty,0.17240095138549805,0.3711431622505188,0.43554046750068665,0.19201454520225525,0.26267939805984497,0.49336904287338257,1.0,0.13538211584091187,0.15884074568748474
.,0.3567904531955719,0.27102455496788025,0.2811720371246338,0.35288307070732117,0.5934505462646484,0.17233723402023315,0.20616187155246735,0.2547087073326111,0.4130953550338745
