,what,group,of,scientists,seek,to,measure,the,amounts,of,oxygen,in,marine,animals,?
paleoclimatologists,0.3709169626235962,0.20217593014240265,0.22044017910957336,0.6228252649307251,0.2232387661933899,0.26606786251068115,0.2994994819164276,0.26908668875694275,0.32862389087677,0.22044017910957336,0.2701927423477173,0.21319764852523804,0.3420785665512085,0.4067094326019287,0.19191481173038483
measure,0.2807709276676178,0.14543575048446655,0.22469913959503174,0.30554455518722534,0.20093412697315216,0.2774736285209656,1.0000001192092896,0.2528008222579956,0.3501283824443817,0.22469913959503174,0.22250457108020782,0.17892111837863922,0.13930676877498627,0.21524110436439514,0.22092340886592865
the,0.42745697498321533,0.30795547366142273,0.733189046382904,0.25988271832466125,0.24523614346981049,0.535392165184021,0.2528008222579956,1.0,0.2816965878009796,0.733189046382904,0.20428593456745148,0.6662389636039734,0.2547752857208252,0.2939487397670746,0.22068053483963013
ratio,0.19170942902565002,0.16415315866470337,0.23306086659431458,0.1567358523607254,0.14724072813987732,0.21343077719211578,0.47186514735221863,0.22872252762317657,0.2916211485862732,0.23306086659431458,0.22978827357292175,0.14171719551086426,0.10089430958032608,0.13731026649475098,0.13298895955085754
of,0.33290785551071167,0.25542253255844116,1.0,0.20474955439567566,0.2027195245027542,0.41548454761505127,0.22469913959503174,0.733189046382904,0.25878721475601196,1.0,0.16848602890968323,0.5696388483047485,0.24999871850013733,0.2599885165691376,0.1826142966747284
oxygen-18,0.19612939655780792,0.22636935114860535,0.1664983332157135,0.25012749433517456,0.12044873088598251,0.251079261302948,0.23596885800361633,0.20634572207927704,0.41334235668182373,0.1664983332157135,0.9602074027061462,0.1496700793504715,0.31322240829467773,0.306212455034256,0.17341867089271545
and,0.31309178471565247,0.3510662019252777,0.5116966962814331,0.20514336228370667,0.2554384469985962,0.48971283435821533,0.23739957809448242,0.5171257257461548,0.33048760890960693,0.5116966962814331,0.22261030972003937,0.4954058527946472,0.24699723720550537,0.3589221239089966,0.20544172823429108
oxygen-16,0.22204910218715668,0.2239396721124649,0.18333350121974945,0.2491385042667389,0.14207462966442108,0.27982771396636963,0.2588125169277191,0.22801755368709564,0.41981998085975647,0.18333350121974945,0.9598668813705444,0.1697354018688202,0.2912762761116028,0.30221158266067505,0.18815967440605164
in,0.30808621644973755,0.2304753065109253,0.5696388483047485,0.1995355486869812,0.1813114583492279,0.45010748505592346,0.17892111837863922,0.6662389636039734,0.2579386234283447,0.5696388483047485,0.1672476977109909,1.0,0.24858763813972473,0.26300355792045593,0.20430970191955566
the,0.42745697498321533,0.30795547366142273,0.733189046382904,0.25988271832466125,0.24523614346981049,0.535392165184021,0.2528008222579956,1.0,0.2816965878009796,0.733189046382904,0.20428593456745148,0.6662389636039734,0.2547752857208252,0.2939487397670746,0.22068053483963013
shells,0.21712204813957214,0.19026517868041992,0.2221994549036026,0.1699952334165573,0.14731794595718384,0.2210269272327423,0.1986057609319687,0.2135874330997467,0.2867581248283386,0.2221994549036026,0.30010971426963806,0.21573378145694733,0.41937682032585144,0.34786295890808105,0.12549249827861786
and,0.31309178471565247,0.3510662019252777,0.5116966962814331,0.20514336228370667,0.2554384469985962,0.48971283435821533,0.23739957809448242,0.5171257257461548,0.33048760890960693,0.5116966962814331,0.22261030972003937,0.4954058527946472,0.24699723720550537,0.3589221239089966,0.20544172823429108
skeletons,0.2375204861164093,0.17640525102615356,0.23421138525009155,0.26878130435943604,0.147412970662117,0.2266983836889267,0.07249274104833603,0.24023963510990143,0.2611621916294098,0.23421138525009155,0.2643257975578308,0.2566380202770233,0.2615150809288025,0.3965519666671753,0.13581369817256927
of,0.33290785551071167,0.25542253255844116,1.0,0.20474955439567566,0.2027195245027542,0.41548454761505127,0.22469913959503174,0.733189046382904,0.25878721475601196,1.0,0.16848602890968323,0.5696388483047485,0.24999871850013733,0.2599885165691376,0.1826142966747284
marine,0.15737493336200714,0.23392561078071594,0.24999871850013733,0.225783571600914,0.12450294941663742,0.19042746722698212,0.13930676877498627,0.2547752857208252,0.17173713445663452,0.24999871850013733,0.27884531021118164,0.24858763813972473,0.9999999403953552,0.3240569829940796,0.1407923698425293
organisms,0.22214920818805695,0.23015046119689941,0.23870134353637695,0.3225896954536438,0.23375655710697174,0.26437875628471375,0.2419699728488922,0.22463196516036987,0.3836466073989868,0.23870134353637695,0.42718103528022766,0.21345661580562592,0.43775826692581177,0.5857773423194885,0.22621455788612366
to,0.455847829580307,0.2672896385192871,0.41548454761505127,0.27814680337905884,0.39650240540504456,1.0,0.2774736285209656,0.535392165184021,0.3106820285320282,0.41548454761505127,0.24193501472473145,0.45010748505592346,0.19042746722698212,0.28293174505233765,0.29463258385658264
