,when,was,warsaw,ranked,as,the,32nd,most,liveable,city,in,the,world,?
in,0.4431333839893341,0.45514053106307983,0.22642600536346436,0.2005387395620346,0.3887844979763031,0.6662389636039734,0.19283370673656464,0.41416558623313904,0.3127102851867676,0.3911624252796173,1.0,0.6662389636039734,0.3038199245929718,0.20430970191955566
2012,0.30712300539016724,0.2899843454360962,0.1839955449104309,0.21894297003746033,0.3424225151538849,0.46885523200035095,0.05954980477690697,0.3107450008392334,0.27151283621788025,0.47211799025535583,0.3800647258758545,0.46885523200035095,0.18015985190868378,0.18042556941509247
the,0.5091903209686279,0.48711544275283813,0.23137180507183075,0.2711145281791687,0.48381632566452026,1.0,0.19098703563213348,0.47635307908058167,0.33734244108200073,0.35769423842430115,0.6662389636039734,1.0,0.33604270219802856,0.22068053483963013
economist,0.1240948811173439,0.2793600261211395,0.2591789662837982,0.2260778397321701,0.16131366789340973,0.1439521312713623,0.14476804435253143,0.1464434713125229,0.21837836503982544,0.15407061576843262,0.15501753985881805,0.1439521312713623,0.13693705201148987,0.15311987698078156
intelligence,0.20239828526973724,0.20633065700531006,0.1852586567401886,0.15876230597496033,0.20263098180294037,0.25918135046958923,0.10373584181070328,0.20260556042194366,0.21341340243816376,0.08705031871795654,0.18166935443878174,0.25918135046958923,0.20582500100135803,0.13662627339363098
unit,0.18762949109077454,0.16887609660625458,0.14918622374534607,0.17498937249183655,0.2282111644744873,0.24230392277240753,0.09446597844362259,0.11082901060581207,0.15223979949951172,0.11575823277235031,0.21935637295246124,0.24230392277240753,0.08472252637147903,0.09069886058568954
ranked,0.08116722106933594,0.28979501128196716,0.12046059966087341,1.0000001192092896,0.20884878933429718,0.2711145281791687,0.09848169982433319,0.3533777892589569,0.17644378542900085,0.19627226889133453,0.2005387395620346,0.2711145281791687,0.29597607254981995,0.12953443825244904
warsaw,0.1615014374256134,0.2614976763725281,1.0,0.12046059966087341,0.14492812752723694,0.23137180507183075,0.10472341626882553,0.06817606836557388,0.1851615458726883,0.25006377696990967,0.22642600536346436,0.23137180507183075,0.2137570083141327,0.09769917279481888
as,0.4437963366508484,0.3677520453929901,0.14492812752723694,0.20884878933429718,1.0,0.48381632566452026,0.14948520064353943,0.3548237979412079,0.26593294739723206,0.21195319294929504,0.3887844979763031,0.48381632566452026,0.22848254442214966,0.27043893933296204
the,0.5091903209686279,0.48711544275283813,0.23137180507183075,0.2711145281791687,0.48381632566452026,1.0,0.19098703563213348,0.47635307908058167,0.33734244108200073,0.35769423842430115,0.6662389636039734,1.0,0.33604270219802856,0.22068053483963013
32nd,0.17848753929138184,0.07250873744487762,0.10472341626882553,0.09848169982433319,0.14948520064353943,0.19098703563213348,1.0000001192092896,0.11367937922477722,0.15779641270637512,0.00945360492914915,0.19283370673656464,0.19098703563213348,0.15065181255340576,0.14812633395195007
most,0.299309104681015,0.29933857917785645,0.06817606836557388,0.3533777892589569,0.3548237979412079,0.47635307908058167,0.11367937922477722,1.0,0.3790348172187805,0.24853192269802094,0.41416558623313904,0.47635307908058167,0.33157554268836975,0.2107497900724411
liveable,0.2981112003326416,0.28644004464149475,0.1851615458726883,0.17644378542900085,0.26593294739723206,0.33734244108200073,0.15779641270637512,0.3790348172187805,1.0,0.1496596485376358,0.3127102851867676,0.33734244108200073,0.2810109853744507,0.3129776418209076
city,0.19592350721359253,0.3188765048980713,0.25006377696990967,0.19627226889133453,0.21195319294929504,0.35769423842430115,0.00945360492914915,0.24853192269802094,0.1496596485376358,1.0,0.3911624252796173,0.35769423842430115,0.2572607696056366,0.13423943519592285
in,0.4431333839893341,0.45514053106307983,0.22642600536346436,0.2005387395620346,0.3887844979763031,0.6662389636039734,0.19283370673656464,0.41416558623313904,0.3127102851867676,0.3911624252796173,1.0,0.6662389636039734,0.3038199245929718,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.23137180507183075,0.2711145281791687,0.48381632566452026,1.0,0.19098703563213348,0.47635307908058167,0.33734244108200073,0.35769423842430115,0.6662389636039734,1.0,0.33604270219802856,0.22068053483963013
world,0.23794586956501007,0.3097524344921112,0.2137570083141327,0.29597607254981995,0.22848254442214966,0.33604270219802856,0.15065181255340576,0.33157554268836975,0.2810109853744507,0.2572607696056366,0.3038199245929718,0.33604270219802856,1.0000001192092896,0.17579582333564758
.,0.475719153881073,0.40146201848983765,0.26825499534606934,0.21607504785060883,0.515582263469696,0.5934505462646484,0.24699483811855316,0.35404038429260254,0.33070483803749084,0.29856356978416443,0.5591574311256409,0.5934505462646484,0.3177160322666168,0.4130953550338745
