,what,was,the,total,nominal,gdp,of,warsaw,in,2010,?
total,0.19850242137908936,0.14069223403930664,0.27068960666656494,0.9999999403953552,0.17537447810173035,0.3120419979095459,0.29045331478118896,0.11657501757144928,0.27667245268821716,0.11782553791999817,0.14396025240421295
nominal,0.14118580520153046,0.14064551889896393,0.2357485294342041,0.17537447810173035,1.0000001192092896,0.3139812648296356,0.24467095732688904,0.1554936170578003,0.16125066578388214,0.011187841184437275,0.1655932366847992
gdp,0.2943311929702759,0.10266599804162979,0.16116170585155487,0.3120419979095459,0.3139812648296356,1.0000001192092896,0.173078253865242,0.177708238363266,0.17962713539600372,0.12803970277309418,0.232579305768013
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.29045331478118896,0.24467095732688904,0.173078253865242,1.0,0.19253842532634735,0.5696388483047485,0.26419875025749207,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.27068960666656494,0.2357485294342041,0.16116170585155487,0.733189046382904,0.23137180507183075,0.6662389636039734,0.31722962856292725,0.22068053483963013
city,0.17493832111358643,0.3188765048980713,0.35769423842430115,0.24436543881893158,0.1582881510257721,0.2775922119617462,0.32503411173820496,0.25006377696990967,0.3911624252796173,0.20585815608501434,0.13423943519592285
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.27667245268821716,0.16125066578388214,0.17962713539600372,0.5696388483047485,0.22642600536346436,1.0,0.2692960798740387,0.20430970191955566
2010,0.2741409242153168,0.23825319111347198,0.31722962856292725,0.11782553791999817,0.011187841184437275,0.12803970277309418,0.26419875025749207,0.10466481745243073,0.2692960798740387,1.0000001192092896,0.21232788264751434
amounted,0.18935327231884003,0.22358185052871704,0.34507474303245544,0.42774903774261475,0.26710060238838196,0.3006020784378052,0.2884308993816376,0.17837709188461304,0.2737424373626709,0.03995419666171074,0.12520678341388702
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.22792020440101624,0.18778453767299652,0.16873480379581451,0.41548454761505127,0.1953994333744049,0.45010748505592346,0.3413967490196228,0.29463258385658264
191.766,-0.1914643794298172,0.11655806750059128,0.002169061219319701,0.022737428545951843,-0.0018612088169902563,0.00046025984920561314,-0.03197013586759567,0.03248139098286629,0.02340610697865486,0.011650331318378448,-0.09086298197507858
billion,0.262668639421463,0.18399004638195038,0.2162325382232666,0.3630574643611908,0.20493708550930023,0.481548935174942,0.19335569441318512,0.038880135864019394,0.18475750088691711,0.06559181958436966,0.25791820883750916
pln,0.12095355242490768,0.19655905663967133,0.21270719170570374,0.23813997209072113,0.29632067680358887,0.35419124364852905,0.22648099064826965,0.30251753330230713,0.16581185162067413,0.09326974302530289,0.20867811143398285
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25815486907958984,0.18671372532844543,0.17147020995616913,0.4946078956127167,0.25300899147987366,0.5201468467712402,0.24006164073944092,0.31091248989105225
111696,0.0033866525627672672,0.214192733168602,0.09369870275259018,0.07789065688848495,0.04916863515973091,0.14257997274398804,0.1074007898569107,0.15049606561660767,0.20179054141044617,0.07535432279109955,-0.006615669932216406
pln,0.12095355242490768,0.19655905663967133,0.21270719170570374,0.23813997209072113,0.29632067680358887,0.35419124364852905,0.22648099064826965,0.30251753330230713,0.16581185162067413,0.09326974302530289,0.20867811143398285
per,0.21384303271770477,0.12717042863368988,0.21691934764385223,0.33884352445602417,0.19426633417606354,0.33734434843063354,0.17468707263469696,0.1055859923362732,0.1975519210100174,0.11820283532142639,0.22323818504810333
capita,0.20979470014572144,0.14233240485191345,0.21010279655456543,0.2893429398536682,0.2799184024333954,0.6167832016944885,0.21292807161808014,0.13825449347496033,0.21924816071987152,0.08719895780086517,0.21739831566810608
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25815486907958984,0.18671372532844543,0.17147020995616913,0.4946078956127167,0.25300899147987366,0.5201468467712402,0.24006164073944092,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.32373151183128357,0.1709517240524292,0.19362454116344452,0.5011631846427917,0.16906329989433289,0.4840516746044159,0.18768779933452606,0.25814583897590637
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.14069223403930664,0.14064551889896393,0.10266599804162979,0.4069072902202606,0.2614976763725281,0.45514053106307983,0.23825319111347198,0.18412111699581146
"301,1",0.22814659774303436,0.1955658346414566,0.12338601797819138,0.05070498585700989,0.1493627429008484,0.14549604058265686,0.16466379165649414,0.08677919209003448,0.16358254849910736,0.09894926100969315,0.17306725680828094
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.43912753462791443,0.19163541495800018,0.3315473198890686,0.19953428208827972,0.09878579527139664,0.19465309381484985,0.26349833607673645,0.21441808342933655
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.29045331478118896,0.24467095732688904,0.173078253865242,1.0,0.19253842532634735,0.5696388483047485,0.26419875025749207,0.1826142966747284
polish,0.08233486860990524,0.2319551259279251,0.17708231508731842,0.06527339667081833,0.11727861315011978,0.13785278797149658,0.16866981983184814,0.6311136484146118,0.1896398365497589,0.12448268383741379,0.14012759923934937
average,0.24068789184093475,0.18843130767345428,0.27058175206184387,0.3691883683204651,0.18860504031181335,0.3884178102016449,0.23717734217643738,0.09678594768047333,0.23465414345264435,0.05931757763028145,0.21764592826366425
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2295650690793991,0.1998821347951889,0.17039258778095245,0.5352458953857422,0.26825499534606934,0.5591574311256409,0.26320725679397583,0.4130953550338745
