,what,is,a,synonym,for,chloroplast,dna,?
it,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.20614169538021088,0.32171204686164856,0.23054824769496918,0.1764044463634491,0.25732165575027466
is,0.28837618231773376,1.0,0.658733606338501,0.2756325602531433,0.43268078565597534,0.20798198878765106,0.15626907348632812,0.22961433231830597
also,0.42747777700424194,0.5012649297714233,0.5149940252304077,0.21242983639240265,0.5373267531394958,0.27024057507514954,0.255240261554718,0.21848613023757935
known,0.20381177961826324,0.41921812295913696,0.30882248282432556,0.25999101996421814,0.363901823759079,0.2188008427619934,0.14276264607906342,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.24377639591693878,0.44774648547172546,0.2268141210079193,0.2425999939441681,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.1933385729789734,0.4739971458911896,0.21317854523658752,0.19235704839229584,0.22068053483963013
plastome,0.22036738693714142,0.2581935524940491,0.3025117814540863,0.27426040172576904,0.2654586434364319,0.6669666171073914,0.3706631362438202,0.18232625722885132
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.06000516936182976,0.4726039469242096,0.2371024191379547,0.2056756615638733,0.4130953550338745
,what,is,a,synonym,for,chloroplast,dna,?
chloroplasts,0.2524593770503998,0.22550933063030243,0.24622295796871185,0.31859809160232544,0.22036349773406982,0.9777651429176331,0.5363800525665283,0.13049766421318054
have,0.39808809757232666,0.3613572418689728,0.338716596364975,0.17378655076026917,0.41175219416618347,0.26476383209228516,0.23252472281455994,0.32991164922714233
their,0.35142919421195984,0.2101074606180191,0.29698723554611206,0.0769592896103859,0.3406745493412018,0.25170472264289856,0.21739168465137482,0.1898253709077835
own,0.35062843561172485,0.2145606279373169,0.3093770742416382,-0.0023450267035514116,0.30703625082969666,0.22074070572853088,0.20628802478313446,0.1937696635723114
dna,0.24220526218414307,0.15626907348632812,0.2164907455444336,0.2074328064918518,0.18554699420928955,0.5331895351409912,1.0000001192092896,0.1548636108636856
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.17241688072681427,0.4464869201183319,0.20078974962234497,0.2115938663482666,0.31091248989105225
often,0.3849453330039978,0.3856629431247711,0.3930865228176117,0.26707130670547485,0.37495917081832886,0.26007363200187683,0.21146652102470398,0.23748154938220978
abbreviated,0.15040834248065948,0.27301323413848877,0.21468424797058105,0.3229558765888214,0.23304250836372375,0.1387721598148346,0.05030196160078049,0.1293652355670929
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.24377639591693878,0.44774648547172546,0.2268141210079193,0.2425999939441681,0.27043893933296204
ctdna,0.29794496297836304,0.23135864734649658,0.2659256160259247,0.30602380633354187,0.2063385248184204,0.49704983830451965,0.7972342371940613,0.2759757339954376
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.17241688072681427,0.4464869201183319,0.20078974962234497,0.2115938663482666,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.48853766918182373,0.2962040901184082,0.4111599624156952,0.2677285373210907,0.2173534780740738,0.32389625906944275
cpdna,0.3001426160335541,0.29175111651420593,0.3500497341156006,0.3114108741283417,0.25644898414611816,0.45857110619544983,0.759469211101532,0.20631195604801178
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.06000516936182976,0.4726039469242096,0.2371024191379547,0.2056756615638733,0.4130953550338745
