,what,memorial,was,built,years,after,genghis,khan,'s,death,and,burial,?
according,0.2776208221912384,0.19048967957496643,0.31116798520088196,0.1615273803472519,0.19058693945407867,0.1990763396024704,0.25313591957092285,0.12182368338108063,-0.0037221983075141907,0.1557500660419464,0.30645591020584106,0.19014017283916473,0.21173474192619324
to,0.455847829580307,0.12165825068950653,0.3636345863342285,0.2183011770248413,0.23891852796077728,0.37890323996543884,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.19568277895450592,0.48971283435821533,0.19511598348617554,0.29463258385658264
legend,0.1718679517507553,0.22775748372077942,0.23389975726604462,0.18145132064819336,0.17120717465877533,0.1632075309753418,0.33802154660224915,0.14088506996631622,0.01219833642244339,0.2159339189529419,0.19090360403060913,0.23782411217689514,0.1287047564983368
",",0.3087472915649414,0.21767763793468475,0.45456063747406006,0.22658206522464752,0.2589467465877533,0.38860568404197693,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.2070959210395813,0.6633074283599854,0.2167155146598816,0.31091248989105225
the,0.42745697498321533,0.2865021228790283,0.48711544275283813,0.2950156033039093,0.2912273406982422,0.4565047025680542,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.21438048779964447,0.5171257257461548,0.23356176912784576,0.22068053483963013
funeral,0.16178500652313232,0.3644389808177948,0.2682800590991974,0.16534669697284698,0.23891982436180115,0.2677907347679138,0.2178996354341507,0.10683563351631165,0.06456310302019119,0.3993421494960785,0.19936677813529968,0.48229771852493286,0.16502951085567474
escort,0.14095048606395721,0.17632721364498138,0.2804376482963562,0.32918113470077515,0.1803395003080368,0.2475784718990326,0.2285243272781372,0.16734597086906433,-0.03326616808772087,0.14791055023670197,0.25148940086364746,0.16960929334163666,0.1316547840833664
killed,0.1862335354089737,0.22881729900836945,0.31229376792907715,0.2510931193828583,0.2542627155780792,0.30230066180229187,0.2986186742782593,0.15405850112438202,-0.004342961125075817,0.34693118929862976,0.23023393750190735,0.2674134075641632,0.17928971350193024
anyone,0.5307026505470276,0.1424884796142578,0.2773597538471222,0.1785968691110611,0.21533893048763275,0.24865147471427917,0.19983600080013275,0.09187893569469452,0.06704012304544449,0.1835087239742279,0.23263202607631683,0.09402357041835785,0.4948124587535858
and,0.31309178471565247,0.17508313059806824,0.3740963041782379,0.2814858853816986,0.300204873085022,0.3765919506549835,0.26551535725593567,0.22885166108608246,0.06895173341035843,0.1816639006137848,1.0,0.19633576273918152,0.20544172823429108
anything,0.5698684453964233,0.08401358872652054,0.18385377526283264,0.10886749625205994,0.21970222890377045,0.18751347064971924,0.19884848594665527,0.1654721051454544,0.09054575860500336,0.15861521661281586,0.2751373052597046,0.12006504833698273,0.4830983281135559
across,0.24809791147708893,0.12927651405334473,0.20413610339164734,0.22373691201210022,0.21297839283943176,0.23366139829158783,0.20327019691467285,0.10598119348287582,0.010988947004079819,0.12532922625541687,0.3308866024017334,0.11001777648925781,0.17034576833248138
their,0.35142919421195984,0.14097464084625244,0.2396296262741089,0.19523783028125763,0.2008867710828781,0.30973172187805176,0.2492474466562271,0.16260504722595215,-0.005530759692192078,0.19749301671981812,0.45114588737487793,0.19001352787017822,0.1898253709077835
path,0.25106123089790344,0.16969235241413116,0.13379235565662384,0.12957388162612915,0.13038741052150726,0.11083973199129105,0.2045622020959854,0.16986609995365143,-0.004901425447314978,0.16373544931411743,0.21081410348415375,0.18232077360153198,0.12429215013980865
to,0.455847829580307,0.12165825068950653,0.3636345863342285,0.2183011770248413,0.23891852796077728,0.37890323996543884,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.19568277895450592,0.48971283435821533,0.19511598348617554,0.29463258385658264
conceal,0.26629701256752014,0.1145193800330162,0.10216374695301056,0.13054895401000977,0.061695925891399384,0.13344219326972961,0.16970300674438477,0.14076653122901917,0.03931906074285507,0.16798514127731323,0.24942760169506073,0.1636025756597519,0.16612087190151215
where,0.4457937180995941,0.2320689707994461,0.20731619000434875,0.23154333233833313,0.26697102189064026,0.31753596663475037,0.1839626133441925,0.1568954735994339,0.0007701900321990252,0.166978120803833,0.43859338760375977,0.30498334765434265,0.24793872237205505
he,0.3114890456199646,0.1699053943157196,0.5410010814666748,0.19984933733940125,0.3526231348514557,0.3936046361923218,0.28288567066192627,0.24136358499526978,0.024063590914011,0.2806733548641205,0.45427167415618896,0.16934634745121002,0.2089974731206894
was,0.22111038863658905,0.23419618606567383,1.0000001192092896,0.3424932360649109,0.35855233669281006,0.49306565523147583,0.3037589192390442,0.23483267426490784,0.008974763564765453,0.28516459465026855,0.3740963041782379,0.21821482479572296,0.18412111699581146
finally,0.33623361587524414,0.12524306774139404,0.3442646861076355,0.23205538094043732,0.2634913921356201,0.5195887088775635,0.2584455609321594,0.15035879611968994,-0.00435760198161006,0.2064834088087082,0.42047661542892456,0.14475981891155243,0.16868984699249268
buried,0.1688523143529892,0.3883252739906311,0.28686758875846863,0.3396136462688446,0.2595116198062897,0.22579596936702728,0.25133416056632996,0.0911133736371994,-0.04317710921168327,0.3310670256614685,0.19554510712623596,0.7192270755767822,0.18487362563610077
.,0.3567904531955719,0.22413848340511322,0.40146201848983765,0.2374027520418167,0.31919315457344055,0.35870397090911865,0.25373268127441406,0.19819748401641846,-0.003708066651597619,0.24631039798259735,0.588965117931366,0.18758666515350342,0.4130953550338745
,what,memorial,was,built,years,after,genghis,khan,'s,death,and,burial,?
the,0.42745697498321533,0.2865021228790283,0.48711544275283813,0.2950156033039093,0.2912273406982422,0.4565047025680542,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.21438048779964447,0.5171257257461548,0.23356176912784576,0.22068053483963013
genghis,0.24369274079799652,0.13752439618110657,0.3037589192390442,0.24947544932365417,0.25086215138435364,0.24102559685707092,1.0,0.5896923542022705,0.031423866748809814,0.28730303049087524,0.26551535725593567,0.2772968113422394,0.18813461065292358
khan,0.16476042568683624,0.06785647571086884,0.23483267426490784,0.1068514734506607,0.15620282292366028,0.1264270693063736,0.5896923542022705,1.0,0.05307086929678917,0.14168724417686462,0.22885166108608246,0.10242138803005219,0.12862591445446014
mausoleum,0.17127197980880737,0.42994004487991333,0.26164430379867554,0.3593289852142334,0.20575781166553497,0.19192823767662048,0.4492964446544647,0.31974947452545166,-0.04253236949443817,0.3006827235221863,0.13474252820014954,0.5318339467048645,0.1583869904279709
",",0.3087472915649414,0.21767763793468475,0.45456063747406006,0.22658206522464752,0.2589467465877533,0.38860568404197693,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.2070959210395813,0.6633074283599854,0.2167155146598816,0.31091248989105225
