,what,was,one,thing,that,was,specifically,tested,on,the,apollo,4,test,launch,regarding,the,cm,?
the,0.42745697498321533,0.48711544275283813,0.5514441132545471,0.33238789439201355,0.5473989248275757,0.48711544275283813,0.3760298490524292,0.22948460280895233,0.5107308030128479,1.0,0.2169172167778015,0.15499350428581238,0.19235259294509888,0.2628649175167084,0.29280903935432434,1.0,0.1848733276128769,0.22068053483963013
capability,0.27171802520751953,0.15051035583019257,0.25923946499824524,0.2961275577545166,0.3251573145389557,0.15051035583019257,0.3287125527858734,0.35390710830688477,0.22147051990032196,0.22795647382736206,0.15936028957366943,0.08603185415267944,0.33401989936828613,0.2537519037723541,0.3677198886871338,0.22795647382736206,0.17075900733470917,0.20875757932662964
of,0.33290785551071167,0.4069072902202606,0.4999135136604309,0.2796889841556549,0.41498205065727234,0.4069072902202606,0.24232523143291473,0.17295385897159576,0.3966929316520691,0.733189046382904,0.1786269098520279,0.17227263748645782,0.164191335439682,0.20697395503520966,0.2715161442756653,0.733189046382904,0.16778232157230377,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.5514441132545471,0.33238789439201355,0.5473989248275757,0.48711544275283813,0.3760298490524292,0.22948460280895233,0.5107308030128479,1.0,0.2169172167778015,0.15499350428581238,0.19235259294509888,0.2628649175167084,0.29280903935432434,1.0,0.1848733276128769,0.22068053483963013
command,0.22732043266296387,0.22477014362812042,0.14229638874530792,0.1470402479171753,0.23043839633464813,0.22477014362812042,0.19813378155231476,0.23072171211242676,0.22726084291934967,0.27488255500793457,0.2812953591346741,0.32514727115631104,0.20510582625865936,0.29421332478523254,0.20303525030612946,0.27488255500793457,0.10887647420167923,0.13402260839939117
module,0.2071267068386078,0.09592796117067337,0.17110902070999146,0.24141474068164825,0.25704696774482727,0.09592796117067337,0.1610194444656372,0.3440721929073334,0.21363548934459686,0.15147453546524048,0.38253456354141235,0.061751678586006165,0.3123023509979248,0.2918342053890228,0.1862819790840149,0.15147453546524048,-0.005161388777196407,0.2131270468235016
's,0.02692362666130066,0.008974763564765453,0.06913424283266068,0.03294041007757187,0.04397977516055107,0.008974763564765453,-0.00417898315936327,-0.03824210539460182,0.0026888418942689896,-0.01540423184633255,-0.020172206684947014,-0.0858617052435875,0.0007944157114252448,0.01992534101009369,0.01318180002272129,-0.01540423184633255,-0.08324526995420456,-0.023395681753754616
heat,0.1933984011411667,0.17687295377254486,0.19069018959999084,0.22045448422431946,0.268042653799057,0.17687295377254486,0.14926451444625854,0.15582315623760223,0.19577325880527496,0.2556036710739136,0.18737667798995972,-0.055492062121629715,0.10202047973871231,0.13246387243270874,0.13305765390396118,0.2556036710739136,0.17835524678230286,0.16343188285827637
shield,0.15256665647029877,0.13172738254070282,0.2087494134902954,0.11736851185560226,0.2681799530982971,0.13172738254070282,0.13362033665180206,0.14553868770599365,0.19039365649223328,0.2743064761161804,0.13281238079071045,0.0864625945687294,0.12158523499965668,0.18725618720054626,0.130783811211586,0.2743064761161804,0.17086158692836761,0.06611126661300659
to,0.455847829580307,0.3636345863342285,0.4025384783744812,0.3286871016025543,0.5436353087425232,0.3636345863342285,0.4197046458721161,0.24203582108020782,0.41031414270401,0.535392165184021,0.23190522193908691,0.059323787689208984,0.23725658655166626,0.25276505947113037,0.29117533564567566,0.535392165184021,0.16218599677085876,0.29463258385658264
