,how,can,function,problems,typically,be,restated,?
it,0.36714982986450195,0.3819273114204407,0.2046748548746109,0.23306451737880707,0.28889989852905273,0.5203388929367065,0.18164964020252228,0.25732165575027466
is,0.22544461488723755,0.44256699085235596,0.17586156725883484,0.16985496878623962,0.3483496606349945,0.4819129705429077,0.16290922462940216,0.22961433231830597
tempting,0.2676408290863037,0.29772719740867615,0.12704002857208252,0.1940683126449585,0.2328740358352661,0.21246203780174255,0.20884442329406738,0.2835216820240021
to,0.44169697165489197,0.4979398250579834,0.2079751342535019,0.28989166021347046,0.3589242696762085,0.4972836375236511,0.31604427099227905,0.29463258385658264
think,0.5059142112731934,0.4440207779407501,0.17122192680835724,0.36432358622550964,0.2747098207473755,0.4904957115650177,0.27150434255599976,0.5312306880950928
that,0.557814359664917,0.4522190988063812,0.2751213610172272,0.3758413791656494,0.34845292568206787,0.6036020517349243,0.37704968452453613,0.32716336846351624
the,0.33890387415885925,0.312528520822525,0.2037137746810913,0.2659202516078949,0.33345210552215576,0.4248143136501312,0.3581658899784088,0.22068053483963013
notion,0.2749984860420227,0.2086244821548462,0.38755518198013306,0.33377504348754883,0.236791729927063,0.2747000455856323,0.3120928108692169,0.20487375557422638
of,0.2480744868516922,0.2603091299533844,0.16667552292346954,0.2450421154499054,0.28964799642562866,0.33904364705085754,0.30360302329063416,0.1826142966747284
function,0.2214231640100479,0.2664915919303894,1.0,0.275121808052063,0.29792386293411255,0.23198768496513367,0.2101002037525177,0.20672395825386047
problems,0.37939780950546265,0.326987624168396,0.275121808052063,1.0,0.17351894080638885,0.2817195653915405,0.34982144832611084,0.2638136148452759
is,0.22544461488723755,0.44256699085235596,0.17586156725883484,0.16985496878623962,0.3483496606349945,0.4819129705429077,0.16290922462940216,0.22961433231830597
much,0.46556615829467773,0.39803463220596313,0.2143353521823883,0.317876935005188,0.3442454934120178,0.3977218568325043,0.27437612414360046,0.23442231118679047
richer,0.2655999958515167,0.2174077033996582,0.06669186800718307,0.17737385630607605,0.24745884537696838,0.33289584517478943,0.23493599891662598,0.13466297090053558
than,0.29763275384902954,0.3532506823539734,0.22723710536956787,0.2463805377483368,0.4123818576335907,0.46516597270965576,0.2351398766040802,0.24917294085025787
the,0.33890387415885925,0.312528520822525,0.2037137746810913,0.2659202516078949,0.33345210552215576,0.4248143136501312,0.3581658899784088,0.22068053483963013
notion,0.2749984860420227,0.2086244821548462,0.38755518198013306,0.33377504348754883,0.236791729927063,0.2747000455856323,0.3120928108692169,0.20487375557422638
of,0.2480744868516922,0.2603091299533844,0.16667552292346954,0.2450421154499054,0.28964799642562866,0.33904364705085754,0.30360302329063416,0.1826142966747284
decision,0.30215373635292053,0.256021648645401,0.13022024929523468,0.2926073372364044,0.22086159884929657,0.3003653585910797,0.3556031882762909,0.2796577215194702
problems,0.37939780950546265,0.326987624168396,0.275121808052063,1.0,0.17351894080638885,0.2817195653915405,0.34982144832611084,0.2638136148452759
.,0.3287222981452942,0.35783761739730835,0.253307044506073,0.2602308988571167,0.25537845492362976,0.4383580684661865,0.2729615271091461,0.4130953550338745
,how,can,function,problems,typically,be,restated,?
however,0.45072782039642334,0.4312019944190979,0.2624289095401764,0.3676249086856842,0.4348779618740082,0.5002188086509705,0.4218560457229614,0.2152075469493866
",",0.22659391164779663,0.3139454126358032,0.18487244844436646,0.2596952021121979,0.18964512646198273,0.39254459738731384,0.2623760402202606,0.31091248989105225
this,0.45272302627563477,0.4006461203098297,0.27971330285072327,0.33706656098365784,0.38951244950294495,0.566177248954773,0.30670928955078125,0.3155723512172699
is,0.22544461488723755,0.44256699085235596,0.17586156725883484,0.16985496878623962,0.3483496606349945,0.4819129705429077,0.16290922462940216,0.22961433231830597
not,0.4869767427444458,0.49270012974739075,0.2716670334339142,0.3441416919231415,0.38655707240104675,0.5788898468017578,0.3216351270675659,0.41942933201789856
really,0.5600976943969727,0.4268006682395935,0.22874091565608978,0.349883496761322,0.3171553909778595,0.48374220728874207,0.2678441107273102,0.5184177756309509
the,0.33890387415885925,0.312528520822525,0.2037137746810913,0.2659202516078949,0.33345210552215576,0.4248143136501312,0.3581658899784088,0.22068053483963013
