,what,is,an,example,of,major,civil,disobedience,in,south,africa,?
it,0.45803478360176086,0.6328473687171936,0.39472338557243347,0.33693674206733704,0.38761502504348755,0.22329258918762207,0.17707513272762299,0.2648297846317291,0.5130809545516968,0.28465771675109863,0.22790224850177765,0.25732165575027466
has,0.20338068902492523,0.5668748617172241,0.2991473078727722,0.28235751390457153,0.3909035325050354,0.2243996560573578,0.14805923402309418,0.11896127462387085,0.4173259735107422,0.2072066068649292,0.17411938309669495,0.15994466841220856
been,0.2567804455757141,0.39566612243652344,0.24947525560855865,0.22095714509487152,0.31685134768486023,0.20505735278129578,0.16754008829593658,0.20087917149066925,0.3515113592147827,0.16183480620384216,0.21515285968780518,0.24354910850524902
used,0.27546408772468567,0.3288823366165161,0.25728896260261536,0.48354339599609375,0.3075267970561981,0.16234950721263885,0.18663932383060455,0.16147232055664062,0.3090210556983948,0.14421887695789337,0.20858116447925568,0.22430120408535004
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.30483278632164,0.5696388483047485,0.3249945342540741,0.26466667652130127,0.3054615259170532,1.0,0.33642083406448364,0.27806714177131653,0.20430970191955566
many,0.36131182312965393,0.2649032473564148,0.2465583086013794,0.43096116185188293,0.37253960967063904,0.2907782793045044,0.2212105095386505,0.2810143232345581,0.41474202275276184,0.2319321483373642,0.285052627325058,0.2124512493610382
nonviolent,0.27531832456588745,0.2062213271856308,0.2698172628879547,0.22405290603637695,0.2696565091609955,0.15146246552467346,0.37643536925315857,0.6002234220504761,0.23583105206489563,0.1685008704662323,0.17445343732833862,0.23365403711795807
resistance,0.1382468044757843,0.1813587248325348,0.21208497881889343,0.22467352449893951,0.24201548099517822,0.10264652222394943,0.27002426981925964,0.39310237765312195,0.19045913219451904,0.17421776056289673,0.2036074846982956,0.026361597701907158
movements,0.23197974264621735,0.1564955711364746,0.1625731736421585,0.23312880098819733,0.24170123040676117,0.27720922231674194,0.2419094443321228,0.37486886978149414,0.23150597512722015,0.200022891163826,0.23271416127681732,0.1501890867948532
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.30483278632164,0.5696388483047485,0.3249945342540741,0.26466667652130127,0.3054615259170532,1.0,0.33642083406448364,0.27806714177131653,0.20430970191955566
india,0.23203566670417786,0.19284966588020325,0.13356243073940277,0.22343118488788605,0.29747170209884644,0.2032848745584488,0.18130739033222198,0.2790805995464325,0.27070173621177673,0.2918553948402405,0.43882444500923157,0.10473668575286865
(,0.2411840260028839,0.35393038392066956,0.286407470703125,0.23614145815372467,0.35032153129577637,0.19543711841106415,0.16291406750679016,0.14515410363674164,0.3087427020072937,0.2013198882341385,0.1479118913412094,0.40561532974243164
gandhi,0.23243291676044464,0.14777901768684387,0.1353032886981964,0.174784317612648,0.2484963834285736,0.17256727814674377,0.30589789152145386,0.45138445496559143,0.2202024757862091,0.18495245277881622,0.2313116192817688,0.18234050273895264
's,0.02692362666130066,0.02396530658006668,0.025255560874938965,-0.045060764998197556,-0.03817026689648628,-0.010959804058074951,-0.06354409456253052,0.027719656005501747,-0.037580832839012146,0.06268392503261566,0.0768766924738884,-0.023395681753754616
campaigns,0.20698273181915283,0.12770719826221466,0.11757226288318634,0.1592070609331131,0.26936405897140503,0.25953587889671326,0.331876665353775,0.3399575650691986,0.26681122183799744,0.2042279690504074,0.23522423207759857,0.13006390631198883
for,0.3017193675041199,0.43268078565597534,0.3236706852912903,0.45665353536605835,0.4185989499092102,0.23592928051948547,0.1685788929462433,0.23370130360126495,0.4322226941585541,0.17502866685390472,0.18971428275108337,0.264628142118454
independence,0.24622133374214172,0.16762453317642212,0.1398492306470871,0.1374279111623764,0.2965129017829895,0.16207855939865112,0.32815662026405334,0.40463489294052124,0.25996696949005127,0.26115038990974426,0.22501325607299805,0.12301119416952133
from,0.2737620174884796,0.27355384826660156,0.20876385271549225,0.3175121247768402,0.4249346852302551,0.1417090892791748,0.11420916765928268,0.1641564965248108,0.4274188280105591,0.308648020029068,0.18330752849578857,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.31775903701782227,0.2477465271949768,0.30963727831840515,0.6662389636039734,0.3129390776157379,0.2903064787387848,0.22068053483963013
british,0.19255435466766357,0.19484983384609222,0.21499769389629364,0.16921748220920563,0.23701532185077667,0.1561877429485321,0.2382184863090515,0.24846328794956207,0.23084034025669098,0.26024845242500305,0.22958926856517792,0.09711728990077972
empire,0.21723191440105438,0.18343110382556915,0.16588738560676575,0.15432226657867432,0.30522286891937256,0.1665656566619873,0.21297308802604675,0.20652562379837036,0.24110576510429382,0.26449429988861084,0.3045766353607178,0.14909450709819794
),0.26259949803352356,0.37732169032096863,0.2873353958129883,0.26101627945899963,0.3680361211299896,0.17611342668533325,0.168956458568573,0.1570320576429367,0.3326910734176636,0.2002217173576355,0.1309516727924347,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.29355156421661377,0.24795588850975037,0.2878543734550476,0.5201468467712402,0.3256652057170868,0.2545008063316345,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.2605783939361572,0.30483278632164,0.5696388483047485,0.3249945342540741,0.26466667652130127,0.3054615259170532,1.0,0.33642083406448364,0.27806714177131653,0.20430970191955566
