,who,played,the,war,doctor,?
notably,0.2281789928674698,0.31397897005081177,0.33497244119644165,0.18156737089157104,0.10361042618751526,0.10343469679355621
",",0.3365725874900818,0.2987361550331116,0.4933079481124878,0.2671184241771698,0.20407600700855255,0.31091248989105225
in,0.2792111933231354,0.27605336904525757,0.6662389636039734,0.29904094338417053,0.25567495822906494,0.20430970191955566
2013,-0.16540901362895966,-0.11614544689655304,-0.38509321212768555,-0.11859777569770813,0.0035236324183642864,-0.2969330847263336
",",0.3365725874900818,0.2987361550331116,0.4933079481124878,0.2671184241771698,0.20407600700855255,0.31091248989105225
john,0.30388808250427246,0.18034817278385162,0.2230520099401474,0.19316232204437256,0.2020767480134964,0.13162356615066528
hurt,0.28144800662994385,0.15853476524353027,0.19650967419147491,0.22164151072502136,0.2339186668395996,0.23186244070529938
guest-starred,0.25694629549980164,0.3993784785270691,0.2871498465538025,0.19074174761772156,0.24820436537265778,0.26012441515922546
as,0.3923053741455078,0.27623358368873596,0.48381632566452026,0.24018222093582153,0.17422905564308167,0.27043893933296204
a,0.36608949303627014,0.2472371906042099,0.5829201340675354,0.2368277609348297,0.22883038222789764,0.23916715383529663
hitherto,0.3229561746120453,0.2186591923236847,0.2347225397825241,0.1419641226530075,0.17848175764083862,0.1970563679933548
unknown,0.23681434988975525,0.1085350438952446,0.23777544498443604,0.17873890697956085,0.16097302734851837,0.22083927690982819
incarnation,0.27463722229003906,0.17898453772068024,0.3089248239994049,0.1635924130678177,0.3371219038963318,0.20495687425136566
of,0.2827862501144409,0.21120788156986237,0.733189046382904,0.31680163741111755,0.16895952820777893,0.1826142966747284
the,0.3733934462070465,0.2603478729724884,1.0,0.366199791431427,0.2820442318916321,0.22068053483963013
doctor,0.3504868149757385,0.20600740611553192,0.2820442318916321,0.17948800325393677,0.9999999403953552,0.1462511420249939
known,0.24757125973701477,0.2881343364715576,0.3624623417854309,0.1372869461774826,0.1213516891002655,0.18314571678638458
as,0.3923053741455078,0.27623358368873596,0.48381632566452026,0.24018222093582153,0.17422905564308167,0.27043893933296204
the,0.3733934462070465,0.2603478729724884,1.0,0.366199791431427,0.2820442318916321,0.22068053483963013
war,0.24286115169525146,0.21073731780052185,0.366199791431427,1.0000001192092896,0.17948800325393677,0.15510529279708862
doctor,0.3504868149757385,0.20600740611553192,0.2820442318916321,0.17948800325393677,0.9999999403953552,0.1462511420249939
in,0.2792111933231354,0.27605336904525757,0.6662389636039734,0.29904094338417053,0.25567495822906494,0.20430970191955566
the,0.3733934462070465,0.2603478729724884,1.0,0.366199791431427,0.2820442318916321,0.22068053483963013
run-up,0.23462757468223572,0.21581102907657623,0.2389344871044159,0.137970432639122,0.18290232121944427,0.17800939083099365
to,0.42656609416007996,0.14824016392230988,0.535392165184021,0.2610234022140503,0.22950075566768646,0.29463258385658264
the,0.3733934462070465,0.2603478729724884,1.0,0.366199791431427,0.2820442318916321,0.22068053483963013
show,0.2095358669757843,0.21609683334827423,0.319829523563385,0.13999536633491516,0.2094513326883316,0.2520138621330261
's,0.05599616840481758,0.03920676186680794,-0.01540423184633255,0.06856801360845566,0.031664930284023285,-0.023395681753754616
50th,0.009327351115643978,0.09443803131580353,0.19595111906528473,0.07535332441329956,0.19160239398479462,0.004919986240565777
anniversary,0.16220717132091522,0.17473463714122772,0.29318708181381226,0.23100262880325317,0.17330653965473175,0.1981802135705948
special,0.21519862115383148,0.1065249815583229,0.3027077615261078,0.08604085445404053,0.16843044757843018,0.29623302817344666
``,0.02397952415049076,0.03955623880028725,0.029072100296616554,0.02770489826798439,0.03718610852956772,0.0685480609536171
the,0.3733934462070465,0.2603478729724884,1.0,0.366199791431427,0.2820442318916321,0.22068053483963013
day,0.2447325587272644,0.1683405041694641,0.3062323033809662,0.20975930988788605,0.1563597172498703,0.2141837179660797
of,0.2827862501144409,0.21120788156986237,0.733189046382904,0.31680163741111755,0.16895952820777893,0.1826142966747284
the,0.3733934462070465,0.2603478729724884,1.0,0.366199791431427,0.2820442318916321,0.22068053483963013
doctor,0.3504868149757385,0.20600740611553192,0.2820442318916321,0.17948800325393677,0.9999999403953552,0.1462511420249939
'',0.024401003494858742,-0.062275923788547516,0.041273195296525955,-0.04993505775928497,0.06782495975494385,0.018684765323996544
.,0.3541337847709656,0.2876244783401489,0.5934505462646484,0.3000848889350891,0.22361043095588684,0.4130953550338745
