,in,what,body,of,water,is,the,harvard,-,yale,regatta,held,?
it,0.5130809545516968,0.45803478360176086,0.281975656747818,0.38761502504348755,0.31979092955589294,0.6328473687171936,0.6251175999641418,0.1871805340051651,0.27146875858306885,0.1093907356262207,0.20741328597068787,0.23581157624721527,0.25732165575027466
is,0.5394441485404968,0.28837618231773376,0.2790417969226837,0.4854315221309662,0.2879090905189514,1.0,0.5823672413825989,0.15387701988220215,0.30179503560066223,0.0664043128490448,0.18299971520900726,0.19884860515594482,0.22961433231830597
held,0.3127288818359375,0.0974166989326477,0.15356966853141785,0.28960686922073364,0.13345931470394135,0.19884860515594482,0.32185450196266174,0.14261892437934875,0.13555417954921722,0.14620743691921234,0.40804752707481384,1.0,0.14103956520557404
annually,0.29646036028862,0.13421958684921265,0.16338665783405304,0.26902905106544495,0.24827483296394348,0.23383666574954987,0.30625078082084656,0.21426835656166077,0.10129215568304062,0.20733918249607086,0.4349503219127655,0.4431407153606415,0.1364409476518631
in,1.0,0.30808621644973755,0.2549867033958435,0.5696388483047485,0.23966141045093536,0.5394441485404968,0.6662389636039734,0.26072487235069275,0.2593633532524109,0.2340804785490036,0.2670353353023529,0.3127288818359375,0.20430970191955566
june,0.29047903418540955,0.2171148657798767,0.09455984085798264,0.19721001386642456,0.07180497795343399,0.2469720095396042,0.24568822979927063,0.17305564880371094,0.2763512134552002,0.14100533723831177,0.2248433530330658,0.2284766286611557,0.31416764855384827
on,0.46853652596473694,0.34226128458976746,0.20112086832523346,0.3966929316520691,0.18117135763168335,0.3635730445384979,0.5107308030128479,0.1509191244840622,0.22775575518608093,0.15171051025390625,0.2852945625782013,0.2410694807767868,0.2714994251728058
the,0.6662389636039734,0.42745697498321533,0.31682634353637695,0.733189046382904,0.297396719455719,0.5823672413825989,1.0,0.24496200680732727,0.3207225501537323,0.20174992084503174,0.2445298284292221,0.32185450196266174,0.22068053483963013
thames,0.2070043534040451,0.16644074022769928,0.19576673209667206,0.18111173808574677,0.2636357247829437,0.15269294381141663,0.2829122543334961,0.21799619495868683,0.12208326160907745,0.20112642645835876,0.4052349627017975,0.1826837807893753,0.15743973851203918
river,0.2149806171655655,0.13815869390964508,0.13665254414081573,0.19903257489204407,0.40245044231414795,0.20670881867408752,0.2894456386566162,0.12399012595415115,0.16431134939193726,0.1558893620967865,0.28147298097610474,0.11996837705373764,0.15390869975090027
in,1.0,0.30808621644973755,0.2549867033958435,0.5696388483047485,0.23966141045093536,0.5394441485404968,0.6662389636039734,0.26072487235069275,0.2593633532524109,0.2340804785490036,0.2670353353023529,0.3127288818359375,0.20430970191955566
eastern,0.3306356370449066,0.2263268083333969,0.11157693713903427,0.33281487226486206,0.1799633651971817,0.2375388890504837,0.3928247392177582,0.2139950692653656,0.18150034546852112,0.20893670618534088,0.24235263466835022,0.1922733336687088,0.20060817897319794
connecticut,0.27496418356895447,0.17334938049316406,0.14580608904361725,0.2166227251291275,0.13778428733348846,0.16515237092971802,0.25228339433670044,0.3270103931427002,0.17535807192325592,0.43745121359825134,0.2954119145870209,0.18903228640556335,0.16014203429222107
.,0.5591574311256409,0.3567904531955719,0.29751062393188477,0.5352458953857422,0.26634910702705383,0.4569662809371948,0.5934505462646484,0.254516065120697,0.4330557584762573,0.2389662116765976,0.2782774567604065,0.2628571093082428,0.4130953550338745
