,what,minor,amount,of,liquid,oxygen,was,produced,by,early,french,experimenters,?
only,0.41415658593177795,0.2664855718612671,0.3977935016155243,0.49632513523101807,0.23075248301029205,0.30512404441833496,0.36249664425849915,0.22881558537483215,0.36511722207069397,0.25547894835472107,0.1767234355211258,0.20242555439472198,0.2767370045185089
a,0.3320399522781372,0.23087404668331146,0.3439450263977051,0.5052502155303955,0.2669180929660797,0.21662019193172455,0.4508470594882965,0.21993228793144226,0.32094135880470276,0.2710886299610138,0.24285779893398285,0.2725338339805603,0.23916715383529663
few,0.2780759632587433,0.31597641110420227,0.3166322410106659,0.2682102620601654,0.20448698103427887,0.18394595384597778,0.21633684635162354,0.14327098429203033,0.24547836184501648,0.3094797134399414,0.16169887781143188,0.1315719336271286,0.2334265559911728
drops,0.1808709353208542,0.17647890746593475,0.3165871202945709,0.2201315313577652,0.40650254487991333,0.3014475107192993,0.15799802541732788,0.23794430494308472,0.2033170461654663,0.11246044933795929,0.165932297706604,0.23937112092971802,0.12476576864719391
of,0.33290785551071167,0.2443368136882782,0.2541177570819855,1.0,0.2296105921268463,0.16848602890968323,0.4069072902202606,0.18961067497730255,0.3646814823150635,0.30937549471855164,0.19450366497039795,0.17301535606384277,0.1826142966747284
the,0.42745697498321533,0.2544519603252411,0.3336862325668335,0.733189046382904,0.25047987699508667,0.20428593456745148,0.48711544275283813,0.22045251727104187,0.4408751428127289,0.34442198276519775,0.2555147111415863,0.22581209242343903,0.22068053483963013
liquid,0.24017377197742462,0.15381228923797607,0.3165473937988281,0.2296105921268463,1.0,0.4322830140590668,0.1491771787405014,0.17657820880413055,0.1749679148197174,0.13200610876083374,0.12244974821805954,0.23088990151882172,0.18412289023399353
were,0.22298263013362885,0.20091967284679413,0.16971507668495178,0.34038281440734863,0.13713428378105164,0.15995736420154572,0.590133786201477,0.23232540488243103,0.4406847059726715,0.39198037981987,0.22002479434013367,0.2336990237236023,0.17890112102031708
produced,0.1393624097108841,0.0665290355682373,0.20632439851760864,0.18961067497730255,0.17657820880413055,0.1870262175798416,0.28463777899742126,1.0000001192092896,0.4647648334503174,0.1848844587802887,0.08980456739664078,0.24458564817905426,0.1623450517654419
in,0.30808621644973755,0.2571607828140259,0.2569429874420166,0.5696388483047485,0.19967526197433472,0.1672476977109909,0.45514053106307983,0.2542861998081207,0.370934396982193,0.34672921895980835,0.22093388438224792,0.23692399263381958,0.20430970191955566
either,0.3851809501647949,0.2527681589126587,0.29247480630874634,0.24225673079490662,0.26267191767692566,0.19990578293800354,0.2062831073999405,0.13500095903873444,0.2713143825531006,0.20611345767974854,0.11223046481609344,0.17186886072158813,0.31498292088508606
