,who,did,play-by-play,for,the,wbt,broadcast,?
in,0.2792111933231354,0.2593238651752472,0.26031607389450073,0.4322226941585541,0.6662389636039734,0.2740623652935028,0.26723843812942505,0.20430970191955566
north,0.11026738584041595,0.16732536256313324,0.1820400208234787,0.17560088634490967,0.36298373341560364,0.21627266705036163,0.19772908091545105,0.11829731613397598
carolina,0.1409980058670044,0.18489903211593628,0.15329012274742126,0.17749637365341187,0.24749229848384857,0.1934514343738556,0.13852201402187347,0.11847445368766785
",",0.3365725874900818,0.3015086054801941,0.2556174397468567,0.4464869201183319,0.4933079481124878,0.25588202476501465,0.24917922914028168,0.31091248989105225
wbt,0.23972301185131073,0.18490034341812134,0.3562838137149811,0.2687463164329529,0.2713833153247833,1.0,0.38621068000793457,0.22194723784923553
(,0.2443375140428543,0.18979617953300476,0.25779998302459717,0.3357032239437103,0.33289089798927307,0.2592405676841736,0.26369622349739075,0.40561532974243164
1110,0.2224840372800827,0.1817205548286438,-0.0045258644968271255,0.008824518881738186,0.16341263055801392,0.01545555330812931,0.016164438799023628,-0.019919075071811676
am,0.17377091944217682,0.1929960697889328,0.1943792700767517,0.23718447983264923,0.18601742386817932,0.2515702247619629,0.23447807133197784,0.3437723219394684
),0.2457384318113327,0.18584993481636047,0.2832581698894501,0.3639558255672455,0.3456730246543884,0.2609167993068695,0.2233462631702423,0.42300865054130554
will,0.24651563167572021,0.40638336539268494,0.27736732363700867,0.3647450804710388,0.3635469079017639,0.24551160633563995,0.16020336747169495,0.35046905279159546
carry,0.20254260301589966,0.17168502509593964,0.16973386704921722,0.2858029901981354,0.26752355694770813,0.24990710616111755,0.182814359664917,0.17171701788902283
the,0.3733934462070465,0.34736719727516174,0.2794552743434906,0.4739971458911896,1.0,0.2713833153247833,0.2713715434074402,0.22068053483963013
game,0.2523840069770813,0.19789010286331177,0.5630475878715515,0.2608485519886017,0.285271555185318,0.30365094542503357,0.2862359285354614,0.1829071193933487
",",0.3365725874900818,0.3015086054801941,0.2556174397468567,0.4464869201183319,0.4933079481124878,0.25588202476501465,0.24917922914028168,0.31091248989105225
with,0.3282766342163086,0.25472134351730347,0.26767468452453613,0.39140474796295166,0.4223487675189972,0.26653608679771423,0.1932039111852646,0.2433311939239502
mick,0.27167627215385437,0.1571199744939804,0.27282580733299255,0.1572035253047943,0.18347573280334473,0.23601755499839783,0.16983135044574738,0.14838244020938873
mixon,0.2700881361961365,0.25933295488357544,0.30922815203666687,0.26111337542533875,0.29810968041419983,0.2876540422439575,0.2835143804550171,0.25572019815444946
on,0.2340552806854248,0.2670976221561432,0.3018798530101776,0.36199691891670227,0.5107308030128479,0.26188308000564575,0.2845228910446167,0.2714994251728058
play-by-play,0.2488287091255188,0.22972095012664795,1.0,0.318437397480011,0.2794552743434906,0.3562838137149811,0.3359743058681488,0.2925850749015808
and,0.41279885172843933,0.34479495882987976,0.2701733708381653,0.5064792633056641,0.5171257257461548,0.2745618224143982,0.22526025772094727,0.20544172823429108
eugene,0.2504054605960846,0.1423873007297516,0.17533370852470398,0.15926051139831543,0.16070903837680817,0.21635064482688904,0.22157052159309387,0.16149088740348816
robinson,0.25682729482650757,0.20032262802124023,0.2166372835636139,0.13993589580059052,0.21904587745666504,0.29017341136932373,0.20031695067882538,0.18648536503314972
and,0.41279885172843933,0.34479495882987976,0.2701733708381653,0.5064792633056641,0.5171257257461548,0.2745618224143982,0.22526025772094727,0.20544172823429108
jim,0.20676904916763306,0.11088504642248154,0.21124480664730072,0.1846843808889389,0.21709053218364716,0.1777094155550003,0.22113877534866333,0.09886423498392105
szoke,0.3249136507511139,0.29521995782852173,0.33280810713768005,0.22987540066242218,0.1983880251646042,0.29269298911094666,0.24215680360794067,0.25855737924575806
on,0.2340552806854248,0.2670976221561432,0.3018798530101776,0.36199691891670227,0.5107308030128479,0.26188308000564575,0.2845228910446167,0.2714994251728058
color,0.1621498465538025,0.19901683926582336,0.26749542355537415,0.2378578633069992,0.21895472705364227,0.23175686597824097,0.15034060180187225,0.21299609541893005
commentary,0.2012261152267456,0.1733681857585907,0.2715708017349243,0.21193501353263855,0.2209595888853073,0.2714996337890625,0.4153614938259125,0.20364898443222046
.,0.3541337847709656,0.35288307070732117,0.315233439207077,0.4726039469242096,0.5934505462646484,0.3012435734272003,0.2280997633934021,0.4130953550338745
