,what,are,the,two,major,subtypes,of,t,cells,?
there,0.35085538029670715,0.5433560013771057,0.47025805711746216,0.40416133403778076,0.27976733446121216,0.28840523958206177,0.44397735595703125,0.25968942046165466,0.21102742850780487,0.29405656456947327
are,0.29724663496017456,1.0,0.40399202704429626,0.46276170015335083,0.21536177396774292,0.336356520652771,0.39081433415412903,0.2180873155593872,0.2908284366130829,0.24591213464736938
two,0.23363454639911652,0.46276170015335083,0.43858039379119873,1.0000001192092896,0.2501676380634308,0.2689228653907776,0.37726253271102905,0.2029699832201004,0.23961083590984344,0.19645625352859497
major,0.21026742458343506,0.21536177396774292,0.31775903701782227,0.2501676380634308,0.9999998807907104,0.18020834028720856,0.2641255557537079,0.13906510174274445,0.07911869138479233,0.19788557291030884
subtypes,0.23439297080039978,0.336356520652771,0.24259263277053833,0.2689228653907776,0.18020834028720856,1.0000001192092896,0.23141780495643616,0.158058762550354,0.3064592778682709,0.1584886908531189
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.37726253271102905,0.2641255557537079,0.23141780495643616,1.0,0.14617829024791718,0.21305565536022186,0.1826142966747284
t,0.37454068660736084,0.2180873155593872,0.2083338052034378,0.2029699832201004,0.13906510174274445,0.158058762550354,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.4954066574573517
cells,0.1758001297712326,0.2908284366130829,0.19095487892627716,0.23961083590984344,0.07911869138479233,0.3064592778682709,0.21305565536022186,0.25527921319007874,1.0,0.1898086667060852
:,-0.12022944539785385,-0.1189703419804573,-0.03403344005346298,0.016365518793463707,0.02358236350119114,-0.08629690110683441,-0.08807745575904846,-0.062014348804950714,-0.1667492538690567,-0.07156077772378922
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.31775903701782227,0.24259263277053833,0.733189046382904,0.2083338052034378,0.19095487892627716,0.22068053483963013
killer,0.1868809163570404,0.21328569948673248,0.20573623478412628,0.16262298822402954,0.1135811135172844,0.14866803586483002,0.18559542298316956,0.17635615170001984,0.2414173036813736,0.13010363280773163
t,0.37454068660736084,0.2180873155593872,0.2083338052034378,0.2029699832201004,0.13906510174274445,0.158058762550354,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.4954066574573517
cell,0.19222842156887054,0.19039002060890198,0.15822452306747437,0.19977085292339325,0.06213201582431793,0.2194025069475174,0.18332023918628693,0.24071010947227478,0.7729857563972473,0.2058541625738144
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.4671151638031006,0.29795366525650024,0.23972652852535248,0.5116966962814331,0.25205641984939575,0.24033623933792114,0.20544172823429108
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.31775903701782227,0.24259263277053833,0.733189046382904,0.2083338052034378,0.19095487892627716,0.22068053483963013
helper,0.24017302691936493,0.2075515240430832,0.22471751272678375,0.1989290565252304,0.0925932452082634,0.14171156287193298,0.1962171345949173,0.21132126450538635,0.2926276922225952,0.2250194549560547
t,0.37454068660736084,0.2180873155593872,0.2083338052034378,0.2029699832201004,0.13906510174274445,0.158058762550354,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.4954066574573517
cell,0.19222842156887054,0.19039002060890198,0.15822452306747437,0.19977085292339325,0.06213201582431793,0.2194025069475174,0.18332023918628693,0.24071010947227478,0.7729857563972473,0.2058541625738144
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.3524959683418274,0.3054012954235077,0.22542215883731842,0.5352458953857422,0.3410096764564514,0.2868211269378662,0.4130953550338745
