,what,network,showed,a,doctor,who,film,?
segal,0.15719015896320343,0.15375781059265137,0.13503707945346832,0.2132563441991806,0.28182947635650635,0.29560723900794983,0.30220192670822144,0.19470445811748505
's,0.02692362666130066,0.07819218933582306,0.01130695454776287,0.04866964742541313,0.031664930284023285,0.05599616840481758,0.055141352117061615,-0.023395681753754616
negotiations,0.12244246155023575,0.2091195434331894,0.1448306441307068,0.20987188816070557,0.08448905497789383,0.18127410113811493,0.11711250990629196,0.12190581113100052
eventually,0.28470873832702637,0.1920802742242813,0.22082428634166718,0.28132501244544983,0.18808116018772125,0.3540181517601013,0.16897150874137878,0.13642115890979767
led,0.12112844735383987,0.14766094088554382,0.28580787777900696,0.19072435796260834,0.12920638918876648,0.2450801581144333,0.06636901944875717,0.09273858368396759
to,0.455847829580307,0.25940340757369995,0.2083204984664917,0.45503583550453186,0.22950075566768646,0.42656609416007996,0.20211438834667206,0.29463258385658264
a,0.3320399522781372,0.17299489676952362,0.2502788305282593,1.0,0.22883038222789764,0.36608949303627014,0.19172197580337524,0.23916715383529663
doctor,0.20870667695999146,0.1731400340795517,0.1576768159866333,0.22883038222789764,0.9999999403953552,0.3504868149757385,0.20001187920570374,0.1462511420249939
who,0.40942975878715515,0.16999904811382294,0.2253786325454712,0.36608949303627014,0.3504868149757385,0.9999998807907104,0.16308167576789856,0.26220351457595825
television,0.19838058948516846,0.4371747076511383,0.21551290154457092,0.22552843391895294,0.31410008668899536,0.2515988349914551,0.39371010661125183,0.16825827956199646
film,0.17437689006328583,0.20700618624687195,0.13011816143989563,0.19172197580337524,0.20001187920570374,0.16308167576789856,0.9999999403953552,0.16369038820266724
",",0.3087472915649414,0.1932937651872635,0.2312069833278656,0.427140474319458,0.20407600700855255,0.3365725874900818,0.2552308440208435,0.31091248989105225
broadcast,0.17857211828231812,0.5386998653411865,0.2377508580684662,0.2046348601579666,0.18613839149475098,0.18632595241069794,0.3051234781742096,0.15760008990764618
on,0.34226128458976746,0.30190837383270264,0.30369096994400024,0.3848365545272827,0.1636410653591156,0.2340552806854248,0.162833571434021,0.2714994251728058
the,0.42745697498321533,0.27187061309814453,0.3101346790790558,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.2824619710445404,0.22068053483963013
fox,0.16651637852191925,0.3768284022808075,0.17337428033351898,0.16995559632778168,0.1673487275838852,0.20670369267463684,0.25025081634521484,0.1670110523700714
network,0.16917307674884796,1.0000001192092896,0.15086941421031952,0.17299489676952362,0.1731400340795517,0.16999904811382294,0.20700618624687195,0.17853789031505585
in,0.30808621644973755,0.19496823847293854,0.3178827166557312,0.539380669593811,0.25567495822906494,0.2792111933231354,0.22183799743652344,0.20430970191955566
1996,0.1822642683982849,-0.041208673268556595,0.02217218466103077,0.04588954523205757,0.09654296189546585,0.23735210299491882,0.020866384729743004,0.18022380769252777
as,0.31749409437179565,0.2054080367088318,0.2399110049009323,0.39550232887268066,0.17422905564308167,0.3923053741455078,0.21341748535633087,0.27043893933296204
a,0.3320399522781372,0.17299489676952362,0.2502788305282593,1.0,0.22883038222789764,0.36608949303627014,0.19172197580337524,0.23916715383529663
co-production,0.2502289116382599,0.21585622429847717,0.21809756755828857,0.2445279359817505,0.17127932608127594,0.16497808694839478,0.3121299743652344,0.27122342586517334
between,0.2462156116962433,0.2824346423149109,0.2574782371520996,0.29385313391685486,0.13923875987529755,0.20718061923980713,0.12019971758127213,0.12887074053287506
fox,0.16651637852191925,0.3768284022808075,0.17337428033351898,0.16995559632778168,0.1673487275838852,0.20670369267463684,0.25025081634521484,0.1670110523700714
",",0.3087472915649414,0.1932937651872635,0.2312069833278656,0.427140474319458,0.20407600700855255,0.3365725874900818,0.2552308440208435,0.31091248989105225
universal,0.20640362799167633,0.1809668242931366,0.1879974901676178,0.20401886105537415,0.15146315097808838,0.1685853749513626,0.26858651638031006,0.2074412703514099
pictures,0.25560304522514343,0.175273597240448,0.28469377756118774,0.17716485261917114,0.10024036467075348,0.1771126240491867,0.36265212297439575,0.20528490841388702
",",0.3087472915649414,0.1932937651872635,0.2312069833278656,0.427140474319458,0.20407600700855255,0.3365725874900818,0.2552308440208435,0.31091248989105225
the,0.42745697498321533,0.27187061309814453,0.3101346790790558,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.2824619710445404,0.22068053483963013
bbc,0.20634698867797852,0.2992067039012909,0.2015017867088318,0.199848011136055,0.32370132207870483,0.2086644321680069,0.24617424607276917,0.20556949079036713
and,0.31309178471565247,0.27591994404792786,0.2900308668613434,0.3739250600337982,0.21673844754695892,0.41279885172843933,0.23832054436206818,0.20544172823429108
bbc,0.20634698867797852,0.2992067039012909,0.2015017867088318,0.199848011136055,0.32370132207870483,0.2086644321680069,0.24617424607276917,0.20556949079036713
worldwide,0.20704631507396698,0.28141409158706665,0.15744610130786896,0.2395978420972824,0.1638573259115219,0.22665558755397797,0.21784910559654236,0.2253960371017456
.,0.3567904531955719,0.23909442126750946,0.28805166482925415,0.50484299659729,0.22361043095588684,0.3541337847709656,0.22823183238506317,0.4130953550338745
