,what,was,the,percentage,of,a,female,householder,with,no,husband,present,?
there,0.35085538029670715,0.24909798800945282,0.47025805711746216,0.24553850293159485,0.44397735595703125,0.4214206337928772,0.1556638479232788,0.2454911172389984,0.37390366196632385,0.40644893050193787,0.17988575994968414,0.22687895596027374,0.29405656456947327
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.2134767770767212,0.34038281440734863,0.17203083634376526,0.2116384208202362,0.28363505005836487,0.3179011940956116,0.24298787117004395,0.24413074553012848,0.16091316938400269,0.17890112102031708
"158,349",0.08368249982595444,0.0981387346982956,0.16434766352176666,0.11280633509159088,0.1932903379201889,0.058256596326828,0.04186881706118584,0.10577642917633057,0.08320651203393936,0.14035198092460632,-0.06107679009437561,0.10260266065597534,0.0239694956690073
households,0.1889873743057251,0.17632555961608887,0.26440316438674927,0.4049142301082611,0.2765655219554901,0.20367343723773956,0.20643673837184906,0.9071156978607178,0.26435455679893494,0.23270967602729797,0.33966103196144104,0.2548104226589203,0.17362827062606812
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21945469081401825,0.4946078956127167,0.427140474319458,0.1907428652048111,0.30481964349746704,0.4120737314224243,0.29972612857818604,0.312380313873291,0.267320841550827,0.31091248989105225
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24724560976028442,1.0,0.5052502155303955,0.26416701078414917,0.28523769974708557,0.41827285289764404,0.24809792637825012,0.20487503707408905,0.3116828501224518,0.1826142966747284
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.28743335604667664,0.5011631846427917,0.56894451379776,0.1636458784341812,0.21716998517513275,0.46403205394744873,0.32479003071784973,0.14306747913360596,0.27609559893608093,0.25814583897590637
"68,511",-0.10449812561273575,0.015959853306412697,-0.11695859581232071,-0.09497176110744476,-0.1228855550289154,-0.07061339169740677,-0.07166287302970886,0.08383696526288986,0.007122519891709089,-0.007601703517138958,0.19148238003253937,0.028353514149785042,-0.03545636311173439
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.15512096881866455,0.35032153129577637,0.3206180930137634,0.18024283647537231,0.19414621591567993,0.29503780603408813,0.28322693705558777,0.15267622470855713,0.27962008118629456,0.40561532974243164
43.3,0.12193125486373901,0.27674126625061035,0.2625017464160919,-0.017803367227315903,0.32537469267845154,0.15421488881111145,0.07701949030160904,0.12126612663269043,0.13074848055839539,0.1159159243106842,0.21624015271663666,0.1519252508878708,0.12558378279209137
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.5639340281486511,0.19953428208827972,0.17798779904842377,0.15811799466609955,0.40741637349128723,0.16614031791687012,0.23304127156734467,0.1011669784784317,0.1496763378381729,0.21441808342933655
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.18347817659378052,0.3680361211299896,0.3640355169773102,0.190977543592453,0.18774276971817017,0.3069596290588379,0.28349557518959045,0.14676202833652496,0.2881450951099396,0.42300865054130554
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.17636419832706451,0.37755560874938965,0.34897568821907043,0.14103859663009644,0.27151787281036377,0.4739086329936981,0.30951127409935,0.29490193724632263,0.17341838777065277,0.20728366076946259
children,0.22469459474086761,0.16522078216075897,0.15654058754444122,0.15575432777404785,0.1978350728750229,0.12013130635023117,0.20896947383880615,0.3745729923248291,0.1656617969274521,0.1653597056865692,0.4452047049999237,0.25005438923835754,0.21788206696510315
under,0.20154598355293274,0.2672741413116455,0.3348022699356079,0.1528133600950241,0.32766106724739075,0.18317826092243195,0.1326190084218979,0.19458167254924774,0.2667143940925598,0.17363780736923218,0.16820760071277618,0.14006374776363373,0.18233340978622437
the,0.42745697498321533,0.48711544275283813,1.0,0.2736506462097168,0.733189046382904,0.5829201340675354,0.2673940658569336,0.2554776072502136,0.4223487675189972,0.3461136817932129,0.21884585916996002,0.2829846143722534,0.22068053483963013
age,0.1895245760679245,0.27072176337242126,0.24711290001869202,0.20134732127189636,0.2372717410326004,0.19297243654727936,0.16944900155067444,0.2703399360179901,0.1666649878025055,0.16271045804023743,0.24572624266147614,0.18968169391155243,0.16859300434589386
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24724560976028442,1.0,0.5052502155303955,0.26416701078414917,0.28523769974708557,0.41827285289764404,0.24809792637825012,0.20487503707408905,0.3116828501224518,0.1826142966747284
18,-0.09284763038158417,-0.1265212595462799,-0.07796193659305573,-0.03143181651830673,-0.09725122153759003,-0.08585336059331894,-0.005681802053004503,-0.10241000354290009,-0.08583108335733414,-0.06899470090866089,-0.05414649844169617,-0.1025562658905983,-0.04919438064098358
living,0.22245320677757263,0.16790105402469635,0.3127744197845459,0.1932389885187149,0.3499443829059601,0.21367067098617554,0.19943249225616455,0.3353411555290222,0.23172324895858765,0.19501632452011108,0.20092445611953735,0.2656398415565491,0.18362653255462646
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.18874377012252808,0.5696388483047485,0.539380669593811,0.1986217200756073,0.22324803471565247,0.4080928862094879,0.24372287094593048,0.2923726737499237,0.23905439674854279,0.20430970191955566
them,0.4994642734527588,0.23709723353385925,0.4788833558559418,0.32626864314079285,0.34503093361854553,0.3151612877845764,0.1999054253101349,0.2703810930252075,0.4064640402793884,0.3022957444190979,0.26981687545776367,0.14396542310714722,0.35435691475868225
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21945469081401825,0.4946078956127167,0.427140474319458,0.1907428652048111,0.30481964349746704,0.4120737314224243,0.29972612857818604,0.312380313873291,0.267320841550827,0.31091248989105225
"69,284",0.027063701301813126,-0.0011904739076271653,-0.10949991643428802,-0.1044587790966034,-0.08739438652992249,0.027537314221262932,0.10511279851198196,-0.06241540238261223,-0.017837243154644966,0.041743889451026917,0.10679182410240173,-0.029683813452720642,0.20022174715995789
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.15512096881866455,0.35032153129577637,0.3206180930137634,0.18024283647537231,0.19414621591567993,0.29503780603408813,0.28322693705558777,0.15267622470855713,0.27962008118629456,0.40561532974243164
43.8,-6.835996464360505e-05,0.1678871512413025,0.09293273836374283,-0.05071601644158363,0.10555125772953033,-0.006163816433399916,-0.002940561855211854,0.04235995560884476,-0.0011183829046785831,-0.07173719257116318,0.1936129480600357,-0.0007746029878035188,-0.025394409894943237
