,how,many,teachers,are,usually,involved,when,co-teaching,?
co-teaching,0.2874126732349396,0.3525545299053192,0.5701307654380798,0.28967946767807007,0.27129000425338745,0.243784099817276,0.2898806929588318,1.0000001192092896,0.2545979619026184
is,0.22544461488723755,0.2649032473564148,0.15701442956924438,0.5330929756164551,0.4230746626853943,0.1551186740398407,0.3471449911594391,0.22932370007038116,0.22961433231830597
defined,0.22723962366580963,0.21776141226291656,0.1412001997232437,0.2598877251148224,0.28605547547340393,0.23330405354499817,0.18381090462207794,0.24436980485916138,0.22494901716709137
as,0.33782753348350525,0.4070141911506653,0.24171572923660278,0.3826591968536377,0.3335179388523102,0.21659371256828308,0.4437963366508484,0.32216334342956543,0.27043893933296204
two,0.2499001920223236,0.5147606730461121,0.22374475002288818,0.46276170015335083,0.38732194900512695,0.32385894656181335,0.3743424117565155,0.2687143087387085,0.19645625352859497
or,0.3378981947898865,0.36905089020729065,0.2126750648021698,0.5374364256858826,0.654004693031311,0.24083253741264343,0.417120099067688,0.22154347598552704,0.32389625906944275
more,0.4319567084312439,0.48608261346817017,0.22816872596740723,0.4066504240036011,0.406992644071579,0.30725958943367004,0.359977662563324,0.2652073800563812,0.27894994616508484
teachers,0.24127359688282013,0.29123616218566895,1.0,0.2565288841724396,0.2171439230442047,0.20986893773078918,0.2084542065858841,0.5701307654380798,0.19522249698638916
working,0.27748700976371765,0.286085844039917,0.3204410672187805,0.23492206633090973,0.22568723559379578,0.3608497679233551,0.3169759511947632,0.34841006994247437,0.17154020071029663
harmoniously,0.30261367559432983,0.2824607491493225,0.28639331459999084,0.26009759306907654,0.24412310123443604,0.1816251426935196,0.35338887572288513,0.42523303627967834,0.20018011331558228
to,0.44169697165489197,0.40243685245513916,0.2668606638908386,0.3504326641559601,0.3824864327907562,0.24297703802585602,0.5423505902290344,0.3256809115409851,0.29463258385658264
fulfill,0.2679888606071472,0.20117878913879395,0.174920454621315,0.214699849486351,0.16148371994495392,0.22915907204151154,0.23437826335430145,0.2698497772216797,0.23932743072509766
the,0.33890387415885925,0.4335206151008606,0.22025763988494873,0.40399202704429626,0.36782920360565186,0.2872544527053833,0.5091903209686279,0.32308104634284973,0.22068053483963013
needs,0.41854971647262573,0.2496890425682068,0.19749702513217926,0.36136168241500854,0.3854708671569824,0.2405291199684143,0.339900940656662,0.25658509135246277,0.34586572647094727
of,0.2480744868516922,0.37253960967063904,0.27737662196159363,0.39081433415412903,0.33931583166122437,0.30147984623908997,0.3757161796092987,0.36828407645225525,0.1826142966747284
every,0.31805798411369324,0.3416140377521515,0.2230331152677536,0.3086106479167938,0.4582650363445282,0.1601899117231369,0.3753710091114044,0.25900065898895264,0.24066033959388733
student,0.22541755437850952,0.18084076046943665,0.5576453804969788,0.1161111518740654,0.18756678700447083,0.2289724349975586,0.2584058940410614,0.421825110912323,0.13282090425491333
in,0.2601168751716614,0.41474202275276184,0.2128150761127472,0.3841303884983063,0.28848564624786377,0.2988407015800476,0.4431333839893341,0.3246855139732361,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.22025763988494873,0.40399202704429626,0.36782920360565186,0.2872544527053833,0.5091903209686279,0.32308104634284973,0.22068053483963013
classroom,0.25533923506736755,0.2254517376422882,0.49553152918815613,0.2517373561859131,0.19251342117786407,0.22837460041046143,0.18768790364265442,0.42827895283699036,0.23190370202064514
.,0.3287222981452942,0.3974229395389557,0.24628326296806335,0.3452940285205841,0.28580138087272644,0.25169795751571655,0.475719153881073,0.33857107162475586,0.4130953550338745
