,in,what,year,did,tesla,receive,a,nobel,prize,bid,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.17097744345664978,0.19334688782691956,0.539380669593811,0.19903117418289185,0.21274791657924652,0.18770122528076172,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.1324402391910553,0.2726488411426544,0.5829201340675354,0.1909446120262146,0.18969248235225677,0.19956929981708527,0.22068053483963013
years,0.33554986119270325,0.1981470286846161,0.5195499062538147,0.2695724070072174,0.11282773315906525,0.12024138122797012,0.23773819208145142,0.14829306304454803,0.14683568477630615,0.1030612513422966,0.1914375126361847
after,0.44050168991088867,0.21973377466201782,0.336445689201355,0.30330467224121094,0.0752151682972908,0.1930767297744751,0.3831600844860077,0.16828300058841705,0.17313100397586823,0.2084946185350418,0.16608688235282898
these,0.3791837692260742,0.4164220690727234,0.1818191558122635,0.38755595684051514,0.172775998711586,0.2495405375957489,0.24380075931549072,0.15036961436271667,0.11440633237361908,0.09996259957551956,0.2571668326854706
rumors,0.22423382103443146,0.24614384770393372,0.1611710637807846,0.30296680331230164,0.12173129618167877,0.11723800748586655,0.1696208119392395,0.13829338550567627,0.11543835699558258,0.16999690234661102,0.18250153958797455
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.20599327981472015,0.26574233174324036,0.427140474319458,0.29036787152290344,0.28670501708984375,0.17213009297847748,0.31091248989105225
neither,0.2894112467765808,0.376018226146698,0.16492824256420135,0.3713912069797516,0.12385521829128265,0.255275696516037,0.3513123095035553,0.20104730129241943,0.1887931078672409,0.15005172789096832,0.262674480676651
tesla,0.17097744345664978,0.23221199214458466,0.1455472707748413,0.09757418930530548,0.9999999403953552,0.1629931628704071,0.2211925983428955,0.2131464183330536,0.196644127368927,0.028172023594379425,0.10250775516033173
nor,0.22536039352416992,0.33353856205940247,0.1769842952489853,0.3459411859512329,0.09493263065814972,0.2148219794034958,0.24612422287464142,0.1643880009651184,0.12496430426836014,0.11802863329648972,0.2602383494377136
edison,0.22187061607837677,0.15105706453323364,0.16835036873817444,0.1372239738702774,0.35526686906814575,0.2079508751630783,0.2415124475955963,0.23889194428920746,0.20493881404399872,0.19934812188148499,0.10244420915842056
won,0.3280489146709442,0.14840687811374664,0.3163253962993622,0.3493216037750244,0.07117254287004471,0.3146997392177582,0.22534137964248657,0.36583611369132996,0.4721262753009796,0.2996905446052551,0.17925700545310974
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.1324402391910553,0.2726488411426544,0.5829201340675354,0.1909446120262146,0.18969248235225677,0.19956929981708527,0.22068053483963013
prize,0.21274791657924652,0.1654435694217682,0.2223391830921173,0.20095181465148926,0.196644127368927,0.3380831480026245,0.189753457903862,0.8436678051948547,0.9999999403953552,0.18270723521709442,0.14158497750759125
(,0.3087427020072937,0.2411840260028839,0.2556702494621277,0.18979617953300476,0.2156914919614792,0.2112838327884674,0.3206180930137634,0.2373051941394806,0.23201456665992737,0.05947239324450493,0.40561532974243164
although,0.28763338923454285,0.24844598770141602,0.20674915611743927,0.29252153635025024,0.12368585914373398,0.1804775446653366,0.29747897386550903,0.13414783775806427,0.1130966991186142,0.1607048660516739,0.15541206300258636
edison,0.22187061607837677,0.15105706453323364,0.16835036873817444,0.1372239738702774,0.35526686906814575,0.2079508751630783,0.2415124475955963,0.23889194428920746,0.20493881404399872,0.19934812188148499,0.10244420915842056
