,jellyfish,and,sea,anemones,belong,to,which,group/
ctenophores,0.607650101184845,0.20973104238510132,0.3502740263938904,0.6723516583442688,0.3556637763977051,0.2038351595401764,0.37328192591667175,0.4548604190349579
form,0.26375582814216614,0.30469027161598206,0.1316663771867752,0.25599804520606995,0.17399011552333832,0.2772196829319,0.4024239182472229,0.34611767530441284
an,0.10513553768396378,0.2838519215583801,0.17935344576835632,0.1680750697851181,0.18546876311302185,0.3138085603713989,0.3611921966075897,0.1802883744239807
animal,0.34005123376846313,0.28363606333732605,0.2110217958688736,0.32745301723480225,0.1360168308019638,0.18854594230651855,0.25529271364212036,0.22599931061267853
phylum,0.591421902179718,0.1842351108789444,0.3354412615299225,0.5475953221321106,0.39732488989830017,0.1452913135290146,0.3238929212093353,0.4442727863788605
that,0.2784062922000885,0.4731321930885315,0.2267688512802124,0.22632098197937012,0.3162766695022583,0.5436353087425232,0.6894589066505432,0.3207973539829254
is,0.24548999965190887,0.3859752118587494,0.22288988530635834,0.22622449696063995,0.2787644863128662,0.42745086550712585,0.4457404911518097,0.23344090580940247
more,0.18929213285446167,0.39880692958831787,0.17451657354831696,0.24907350540161133,0.2516464293003082,0.47084665298461914,0.4639437198638916,0.2642403841018677
complex,0.2158537209033966,0.2597591280937195,0.1463807225227356,0.2057293951511383,0.2320578396320343,0.2934706509113312,0.36717817187309265,0.247586190700531
than,0.14773651957511902,0.39361441135406494,0.13665421307086945,0.18433037400245667,0.24088959395885468,0.3192550539970398,0.3974681496620178,0.2554238736629486
sponges,0.5731052160263062,0.23735865950584412,0.34075847268104553,0.6229979991912842,0.28428566455841064,0.22966261208057404,0.33021700382232666,0.3250332474708557
",",0.19076992571353912,0.6633074283599854,0.30078184604644775,0.2573172450065613,0.3347422182559967,0.44245919585227966,0.3658004403114319,0.29337581992149353
about,0.22481252253055573,0.3875081241130829,0.22202660143375397,0.21399879455566406,0.302158921957016,0.391953706741333,0.4059852957725525,0.21515659987926483
as,0.20581741631031036,0.49487000703811646,0.1931508332490921,0.2066715806722641,0.21590901911258698,0.42092081904411316,0.41006597876548767,0.2681198716163635
complex,0.2158537209033966,0.2597591280937195,0.1463807225227356,0.2057293951511383,0.2320578396320343,0.2934706509113312,0.36717817187309265,0.247586190700531
as,0.20581741631031036,0.49487000703811646,0.1931508332490921,0.2066715806722641,0.21590901911258698,0.42092081904411316,0.41006597876548767,0.2681198716163635
cnidarians,0.6279201507568359,0.27171704173088074,0.3588523268699646,0.6206944584846497,0.36848926544189453,0.23297999799251556,0.38001200556755066,0.45691943168640137
(,0.1393953114748001,0.4862271547317505,0.19181853532791138,0.21810737252235413,0.2501184642314911,0.30882009863853455,0.2589828372001648,0.27083590626716614
jellyfish,0.9999999403953552,0.23375780880451202,0.4768025577068329,0.6030939221382141,0.27569547295570374,0.2273033857345581,0.31962162256240845,0.2985820472240448
",",0.19076992571353912,0.6633074283599854,0.30078184604644775,0.2573172450065613,0.3347422182559967,0.44245919585227966,0.3658004403114319,0.29337581992149353
sea,0.4768025577068329,0.30105236172676086,1.0,0.49242234230041504,0.18511179089546204,0.2749888300895691,0.25416871905326843,0.16729691624641418
anemones,0.6030939221382141,0.2719230055809021,0.49242234230041504,1.0,0.31785547733306885,0.2504860460758209,0.35157403349876404,0.4372987449169159
",",0.19076992571353912,0.6633074283599854,0.30078184604644775,0.2573172450065613,0.3347422182559967,0.44245919585227966,0.3658004403114319,0.29337581992149353
etc,0.10152681171894073,0.389168918132782,0.09120629727840424,0.19760634005069733,0.213098406791687,0.25925078988075256,0.3287883996963501,0.30739501118659973
.,0.24503003060817719,0.588965117931366,0.2680719196796417,0.3041921854019165,0.23404979705810547,0.4645031690597534,0.45942068099975586,0.2936285734176636
