,when,were,theories,developed,suggesting,inequality,may,have,some,positive,effect,on,economic,development,?
some,0.386913925409317,0.4592604339122772,0.3330647051334381,0.3364255428314209,0.4198477864265442,0.24977920949459076,0.35431578755378723,0.6421269774436951,0.9999999403953552,0.2515958845615387,0.2883170247077942,0.31474894285202026,0.17811153829097748,0.29185888171195984,0.2562315762042999
theories,0.1704409122467041,0.23568083345890045,1.0000001192092896,0.33307912945747375,0.3986853063106537,0.3678716719150543,0.21865426003932953,0.31020575761795044,0.3330647051334381,0.14974401891231537,0.33981233835220337,0.1634472757577896,0.33657026290893555,0.35051262378692627,0.21320602297782898
developed,0.19180624186992645,0.2749831974506378,0.33307912945747375,1.0000001192092896,0.23930983245372772,0.18421705067157745,0.16241785883903503,0.27746251225471497,0.3364255428314209,0.12502357363700867,0.23747453093528748,0.2070675492286682,0.22381740808486938,0.5277126431465149,0.10763012617826462
in,0.4431333839893341,0.3815755248069763,0.1867285519838333,0.2498214840888977,0.24597282707691193,0.19402410089969635,0.3424151837825775,0.36843645572662354,0.4010399878025055,0.1836131066083908,0.25150683522224426,0.46853652596473694,0.22027181088924408,0.2550492286682129,0.20430970191955566
the,0.5091903209686279,0.3906462490558624,0.24012529850006104,0.24490751326084137,0.3232928216457367,0.23508106172084808,0.2694292366504669,0.40389683842658997,0.4566698372364044,0.20502062141895294,0.2865084111690521,0.5107308030128479,0.282455176115036,0.3362044394016266,0.22068053483963013
1970s,0.011553144082427025,0.08689665049314499,0.02719784341752529,0.07862294465303421,0.037676453590393066,-0.008241991512477398,0.07207226753234863,0.0004282793961465359,0.10716596990823746,-0.01150948740541935,0.047186288982629776,0.02983531542122364,0.03198298066854477,-0.06250833719968796,0.03861190751194954
established,0.18169470131397247,0.19600653648376465,0.17646539211273193,0.3841645419597626,0.1605234146118164,0.18529261648654938,0.1018577516078949,0.17518210411071777,0.15749907493591309,0.046514254063367844,0.16500885784626007,0.18237954378128052,0.18386182188987732,0.1997104436159134,0.15917523205280304
possible,0.2793816924095154,0.2087617963552475,0.3333362638950348,0.24464620649814606,0.39418449997901917,0.3223249316215515,0.37218719720840454,0.34919747710227966,0.38970518112182617,0.1864130198955536,0.329895555973053,0.2587844133377075,0.16761843860149384,0.21590009331703186,0.3059970438480377
avenues,0.09733539074659348,0.16175751388072968,0.15917132794857025,0.11348343640565872,0.17249301075935364,0.19310693442821503,0.1592298150062561,0.18485027551651,0.19266359508037567,0.16042426228523254,0.12970556318759918,0.23733770847320557,0.17347146570682526,0.19596806168556213,0.08417343348264694
through,0.34666842222213745,0.20187680423259735,0.13811588287353516,0.18890781700611115,0.22320814430713654,0.14136956632137299,0.09924745559692383,0.2991202771663666,0.2702731192111969,0.20772279798984528,0.25620579719543457,0.32785001397132874,0.15108944475650787,0.2474883496761322,0.16913433372974396
