,what,does,the,zachęta,national,gallery,of,art,organize,exhibitions,of,art,from,?
zachęta,0.1317824423313141,0.10951753705739975,0.2168884426355362,0.9999999403953552,0.1724189966917038,0.16860027611255646,0.16483181715011597,0.0566386841237545,0.11185748875141144,0.06550853699445724,0.16483181715011597,0.0566386841237545,0.20558619499206543,0.11824829876422882
national,0.16882304847240448,0.16890141367912292,0.32739606499671936,0.1724189966917038,1.0000001192092896,0.3065410256385803,0.3314673602581024,0.17277342081069946,0.18992115557193756,0.21934787929058075,0.3314673602581024,0.17277342081069946,0.17547941207885742,0.15643028914928436
gallery,0.1566055566072464,0.14160312712192535,0.19251246750354767,0.16860027611255646,0.3065410256385803,1.0,0.1971534639596939,0.5883238911628723,0.1373949497938156,0.5697075128555298,0.1971534639596939,0.5883238911628723,0.16936369240283966,0.18202216923236847
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.16483181715011597,0.3314673602581024,0.1971534639596939,1.0,0.22648051381111145,0.25845417380332947,0.21483451128005981,1.0,0.22648051381111145,0.4249346852302551,0.1826142966747284
art,0.19292277097702026,0.2125045508146286,0.20297785103321075,0.0566386841237545,0.17277342081069946,0.5883238911628723,0.22648051381111145,1.0,0.18305915594100952,0.5523959994316101,0.22648051381111145,1.0,0.2182932198047638,0.138971745967865
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.29565584659576416,0.23933029174804688,0.21593497693538666,0.4946078956127167,0.2700960636138916,0.16072356700897217,0.18040192127227783,0.4946078956127167,0.2700960636138916,0.39760664105415344,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.2168884426355362,0.32739606499671936,0.19251246750354767,0.733189046382904,0.20297785103321075,0.25967422127723694,0.22228071093559265,0.733189046382904,0.20297785103321075,0.40150508284568787,0.22068053483963013
oldest,0.12504005432128906,0.17237301170825958,0.30836519598960876,0.11693388223648071,0.24310435354709625,0.15457580983638763,0.33351290225982666,0.1381353735923767,0.10286891460418701,0.11945139616727829,0.33351290225982666,0.1381353735923767,0.1716088354587555,0.14864160120487213
exhibition,0.1526671200990677,0.14303478598594666,0.22614671289920807,0.10035043209791183,0.22316120564937592,0.5944994688034058,0.20735959708690643,0.5548220276832581,0.29155224561691284,0.9354147911071777,0.20735959708690643,0.5548220276832581,0.17330977320671082,0.11494685709476471
site,0.21561308205127716,0.09297509491443634,0.288954496383667,0.14228975772857666,0.21713773906230927,0.30233022570610046,0.24291633069515228,0.18828482925891876,0.21835143864154816,0.18263284862041473,0.24291633069515228,0.18828482925891876,0.12587226927280426,0.2014765441417694
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.2088518738746643,0.28915393352508545,0.21665531396865845,0.5696388483047485,0.2282189577817917,0.3008374273777008,0.28373631834983826,0.5696388483047485,0.2282189577817917,0.4274188280105591,0.20430970191955566
warsaw,0.10373849421739578,0.16921466588974,0.23137180507183075,0.22569209337234497,0.19670157134532928,0.17563293874263763,0.19253842532634735,0.1610770970582962,0.2343822866678238,0.28631919622421265,0.19253842532634735,0.1610770970582962,0.2396499514579773,0.09769917279481888
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.29565584659576416,0.23933029174804688,0.21593497693538666,0.4946078956127167,0.2700960636138916,0.16072356700897217,0.18040192127227783,0.4946078956127167,0.2700960636138916,0.39760664105415344,0.31091248989105225
with,0.2464839518070221,0.26186925172805786,0.4223487675189972,0.16406214237213135,0.15206176042556763,0.172745481133461,0.41827285289764404,0.13893495500087738,0.21631549298763275,0.2423982173204422,0.41827285289764404,0.13893495500087738,0.26272761821746826,0.2433311939239502
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.22399401664733887,0.27889734506607056,0.13071094453334808,0.5052502155303955,0.1329297125339508,0.24984338879585266,0.16376586258411407,0.5052502155303955,0.1329297125339508,0.322764128446579,0.23916715383529663
tradition,0.24046438932418823,0.19745168089866638,0.2632053792476654,0.11569578945636749,0.2145528942346573,0.1976926177740097,0.2663337290287018,0.29928362369537354,0.17153501510620117,0.250736802816391,0.2663337290287018,0.29928362369537354,0.18267878890037537,0.15717756748199463
stretching,0.24755911529064178,0.1759767085313797,0.3309820890426636,0.11373063921928406,0.13272328674793243,0.1651214212179184,0.33520081639289856,0.24364149570465088,0.16989262402057648,0.18463356792926788,0.33520081639289856,0.24364149570465088,0.26473143696784973,0.10934048146009445
