,who,performed,a,benefit,concert,for,the,charity,children,in,need,?
all,0.3698336184024811,0.2150924801826477,0.2696802616119385,0.3084777295589447,0.18830232322216034,0.41144001483917236,0.4860881567001343,0.18619383871555328,0.16303220391273499,0.3335905969142914,0.3924550414085388,0.29575422406196594
the,0.3733934462070465,0.239950031042099,0.5829201340675354,0.24974633753299713,0.2353888601064682,0.4739971458911896,1.0,0.21295595169067383,0.15654058754444122,0.6662389636039734,0.2594960331916809,0.22068053483963013
incidental,0.24684634804725647,0.2683759927749634,0.2759001851081848,0.17751942574977875,0.25039586424827576,0.25834038853645325,0.3185252845287323,0.12433525919914246,0.12209129333496094,0.2717534303665161,0.21078315377235413,0.21818841993808746
music,0.20470726490020752,0.3928321301937103,0.2234005630016327,0.18196862936019897,0.43974265456199646,0.2626277506351471,0.2714049816131592,0.2542702853679657,0.253147155046463,0.22969312965869904,0.16528290510177612,0.18264494836330414
for,0.37110671401023865,0.26222237944602966,0.44038116931915283,0.3559150993824005,0.25147745013237,0.9999999403953552,0.4739971458911896,0.2896091938018799,0.19934585690498352,0.4322226941585541,0.3668079972267151,0.264628142118454
the,0.3733934462070465,0.239950031042099,0.5829201340675354,0.24974633753299713,0.2353888601064682,0.4739971458911896,1.0,0.21295595169067383,0.15654058754444122,0.6662389636039734,0.2594960331916809,0.22068053483963013
2005,0.18423187732696533,0.11373837292194366,-0.044396962970495224,-0.017049385234713554,0.10901892930269241,0.04140647128224373,0.037273142486810684,0.03602956235408783,0.012960178777575493,0.009931974112987518,0.024555040523409843,0.10709824413061142
revived,0.19575545191764832,0.341825008392334,0.19028067588806152,0.12564124166965485,0.16143426299095154,0.22673362493515015,0.2936354875564575,0.1287996768951416,0.22978384792804718,0.2954840660095215,0.11449715495109558,0.1299351006746292
series,0.21484537422657013,0.16074661910533905,0.23966510593891144,0.08931868523359299,0.21174177527427673,0.2715710699558258,0.31376904249191284,0.18685682117938995,0.24287088215351105,0.2914260923862457,0.20369496941566467,0.1709602326154709
has,0.2558172643184662,0.20503535866737366,0.4670248031616211,0.24811552464962006,0.160256028175354,0.450642853975296,0.4177538752555847,0.15298676490783691,0.14232949912548065,0.4173259735107422,0.2697809636592865,0.15994466841220856
