,when,was,the,first,plastome,sequenced,?
its,0.34032323956489563,0.3518870174884796,0.559237003326416,0.26377397775650024,0.22537674009799957,0.1401437371969223,0.15103481709957123
existence,0.1914508193731308,0.19127944111824036,0.3168535828590393,0.1849697083234787,0.20563937723636627,0.17834776639938354,0.17803658545017242
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.163870170712471,0.17971199750900269,0.18412111699581146
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,1.0,0.23121322691440582,0.22550120949745178,0.18701928853988647
proved,0.2612682282924652,0.3044681251049042,0.2359304130077362,0.27645906805992126,0.1944497674703598,0.30575403571128845,0.1678566187620163
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.23281773924827576,0.195512592792511,0.20430970191955566
1962,-0.07782699912786484,-0.03281155601143837,-0.023296929895877838,-0.12709982693195343,-0.05751752480864525,-0.06241497024893761,-0.008269774727523327
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.2565670311450958,0.2004188597202301,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.3167642652988434,0.268297016620636,0.2107895463705063,0.20544172823429108
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,1.0,0.23121322691440582,0.22550120949745178,0.18701928853988647
sequenced,0.22924666106700897,0.17971199750900269,0.2043665200471878,0.22550120949745178,0.24993017315864563,1.0000001192092896,0.16787222027778625
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.23281773924827576,0.195512592792511,0.20430970191955566
1986—when,0.6516492962837219,0.30912038683891296,0.5049999356269836,0.39418870210647583,0.3466885983943939,0.33809852600097656,0.3625146746635437
two,0.3743424117565155,0.27166637778282166,0.43858039379119873,0.3794230818748474,0.19448453187942505,0.23759278655052185,0.19645625352859497
japanese,0.1494722217321396,0.21891649067401886,0.21599429845809937,0.19023138284683228,0.15047569572925568,0.21095195412635803,0.12021756172180176
research,0.19555708765983582,0.21417704224586487,0.24391183257102966,0.19972166419029236,0.2145560383796692,0.19890473783016205,0.13481977581977844
teams,0.21796108782291412,0.1698075383901596,0.3164927661418915,0.2436947077512741,0.13872340321540833,0.13017606735229492,0.11150168627500534
sequenced,0.22924666106700897,0.17971199750900269,0.2043665200471878,0.22550120949745178,0.24993017315864563,1.0000001192092896,0.16787222027778625
the,0.5091903209686279,0.48711544275283813,1.0,0.49448907375335693,0.2338763177394867,0.2043665200471878,0.22068053483963013
chloroplast,0.2618095278739929,0.1622564196586609,0.21317854523658752,0.2370421439409256,0.6669666171073914,0.3752402067184448,0.12532055377960205
dna,0.19097159802913666,0.15064743161201477,0.19235704839229584,0.2000969797372818,0.3706631362438202,0.5389183163642883,0.1548636108636856
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3536086082458496,0.2771890163421631,0.17863619327545166,0.1826142966747284
liverwort,0.24990028142929077,0.23606136441230774,0.2649379074573517,0.2232719361782074,0.42800915241241455,0.2837992310523987,0.22459635138511658
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.3167642652988434,0.268297016620636,0.2107895463705063,0.20544172823429108
tobacco,0.21980495750904083,0.19403526186943054,0.23904429376125336,0.11018243432044983,0.267680823802948,0.10442516207695007,0.11937496811151505
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.287638783454895,0.2016836255788803,0.4130953550338745
