,where,would,the,launch,operations,center,be,located,",",as,more,land,was,needed,for,a,bigger,rocket,?
but,0.49101024866104126,0.5366146564483643,0.4859698414802551,0.21490465104579926,0.22122451663017273,0.18778568506240845,0.5764366984367371,0.1813543438911438,0.48126736283302307,0.4864770472049713,0.4887734353542328,0.23933424055576324,0.36023372411727905,0.4255334734916687,0.45162561535835266,0.44750767946243286,0.31846198439598083,0.1706627905368805,0.27921953797340393
an,0.24824833869934082,0.2650099992752075,0.4207492768764496,0.17669998109340668,0.1916370540857315,0.14463786780834198,0.33041056990623474,0.19637414813041687,0.3581022024154663,0.37218472361564636,0.316240519285202,0.15302860736846924,0.3694365322589874,0.27356213331222534,0.3236706852912903,0.44552403688430786,0.22362378239631653,0.1545008420944214,0.19793890416622162
even,0.35960274934768677,0.48455893993377686,0.37996912002563477,0.12948456406593323,0.18350327014923096,0.14737588167190552,0.4886775612831116,0.13630512356758118,0.34610581398010254,0.37670591473579407,0.5038509368896484,0.18403717875480652,0.27441510558128357,0.49199312925338745,0.39184510707855225,0.3278432786464691,0.40292587876319885,0.14349232614040375,0.30082517862319946
bigger,0.2729746103286743,0.3031826615333557,0.35439056158065796,0.18206161260604858,0.19614925980567932,0.18318144977092743,0.2742977738380432,0.26069387793540955,0.28716740012168884,0.24594448506832123,0.4548349976539612,0.28246626257896423,0.13063959777355194,0.341983437538147,0.1722739338874817,0.27918514609336853,1.0,0.2177959680557251,0.16528849303722382
facility,0.25094524025917053,0.16368083655834198,0.19252020120620728,0.29632753133773804,0.3536504805088043,0.36876654624938965,0.17651550471782684,0.3465913236141205,0.17779797315597534,0.18007348477840424,0.20428507030010223,0.1624423861503601,0.193069726228714,0.28126615285873413,0.2808893620967865,0.2580786943435669,0.16956351697444916,0.24372358620166779,0.12783357501029968
would,0.3602546751499176,1.0000001192092896,0.4133751392364502,0.22639283537864685,0.25545990467071533,0.11460539698600769,0.5202695727348328,0.10901174694299698,0.32586824893951416,0.3824005722999573,0.446984201669693,0.24477986991405487,0.41663143038749695,0.5094520449638367,0.39877474308013916,0.398599237203598,0.3031826615333557,0.15449215471744537,0.37178951501846313
be,0.3651217818260193,0.5202695727348328,0.4248143136501312,0.1838330626487732,0.19375905394554138,0.17372749745845795,1.0,0.1374867707490921,0.39254459738731384,0.5230465531349182,0.5445363521575928,0.18650540709495544,0.42228707671165466,0.44150373339653015,0.3801851272583008,0.39883795380592346,0.2742977738380432,0.20024511218070984,0.3324260413646698
needed,0.333842933177948,0.5094520449638367,0.3064746856689453,0.23571419715881348,0.24707265198230743,0.14653778076171875,0.44150373339653015,0.1388804167509079,0.29017356038093567,0.2788996696472168,0.43749386072158813,0.1848260909318924,0.227164626121521,1.0,0.38127243518829346,0.2915569543838501,0.341983437538147,0.18976804614067078,0.2863257825374603
for,0.38599511981010437,0.39877474308013916,0.4739971458911896,0.25149083137512207,0.27237167954444885,0.1980270892381668,0.3801851272583008,0.1493360996246338,0.4464869201183319,0.44774648547172546,0.3891189992427826,0.19845563173294067,0.3863949179649353,0.38127243518829346,0.9999999403953552,0.44038116931915283,0.1722739338874817,0.19801875948905945,0.264628142118454
the,0.5003893971443176,0.4133751392364502,1.0,0.2628649175167084,0.2928410470485687,0.29064592719078064,0.4248143136501312,0.407527357339859,0.4933079481124878,0.48381632566452026,0.39758381247520447,0.28587454557418823,0.48711544275283813,0.3064746856689453,0.4739971458911896,0.5829201340675354,0.35439056158065796,0.20029182732105255,0.22068053483963013
mammoth,0.21653243899345398,0.10351575165987015,0.2599867582321167,0.16553948819637299,0.0962633565068245,0.1799900382757187,0.16178598999977112,0.18976664543151855,0.2673863172531128,0.26700499653816223,0.18485967814922333,0.16880261898040771,0.23382438719272614,0.08276934176683426,0.18999746441841125,0.17419524490833282,0.21972164511680603,0.13044878840446472,0.19173048436641693
rocket,0.15643194317817688,0.15449215471744537,0.20029182732105255,0.5237632393836975,0.18866515159606934,0.18728291988372803,0.20024511218070984,0.14721065759658813,0.22094695270061493,0.15595445036888123,0.19840608537197113,0.20528832077980042,0.1610075682401657,0.18976804614067078,0.19801875948905945,0.2245865762233734,0.2177959680557251,1.0,0.16587020456790924
