,what,was,the,usual,type,of,school,discipline,?
throughout,0.2130906730890274,0.2373686283826828,0.4158564507961273,0.2700137197971344,0.14910730719566345,0.35374847054481506,0.16491690278053284,0.16475126147270203,0.12665234506130219
the,0.42745697498321533,0.48711544275283813,1.0,0.3319869339466095,0.21819381415843964,0.733189046382904,0.22953221201896667,0.1981438249349594,0.22068053483963013
history,0.28630873560905457,0.25589004158973694,0.33215048909187317,0.0646008625626564,0.129188671708107,0.31014925241470337,0.2213449478149414,0.21101026237010956,0.2501974403858185
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2923421263694763,0.18112817406654358,1.0,0.2391800880432129,0.2260950356721878,0.1826142966747284
education,0.19940856099128723,0.23187610507011414,0.23982903361320496,0.09959988296031952,0.07525362819433212,0.3015166223049164,0.5861870050430298,0.3033060133457184,0.18067774176597595
the,0.42745697498321533,0.48711544275283813,1.0,0.3319869339466095,0.21819381415843964,0.733189046382904,0.22953221201896667,0.1981438249349594,0.22068053483963013
most,0.3219912350177765,0.29933857917785645,0.47635307908058167,0.36365726590156555,0.24228660762310028,0.4178851246833801,0.13605839014053345,0.18959982693195343,0.2107497900724411
common,0.19989867508411407,0.0880795493721962,0.2705984115600586,0.4304712116718292,0.3472718596458435,0.2949881851673126,0.13768410682678223,0.10198914259672165,0.20434872806072235
form,0.15868011116981506,0.15690121054649353,0.29286009073257446,0.2470541000366211,0.3017115294933319,0.29600051045417786,0.1298884153366089,0.19285772740840912,0.1463010311126709
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2923421263694763,0.18112817406654358,1.0,0.2391800880432129,0.2260950356721878,0.1826142966747284
school,0.18774057924747467,0.25740107893943787,0.22953221201896667,0.1035555750131607,0.11896730959415436,0.2391800880432129,1.0,0.23339909315109253,0.15091250836849213
discipline,0.2522185742855072,0.19787335395812988,0.1981438249349594,0.1923585683107376,0.1828993856906891,0.2260950356721878,0.23339909315109253,1.0000001192092896,0.06836310029029846
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.14010827243328094,0.14348182082176208,0.4069072902202606,0.25740107893943787,0.19787335395812988,0.18412111699581146
corporal,0.148063525557518,0.19440697133541107,0.22063873708248138,0.13484196364879608,0.12086012214422226,0.18547691404819489,0.19004926085472107,0.22956888377666473,0.1554132103919983
punishment,0.31300443410873413,0.2287234514951706,0.2503047287464142,0.25056004524230957,0.11259355396032333,0.2056395560503006,0.17317719757556915,0.3168984055519104,0.23842233419418335
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.27288782596588135,0.23195341229438782,0.5352458953857422,0.24214158952236176,0.129770427942276,0.4130953550338745
