,what,law,justified,british,imperialism,?
british,0.19255435466766357,0.11895673722028732,0.1182018592953682,1.0,0.25555220246315,0.09711728990077972
imperialism,0.24614648520946503,0.28739795088768005,0.2730354368686676,0.25555220246315,1.0,0.14998586475849152
often,0.3849453330039978,0.17538830637931824,0.14900588989257812,0.17364118993282318,0.239182248711586,0.23748154938220978
used,0.27546408772468567,0.16105133295059204,0.18818427622318268,0.21756380796432495,0.19512230157852173,0.22430120408535004
the,0.42745697498321533,0.24548950791358948,0.20756277441978455,0.28973397612571716,0.2716025412082672,0.22068053483963013
concept,0.28724339604377747,0.2657865881919861,0.3495963513851166,0.14508889615535736,0.33503660559654236,0.17160645127296448
of,0.33290785551071167,0.2816956341266632,0.21700510382652283,0.23701532185077667,0.29240643978118896,0.1826142966747284
terra,0.1928153783082962,0.1840965449810028,0.11656082421541214,0.10515516251325607,0.18133176863193512,0.15037380158901215
nullius,0.31320661306381226,0.31289228796958923,0.2608643174171448,0.09998679161071777,0.25395190715789795,0.23118853569030762
(,0.2411840260028839,0.14312884211540222,0.2663154900074005,0.18040098249912262,0.19792230427265167,0.40561532974243164
latin,0.1759578436613083,0.16648350656032562,0.22472168505191803,0.07824276387691498,0.2174939662218094,0.1303461492061615
expression,0.258706271648407,0.14826235175132751,0.2547977864742279,0.1445218324661255,0.3259335458278656,0.17946012318134308
which,0.5261979103088379,0.20205146074295044,0.24785077571868896,0.2002234309911728,0.22499221563339233,0.25814583897590637
stems,0.15208248794078827,0.07807799428701401,0.21528303623199463,0.09493859112262726,0.1661623865365982,0.15304353833198547
from,0.2737620174884796,0.19070591032505035,0.15972132980823517,0.21991202235221863,0.16361792385578156,0.19969791173934937
roman,0.17852471768856049,0.222734272480011,0.18553709983825684,0.1780949980020523,0.30350908637046814,0.1663191318511963
law,0.2145031988620758,1.0000001192092896,0.1890905797481537,0.11895673722028732,0.28739795088768005,0.1528988480567932
meaning,0.24135559797286987,0.16994652152061462,0.201259583234787,0.042939692735672,0.2165427953004837,0.20420892536640167
'empty,0.1749005913734436,0.12432767450809479,0.1955263465642929,0.1204448938369751,0.10144717991352081,0.2481113076210022
land,0.23411516845226288,0.22535961866378784,0.18739117681980133,0.16519016027450562,0.2086302489042282,0.1432059109210968
',0.3245812654495239,0.20381797850131989,0.22911083698272705,0.1731228083372116,0.20477434992790222,0.330942302942276
),0.26259949803352356,0.15311799943447113,0.2577941417694092,0.19181592762470245,0.2044532299041748,0.42300865054130554
.,0.3567904531955719,0.24482665956020355,0.25329241156578064,0.23159366846084595,0.22279119491577148,0.4130953550338745
