,how,many,people,work,for,kunskapsskolan,schools,?
for,0.3308170735836029,0.40972793102264404,0.24900002777576447,0.4087657630443573,0.9999999403953552,0.23914265632629395,0.2320515662431717,0.264628142118454
instance,0.3896791636943817,0.36262694001197815,0.22350957989692688,0.2887267470359802,0.4085063934326172,0.16786286234855652,0.20073553919792175,0.30205854773521423
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.3283594250679016,0.4464869201183319,0.3854314386844635,0.2760516405105591,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.2704800069332123,0.4739971458911896,0.33107176423072815,0.22905772924423218,0.22068053483963013
biggest,0.0969994068145752,0.29122593998908997,0.27483657002449036,0.10824080556631088,0.1842430830001831,0.21747472882270813,0.17485781013965607,0.11438456177711487
school,0.11585085093975067,0.20931920409202576,0.23288322985172272,0.19769346714019775,0.18618352711200714,0.2705797255039215,0.7602541446685791,0.15091250836849213
chain,0.15062852203845978,0.19466185569763184,0.1299760341644287,0.08238725364208221,0.18970941007137299,0.1460324376821518,0.13764144480228424,0.09208294749259949
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.3283594250679016,0.4464869201183319,0.3854314386844635,0.2760516405105591,0.31091248989105225
kunskapsskolan,0.14843492209911346,0.24517425894737244,0.22167526185512543,0.26481327414512634,0.23914265632629395,1.0,0.17807544767856598,0.16704556345939636
(,0.1676948219537735,0.1455259770154953,0.17817604541778564,0.22960703074932098,0.3357032239437103,0.2938951849937439,0.15322564542293549,0.40561532974243164
“,-0.07636628299951553,-0.06879863888025284,-0.07845085114240646,-0.04801655188202858,-0.13923639059066772,-0.005665081553161144,0.03625481203198433,-0.043535903096199036
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.2704800069332123,0.4739971458911896,0.33107176423072815,0.22905772924423218,0.22068053483963013
knowledge,0.3632954955101013,0.2942633032798767,0.17677606642246246,0.3594193458557129,0.2610958516597748,0.18662461638450623,0.2639144957065582,0.2853184640407562
school,0.11585085093975067,0.20931920409202576,0.23288322985172272,0.19769346714019775,0.18618352711200714,0.2705797255039215,0.7602541446685791,0.15091250836849213
”,0.0009246314875781536,-0.09252884238958359,5.338235496310517e-05,0.0502333864569664,0.010910828597843647,0.04089396446943283,-0.05790290981531143,0.014230710454285145
),0.17939934134483337,0.16602720320224762,0.18634183704853058,0.251366525888443,0.3639558255672455,0.3253677487373352,0.16219249367713928,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.3283594250679016,0.4464869201183319,0.3854314386844635,0.2760516405105591,0.31091248989105225
offers,0.16007313132286072,0.2285018414258957,0.1543043553829193,0.20845645666122437,0.33694595098495483,0.22513553500175476,0.265406996011734,0.1211681216955185
30,-0.0035910264123231173,0.09108389914035797,0.053928397595882416,0.046764589846134186,0.005358967464417219,0.03919849172234535,0.06390552967786789,-0.08261742442846298
schools,0.12874440848827362,0.3108086585998535,0.3038313686847687,0.16576606035232544,0.2320515662431717,0.17807544767856598,1.0,0.18349280953407288
and,0.33647966384887695,0.5296266674995422,0.3016039729118347,0.37551814317703247,0.5064792633056641,0.33618101477622986,0.29319998621940613,0.20544172823429108
a,0.29312583804130554,0.2872205972671509,0.3483705520629883,0.266241192817688,0.44038116931915283,0.3131978511810303,0.2118925303220749,0.23916715383529663
web-based,0.35459190607070923,0.3440934419631958,0.23515906929969788,0.28624168038368225,0.3297695815563202,0.31047943234443665,0.2615525722503662,0.29991838335990906
environment,0.2706455886363983,0.2855686843395233,0.25315842032432556,0.24367661774158478,0.2984005808830261,0.13961058855056763,0.16558493673801422,0.19478057324886322
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.3283594250679016,0.4464869201183319,0.3854314386844635,0.2760516405105591,0.31091248989105225
has,0.26820555329322815,0.4266262650489807,0.2147672474384308,0.2056587189435959,0.450642853975296,0.2765798568725586,0.2180989682674408,0.15994466841220856
700,0.10865619033575058,0.05419022589921951,0.04578259214758873,0.14308854937553406,0.11527794599533081,0.09622965008020401,0.2258710116147995,0.1795072853565216
employees,0.2363148033618927,0.22650405764579773,0.29348182678222656,0.3489621579647064,0.22925186157226562,0.1976311057806015,0.31047847867012024,0.2076551467180252
and,0.33647966384887695,0.5296266674995422,0.3016039729118347,0.37551814317703247,0.5064792633056641,0.33618101477622986,0.29319998621940613,0.20544172823429108
teaches,0.29298272728919983,0.2778831720352173,0.30037251114845276,0.2926417887210846,0.26241829991340637,0.2875572443008423,0.5004404783248901,0.2008351981639862
nearly,0.23273618519306183,0.4278171956539154,0.23083046078681946,0.22323037683963776,0.3204576373100281,0.22795478999614716,0.23415887355804443,0.11670064926147461
"10,000",-0.08011393249034882,-0.13516037166118622,-0.1637008786201477,-0.01029962208122015,-0.036511458456516266,0.22591596841812134,-0.15099786221981049,0.10342991352081299
pupils,0.24594810605049133,0.24248206615447998,0.2096109688282013,0.20478017628192902,0.148450568318367,0.235025092959404,0.413528710603714,0.06499303877353668
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.33121398091316223,0.4726039469242096,0.3301883637905121,0.2752705216407776,0.4130953550338745
