,how,large,are,the,outer,pd,ring,'s,filaments,?
it,0.36714982986450195,0.2843167781829834,0.3617996573448181,0.6251175999641418,0.24907033145427704,0.15752610564231873,0.16432680189609528,0.06608816236257553,0.2940559685230255,0.25732165575027466
consists,0.14797210693359375,0.293642520904541,0.43408724665641785,0.3362659811973572,0.24187001585960388,0.1242331862449646,0.1416490525007248,-0.021244008094072342,0.32996317744255066,-0.004641483072191477
of,0.2480744868516922,0.3569655418395996,0.39081433415412903,0.733189046382904,0.26699039340019226,0.16554678976535797,0.20323021709918976,-0.03817026689648628,0.21302953362464905,0.1826142966747284
filaments,0.23186449706554413,0.3344804644584656,0.3961678743362427,0.2968588173389435,0.415172278881073,0.15525826811790466,0.2523195147514343,0.056504689157009125,1.0,0.09979134798049927
about,0.44264400005340576,0.20547378063201904,0.36165615916252136,0.37995871901512146,0.21945780515670776,0.15130305290222168,0.17886163294315338,-0.020936643704771996,0.19548167288303375,0.302409827709198
5,0.03444203734397888,0.06500358134508133,-0.004890664014965296,0.09255307912826538,0.015114345587790012,0.10653338581323624,0.08576145023107529,-0.00032236112747341394,0.129440575838089,0.06222071498632431
nanometers,0.33808672428131104,0.3287728726863861,0.34647881984710693,0.25045979022979736,0.3611811697483063,0.2753644585609436,0.23112326860427856,-0.04166029021143913,0.5649386048316956,0.18336744606494904
across,0.2515762746334076,0.33689454197883606,0.24150612950325012,0.3816230297088623,0.23273150622844696,-0.03304667770862579,0.1651376336812973,0.010988947004079819,0.21906648576259613,0.17034576833248138
",",0.22659391164779663,0.2263888567686081,0.4062570035457611,0.4933079481124878,0.19833563268184662,0.24401408433914185,0.19084720313549042,-0.0016132977325469255,0.1961333304643631,0.31091248989105225
arranged,0.20333947241306305,0.29815495014190674,0.2458474189043045,0.26620063185691833,0.19653290510177612,-0.0024394113570451736,0.20899175107479095,-0.04431857168674469,0.2938458323478699,0.08499907702207565
in,0.2601168751716614,0.2841601073741913,0.3841303884983063,0.6662389636039734,0.2098662108182907,0.11725819855928421,0.1902257651090622,-0.037580832839012146,0.18854562938213348,0.20430970191955566
rows,0.23732048273086548,0.36970239877700806,0.38430702686309814,0.2598671019077301,0.274341881275177,0.054284658282995224,0.147833451628685,0.05704846605658531,0.3987513780593872,0.1265581250190735
6.4,-0.02107764407992363,-0.06752972304821014,-0.09563819319009781,-0.12624303996562958,-0.04335917532444,-0.07636123895645142,-0.002930970396846533,-0.018070073798298836,-0.10030569136142731,0.010471883229911327
nanometers,0.33808672428131104,0.3287728726863861,0.34647881984710693,0.25045979022979736,0.3611811697483063,0.2753644585609436,0.23112326860427856,-0.04166029021143913,0.5649386048316956,0.18336744606494904
apart,0.21051150560379028,0.2552824318408966,0.32700246572494507,0.28010323643684387,0.2662755250930786,0.06342372298240662,0.18980269134044647,-0.019087860360741615,0.2619633078575134,0.11720603704452515
",",0.22659391164779663,0.2263888567686081,0.4062570035457611,0.4933079481124878,0.19833563268184662,0.24401408433914185,0.19084720313549042,-0.0016132977325469255,0.1961333304643631,0.31091248989105225
and,0.33647966384887695,0.3404269814491272,0.48576638102531433,0.5171257257461548,0.2496047466993332,0.14472098648548126,0.17132091522216797,0.06895173341035843,0.2780604958534241,0.20544172823429108
shrinks,0.19102202355861664,0.2530282735824585,0.26863306760787964,0.28270864486694336,0.2420070320367813,0.10296724736690521,0.18644391000270844,0.026332836598157883,0.3204371929168701,0.1885583996772766
to,0.44169697165489197,0.3150999844074249,0.3504326641559601,0.535392165184021,0.22978051006793976,0.09887538105249405,0.20997555553913116,0.03782717138528824,0.2112930864095688,0.29463258385658264
squeeze,0.2634216845035553,0.24241821467876434,0.24209125339984894,0.23718300461769104,0.26098328828811646,0.09506432712078094,0.20979031920433044,-0.007459400221705437,0.3975244462490082,0.18890054523944855
the,0.33890387415885925,0.3828733265399933,0.40399202704429626,1.0,0.3022986054420471,0.12370072305202484,0.2354331910610199,-0.01540423184633255,0.2968588173389435,0.22068053483963013
chloroplast,0.23138970136642456,0.2446320652961731,0.26561424136161804,0.21317854523658752,0.32597172260284424,0.25734034180641174,0.32559436559677124,-0.026425376534461975,0.5699072480201721,0.12532055377960205
.,0.3287222981452942,0.2304532378911972,0.3452940285205841,0.5934505462646484,0.24133025109767914,0.2677389681339264,0.16478390991687775,-0.003708066651597619,0.22725722193717957,0.4130953550338745
