,when,were,stromules,discovered,?
when,0.9999999403953552,0.29649975895881653,0.2941218912601471,0.2527843117713928,0.22841128706932068
they,0.5090266466140747,0.5580583214759827,0.39602014422416687,0.2629784941673279,0.2753053903579712
were,0.29649975895881653,1.0000001192092896,0.3340892195701599,0.29743650555610657,0.17890112102031708
first,0.4282494783401489,0.3285558819770813,0.2527472972869873,0.27240344882011414,0.18701928853988647
observed,0.22151441872119904,0.19912901520729065,0.27751806378364563,0.39276280999183655,0.12128034234046936
in,0.4431333839893341,0.3815755248069763,0.29188472032546997,0.2801778018474579,0.20430970191955566
1962,-0.07782699912786484,0.01791749894618988,-0.09210417419672012,-0.07288778573274612,-0.008269774727523327
",",0.36674630641937256,0.36755475401878357,0.3994307816028595,0.26185235381126404,0.31091248989105225
some,0.386913925409317,0.4592604339122772,0.3317863941192627,0.3082274794578552,0.2562315762042999
plant,0.22998343408107758,0.1605641394853592,0.3532707393169403,0.22698257863521576,0.16613075137138367
biologists,0.19296953082084656,0.26180920004844666,0.30956414341926575,0.342378705739975,0.189771369099617
dismissed,0.18727067112922668,0.2561032474040985,0.2417648881673813,0.20601996779441833,0.12693022191524506
the,0.5091903209686279,0.3906462490558624,0.35374435782432556,0.27493247389793396,0.22068053483963013
structures,0.19660194218158722,0.21121425926685333,0.40138155221939087,0.24865999817848206,0.13590580224990845
as,0.4437963366508484,0.3025437891483307,0.3301410973072052,0.21748995780944824,0.27043893933296204
artifactual,0.21006907522678375,0.21275454759597778,0.24709108471870422,0.24402400851249695,0.2396228313446045
",",0.36674630641937256,0.36755475401878357,0.3994307816028595,0.26185235381126404,0.31091248989105225
claiming,0.28389158844947815,0.2533629834651947,0.18320900201797485,0.21539586782455444,0.2698664963245392
that,0.5860282182693481,0.35517072677612305,0.3252981901168823,0.3047933280467987,0.32716336846351624
stromules,0.2941218912601471,0.3340892195701599,1.0000001192092896,0.32995477318763733,0.17227764427661896
were,0.29649975895881653,1.0000001192092896,0.3340892195701599,0.29743650555610657,0.17890112102031708
just,0.46590861678123474,0.2839916944503784,0.33243754506111145,0.19259977340698242,0.4144178032875061
oddly,0.445972204208374,0.28578636050224304,0.27561256289482117,0.1796664297580719,0.29906004667282104
shaped,0.20175868272781372,0.1974342316389084,0.3089718818664551,0.24937804043293,0.11317497491836548
chloroplasts,0.2671385407447815,0.21851478517055511,0.43636366724967957,0.3262060880661011,0.13049766421318054
with,0.5075214505195618,0.3179011940956116,0.3398604691028595,0.19195446372032166,0.2433311939239502
constricted,0.31703153252601624,0.22211317718029022,0.3985210359096527,0.2867636978626251,0.15779200196266174
regions,0.21765513718128204,0.21177682280540466,0.2889695167541504,0.1417064070701599,0.11608363687992096
or,0.417120099067688,0.3389680087566376,0.3135547935962677,0.1818303018808365,0.32389625906944275
dividing,0.3169439136981964,0.2206844687461853,0.2507397532463074,0.1904011219739914,0.11916390061378479
chloroplasts,0.2671385407447815,0.21851478517055511,0.43636366724967957,0.3262060880661011,0.13049766421318054
.,0.475719153881073,0.3378238379955292,0.3874807059764862,0.23523737490177155,0.4130953550338745
