,by,decreasing,resistance,to,blood,flow,in,the,lungs,",",what,organ,'s,workload,can,be,eased,?
treatment,0.13876107335090637,0.3104221224784851,0.3156087100505829,0.28204283118247986,0.3243677616119385,0.20645105838775635,0.21588237583637238,0.2350214421749115,0.33246591687202454,0.2413949966430664,0.27640530467033386,0.25519323348999023,-0.014997802674770355,0.39662644267082214,0.2731885612010956,0.2901170551776886,0.15927448868751526,0.20314443111419678
not,0.291808545589447,0.283364862203598,0.2092956006526947,0.5149973034858704,0.22022919356822968,0.21227192878723145,0.3403114080429077,0.4310511648654938,0.25061532855033875,0.3769696354866028,0.5449194312095642,0.1617473065853119,0.002583299996331334,0.4153923988342285,0.49270012974739075,0.5788898468017578,0.24484652280807495,0.41942933201789856
only,0.36511722207069397,0.25393596291542053,0.16191686689853668,0.5096819996833801,0.2024506777524948,0.21187253296375275,0.42992329597473145,0.5497692227363586,0.21607576310634613,0.4220978021621704,0.41415658593177795,0.13752564787864685,0.08984304964542389,0.29351872205734253,0.43433451652526855,0.46042704582214355,0.24393543601036072,0.2767370045185089
increases,0.20222704112529755,0.6943718194961548,0.37262478470802307,0.3197665810585022,0.34046992659568787,0.3726006746292114,0.2302049696445465,0.38141000270843506,0.3144725263118744,0.17835964262485504,0.23849372565746307,0.20621348917484283,-0.06925508379936218,0.45347869396209717,0.36313506960868835,0.32496392726898193,0.26055556535720825,0.10270863026380539
oxygen,0.1292176991701126,0.305576354265213,0.21854396164417267,0.24193501472473145,0.5080283284187317,0.33763962984085083,0.1672476977109909,0.20428593456745148,0.6122196912765503,0.21812842786312103,0.16781960427761078,0.24389581382274628,-0.011648092418909073,0.34772250056266785,0.3056217133998871,0.28851351141929626,0.15987512469291687,0.16786395013332367
levels,0.20695684850215912,0.35634225606918335,0.1994110494852066,0.29053324460983276,0.2507101595401764,0.23810838162899017,0.2418597936630249,0.286034494638443,0.26362690329551697,0.2284579873085022,0.21641245484352112,0.14128471910953522,0.0031945309601724148,0.29532504081726074,0.376473605632782,0.3238581120967865,0.22857674956321716,0.1541307419538498
in,0.370934396982193,0.24433369934558868,0.19045913219451904,0.45010748505592346,0.12106697261333466,0.22435857355594635,1.0,0.6662389636039734,0.18644560873508453,0.5201468467712402,0.30808621644973755,0.19780795276165009,-0.037580832839012146,0.19107401371002197,0.26527702808380127,0.3481820821762085,0.17636200785636902,0.20430970191955566
the,0.4408751428127289,0.318924218416214,0.2521642744541168,0.535392165184021,0.2815113961696625,0.314039409160614,0.6662389636039734,1.0,0.26414886116981506,0.4933079481124878,0.42745697498321533,0.2017442286014557,-0.01540423184633255,0.2274261862039566,0.312528520822525,0.4248143136501312,0.2013297826051712,0.22068053483963013
patient,0.15391533076763153,0.28566572070121765,0.20178624987602234,0.2912805676460266,0.38893669843673706,0.19940444827079773,0.18493591248989105,0.2195289433002472,0.46167850494384766,0.1891828030347824,0.3135989308357239,0.21961648762226105,-0.07155405730009079,0.376483291387558,0.2972522974014282,0.2990906238555908,0.22753722965717316,0.24355199933052063
's,-0.010884488001465797,-0.027311213314533234,0.033725183457136154,0.03782717138528824,-0.08394692093133926,0.006226116791367531,-0.037580832839012146,-0.01540423184633255,-0.03529161214828491,-0.0016132977325469255,0.02692362666130066,0.023849133402109146,0.9999999403953552,0.0095461905002594,-0.02075597457587719,0.025217169895768166,0.07040905952453613,-0.023395681753754616
blood,0.20119814574718475,0.2456250935792923,0.30860212445259094,0.226680189371109,1.0,0.3723776340484619,0.12106697261333466,0.2815113961696625,0.5483415126800537,0.21615765988826752,0.15800324082374573,0.2953628897666931,-0.08394692093133926,0.2978179454803467,0.2392367422580719,0.1981438249349594,0.15689368546009064,0.156274676322937
",",0.3680937886238098,0.159150168299675,0.24659880995750427,0.44245919585227966,0.21615765988826752,0.23027558624744415,0.5201468467712402,0.4933079481124878,0.200288787484169,1.0000001192092896,0.3087472915649414,0.19589580595493317,-0.0016132977325469255,0.25833001732826233,0.3139454126358032,0.39254459738731384,0.22232317924499512,0.31091248989105225
but,0.3159136474132538,0.27475064992904663,0.18850001692771912,0.5542377829551697,0.21637387573719025,0.23227770626544952,0.48674455285072327,0.4859698414802551,0.27833783626556396,0.48126736283302307,0.5029441118240356,0.16189177334308624,0.04136733338236809,0.37386319041252136,0.4161612093448639,0.5764366984367371,0.25304511189460754,0.27921953797340393
has,0.3254803419113159,0.2745872437953949,0.163136824965477,0.3619994819164276,0.12716083228588104,0.17633098363876343,0.4173259735107422,0.4177538752555847,0.20463529229164124,0.3734780251979828,0.20338068902492523,0.20445525646209717,-0.040683966130018234,0.22354598343372345,0.4103628396987915,0.3863394856452942,0.13415254652500153,0.15994466841220856
