,what,did,historians,do,in,the,absence,of,census,figures,?
in,0.30808621644973755,0.2593238651752472,0.20400987565517426,0.23402775824069977,1.0,0.6662389636039734,0.2067711502313614,0.5696388483047485,0.2571312189102173,0.1782902628183365,0.20430970191955566
england,0.21399550139904022,0.22023706138134003,0.19386601448059082,0.10371062159538269,0.33311840891838074,0.28280043601989746,0.1961369812488556,0.24624483287334442,0.1915176808834076,0.1859772950410843,0.13436897099018097
",",0.3087472915649414,0.3015086054801941,0.28167304396629333,0.3283645510673523,0.5201468467712402,0.4933079481124878,0.21375854313373566,0.4946078956127167,0.2530386745929718,0.21500776708126068,0.31091248989105225
in,0.30808621644973755,0.2593238651752472,0.20400987565517426,0.23402775824069977,1.0,0.6662389636039734,0.2067711502313614,0.5696388483047485,0.2571312189102173,0.1782902628183365,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.2874947786331177,0.30239659547805786,0.6662389636039734,1.0,0.3194023072719574,0.733189046382904,0.2524987757205963,0.2664589285850525,0.22068053483963013
absence,0.292216956615448,0.18309760093688965,0.13401034474372864,0.21725033223628998,0.2067711502313614,0.3194023072719574,1.0,0.28274261951446533,0.07395083457231522,0.18459469079971313,0.1211882010102272
of,0.33290785551071167,0.2513895630836487,0.27032220363616943,0.26150479912757874,0.5696388483047485,0.733189046382904,0.28274261951446533,1.0,0.19615516066551208,0.2761554718017578,0.1826142966747284
census,0.2061002552509308,0.11873560398817062,0.2381117045879364,0.14360131323337555,0.2571312189102173,0.2524987757205963,0.07395083457231522,0.19615516066551208,1.0,0.24245452880859375,0.12548218667507172
figures,0.20573294162750244,0.13928313553333282,0.3417944610118866,0.12168660759925842,0.1782902628183365,0.2664589285850525,0.18459469079971313,0.2761554718017578,0.24245452880859375,1.0000001192092896,0.15584851801395416
",",0.3087472915649414,0.3015086054801941,0.28167304396629333,0.3283645510673523,0.5201468467712402,0.4933079481124878,0.21375854313373566,0.4946078956127167,0.2530386745929718,0.21500776708126068,0.31091248989105225
historians,0.3240909278392792,0.3612487018108368,1.0000001192092896,0.20193712413311005,0.20400987565517426,0.2874947786331177,0.13401034474372864,0.27032220363616943,0.2381117045879364,0.3417944610118866,0.15053395926952362
propose,0.33669546246528625,0.32829418778419495,0.18341073393821716,0.35115161538124084,0.18900464475154877,0.2302119880914688,0.23192675411701202,0.2539187967777252,0.09804097563028336,0.13301794230937958,0.36768224835395813
a,0.3320399522781372,0.2552328109741211,0.18169201910495758,0.26237669587135315,0.539380669593811,0.5829201340675354,0.22623278200626373,0.5052502155303955,0.13645486533641815,0.21570108830928802,0.23916715383529663
range,0.19613829255104065,0.0891508087515831,0.0969458520412445,0.1469113826751709,0.2084861844778061,0.2311336100101471,0.17247149348258972,0.234999418258667,0.12134767323732376,0.17658904194831848,0.1204894632101059
of,0.33290785551071167,0.2513895630836487,0.27032220363616943,0.26150479912757874,0.5696388483047485,0.733189046382904,0.28274261951446533,1.0,0.19615516066551208,0.2761554718017578,0.1826142966747284
preincident,0.362848162651062,0.32779255509376526,0.2708895802497864,0.2670958936214447,0.2728951871395111,0.29556554555892944,0.23570777475833893,0.25078102946281433,0.17605599761009216,0.16501876711845398,0.29381200671195984
population,0.2000674307346344,0.0652005523443222,0.2337809056043625,0.15441055595874786,0.3268454372882843,0.32044094800949097,0.14450472593307495,0.3060894012451172,0.6778454184532166,0.272858589887619,0.14449454843997955
figures,0.20573294162750244,0.13928313553333282,0.3417944610118866,0.12168660759925842,0.1782902628183365,0.2664589285850525,0.18459469079971313,0.2761554718017578,0.24245452880859375,1.0000001192092896,0.15584851801395416
from,0.2737620174884796,0.20248863101005554,0.19368670880794525,0.20424067974090576,0.4274188280105591,0.40150508284568787,0.19007711112499237,0.4249346852302551,0.18090838193893433,0.20966191589832306,0.19969791173934937
as,0.31749409437179565,0.3596470057964325,0.23306792974472046,0.38329678773880005,0.3887844979763031,0.48381632566452026,0.29398468136787415,0.3886612355709076,0.22827468812465668,0.29444578289985657,0.27043893933296204
high,0.20466077327728271,0.15957149863243103,0.09153443574905396,0.15005089342594147,0.2652597725391388,0.28034812211990356,0.13601373136043549,0.2803038954734802,0.16453377902507782,0.1433098316192627,0.11137914657592773
as,0.31749409437179565,0.3596470057964325,0.23306792974472046,0.38329678773880005,0.3887844979763031,0.48381632566452026,0.29398468136787415,0.3886612355709076,0.22827468812465668,0.29444578289985657,0.27043893933296204
7,-0.1699475795030594,-0.147744283080101,-0.059434086084365845,-0.18881750106811523,-0.02604081481695175,-0.1142377033829689,-0.22784796357154846,-0.04983885586261749,0.10836663842201233,-0.0937705859541893,-0.15092156827449799
million,0.22197039425373077,0.1815238744020462,0.19479723274707794,0.15323026478290558,0.2596224844455719,0.277012437582016,0.10800181329250336,0.21686489880084991,0.2704462707042694,0.21471799910068512,0.23092924058437347
to,0.455847829580307,0.4452643394470215,0.2267346978187561,0.38876664638519287,0.45010748505592346,0.535392165184021,0.3072148263454437,0.41548454761505127,0.16890135407447815,0.21176555752754211,0.29463258385658264
as,0.31749409437179565,0.3596470057964325,0.23306792974472046,0.38329678773880005,0.3887844979763031,0.48381632566452026,0.29398468136787415,0.3886612355709076,0.22827468812465668,0.29444578289985657,0.27043893933296204
low,0.20743566751480103,0.17553527653217316,0.09253934770822525,0.1462601274251938,0.21458278596401215,0.2544175982475281,0.16520167887210846,0.27171993255615234,0.15388208627700806,0.11779820919036865,0.10658930987119675
as,0.31749409437179565,0.3596470057964325,0.23306792974472046,0.38329678773880005,0.3887844979763031,0.48381632566452026,0.29398468136787415,0.3886612355709076,0.22827468812465668,0.29444578289985657,0.27043893933296204
4,-0.04324747622013092,0.0646207332611084,0.10474727302789688,-0.00542959850281477,0.08310048282146454,0.15499350428581238,0.028027402237057686,0.17227263748645782,0.044304534792900085,-0.018847819417715073,0.010515431873500347
million,0.22197039425373077,0.1815238744020462,0.19479723274707794,0.15323026478290558,0.2596224844455719,0.277012437582016,0.10800181329250336,0.21686489880084991,0.2704462707042694,0.21471799910068512,0.23092924058437347
in,0.30808621644973755,0.2593238651752472,0.20400987565517426,0.23402775824069977,1.0,0.6662389636039734,0.2067711502313614,0.5696388483047485,0.2571312189102173,0.1782902628183365,0.20430970191955566
1300,-0.11974471062421799,0.02263900637626648,-0.01242855191230774,-0.06240498274564743,-0.04770897701382637,-0.020564422011375427,-0.04145071655511856,-0.06875084340572357,-0.029749225825071335,0.0030001539271324873,-0.06911228597164154
",",0.3087472915649414,0.3015086054801941,0.28167304396629333,0.3283645510673523,0.5201468467712402,0.4933079481124878,0.21375854313373566,0.4946078956127167,0.2530386745929718,0.21500776708126068,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.272049218416214,0.276123583316803,0.4954058527946472,0.5171257257461548,0.26303109526634216,0.5116966962814331,0.15556402504444122,0.30489253997802734,0.20544172823429108
a,0.3320399522781372,0.2552328109741211,0.18169201910495758,0.26237669587135315,0.539380669593811,0.5829201340675354,0.22623278200626373,0.5052502155303955,0.13645486533641815,0.21570108830928802,0.23916715383529663
postincident,0.38907408714294434,0.3108086585998535,0.27856874465942383,0.29100483655929565,0.22468340396881104,0.266218900680542,0.31213071942329407,0.20853488147258759,0.2221757024526596,0.16896331310272217,0.35571879148483276
population,0.2000674307346344,0.0652005523443222,0.2337809056043625,0.15441055595874786,0.3268454372882843,0.32044094800949097,0.14450472593307495,0.3060894012451172,0.6778454184532166,0.272858589887619,0.14449454843997955
figure,0.2582065463066101,0.13151919841766357,0.2747471332550049,0.19191110134124756,0.17097173631191254,0.24786046147346497,0.1737910360097885,0.21327486634254456,0.20412464439868927,0.6951040625572205,0.21107101440429688
