,juvenile,and,adult,beroe,lack,what,?
in,0.20077736675739288,0.4954058527946472,0.2174263745546341,0.21582861244678497,0.18643079698085785,0.30808621644973755,0.20430970191955566
the,0.223813995718956,0.5171257257461548,0.22542093694210052,0.2654626965522766,0.2674623131752014,0.42745697498321533,0.22068053483963013
genus,0.304421991109848,0.1453694999217987,0.2226511687040329,0.3087311387062073,0.18867625296115875,0.10777679085731506,0.1421816647052765
beroe,0.209491565823555,0.2627253532409668,0.17446012794971466,1.0,0.0781378224492073,0.14043943583965302,0.1766621172428131
the,0.223813995718956,0.5171257257461548,0.22542093694210052,0.2654626965522766,0.2674623131752014,0.42745697498321533,0.22068053483963013
juveniles,0.9334461688995361,0.27985578775405884,0.43742454051971436,0.2067180722951889,0.30093759298324585,0.23870603740215302,0.20202435553073883
",",0.19538520276546478,0.6633074283599854,0.21377430856227875,0.2364800125360489,0.27166152000427246,0.3087472915649414,0.31091248989105225
like,0.15346072614192963,0.46997135877609253,0.21088984608650208,0.17384208738803864,0.324754536151886,0.4320242702960968,0.3268813192844391
the,0.223813995718956,0.5171257257461548,0.22542093694210052,0.2654626965522766,0.2674623131752014,0.42745697498321533,0.22068053483963013
adults,0.44529321789741516,0.2903856337070465,0.7006191611289978,0.17976635694503784,0.2840540111064911,0.2567427158355713,0.22581297159194946
",",0.19538520276546478,0.6633074283599854,0.21377430856227875,0.2364800125360489,0.27166152000427246,0.3087472915649414,0.31091248989105225
lack,0.24630789458751678,0.29595619440078735,0.23725371062755585,0.0781378224492073,0.9999998807907104,0.28247135877609253,0.16953514516353607
tentacles,0.2450106143951416,0.24069741368293762,0.3295401334762573,0.2224379926919937,0.2655338644981384,0.17259258031845093,0.15145425498485565
and,0.21379156410694122,1.0,0.2955179810523987,0.2627253532409668,0.29595619440078735,0.31309178471565247,0.20544172823429108
tentacle,0.25361254811286926,0.22313043475151062,0.3463081419467926,0.24270078539848328,0.2566998600959778,0.20121820271015167,0.15486949682235718
sheaths,0.2063603699207306,0.2630910873413086,0.1361875832080841,0.26561692357063293,0.2839219272136688,0.1792074292898178,0.0896209254860878
.,0.2264872044324875,0.588965117931366,0.2983810603618622,0.24944455921649933,0.21505410969257355,0.3567904531955719,0.4130953550338745
