,who,did,genghis,khan,charge,with,finding,and,punishing,the,shah,?
genghis,0.3018350303173065,0.18339850008487701,1.0,0.5896923542022705,0.1514599770307541,0.18149495124816895,0.14703761041164398,0.26551535725593567,0.23731258511543274,0.3448939025402069,0.547207772731781,0.18813461065292358
khan,0.2616176903247833,0.155345618724823,0.5896923542022705,1.0,0.14786097407341003,0.12498863786458969,0.11508439481258392,0.22885166108608246,0.14739973843097687,0.21067845821380615,0.6120432019233704,0.12862591445446014
ordered,0.2055833488702774,0.3289390504360199,0.18920189142227173,0.08468592911958694,0.29707422852516174,0.21896079182624817,0.20236586034297943,0.23785066604614258,0.23404118418693542,0.2839050590991974,0.15710927546024323,0.11423391848802567
subutai,0.17468728125095367,0.14015702903270721,0.4099789559841156,0.2723410427570343,0.10805748403072357,0.2277485430240631,0.18172231316566467,0.28429698944091797,0.1451563686132431,0.33055391907691956,0.2779048979282379,0.1578579694032669
and,0.41279885172843933,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.238192617893219,0.5477725267410278,0.2595592737197876,1.0,0.26788467168807983,0.5171257257461548,0.2144315540790558,0.20544172823429108
jebe,0.2204572707414627,0.14259633421897888,0.38717931509017944,0.3338758945465088,0.11981245130300522,0.16478006541728973,0.17898774147033691,0.2566799223423004,0.17625051736831665,0.272458553314209,0.33288463950157166,0.1268274188041687
to,0.42656609416007996,0.4452643394470215,0.2294713407754898,0.18221943080425262,0.22747951745986938,0.4239959120750427,0.29713475704193115,0.48971283435821533,0.308837890625,0.535392165184021,0.13290750980377197,0.29463258385658264
hunt,0.2623855769634247,0.19707295298576355,0.1834382265806198,0.11010751128196716,0.11562854796648026,0.16607962548732758,0.2364279329776764,0.30170392990112305,0.15628352761268616,0.2538548409938812,0.07756302505731583,0.13092587888240814
him,0.5491244792938232,0.4290095865726471,0.32669100165367126,0.23670253157615662,0.23537126183509827,0.30843743681907654,0.28952598571777344,0.35759612917900085,0.40548405051231384,0.39213326573371887,0.2410288155078888,0.23943768441677094
down,0.23123176395893097,0.2029697746038437,0.15920601785182953,0.11193384975194931,0.27630966901779175,0.2706494629383087,0.14373768866062164,0.2760816216468811,0.18354883790016174,0.3325848877429962,0.14725439250469208,0.13836295902729034
",",0.3365725874900818,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.19992214441299438,0.4120737314224243,0.2429390251636505,0.6633074283599854,0.23968873918056488,0.4933079481124878,0.17213307321071625,0.31091248989105225
giving,0.2905098795890808,0.24924245476722717,0.1283101737499237,0.09720344841480255,0.23741476237773895,0.3935176134109497,0.3823067843914032,0.32261931896209717,0.36421096324920654,0.3626074492931366,0.14288128912448883,0.2052922248840332
them,0.5243523120880127,0.44189682602882385,0.2431573122739792,0.14705434441566467,0.29094675183296204,0.4064640402793884,0.3314489722251892,0.48717668652534485,0.3960202932357788,0.4788833558559418,0.17025911808013916,0.35435691475868225
"20,000",0.23350316286087036,0.17574962973594666,0.3212427496910095,0.21405749022960663,0.0988326147198677,0.16918499767780304,0.05346209928393364,0.2812017798423767,0.10740772634744644,0.37579581141471863,0.284874826669693,0.10352851450443268
men,0.3380306363105774,0.284831702709198,0.2678695619106293,0.18241509795188904,0.2649816870689392,0.19568398594856262,0.1508609652519226,0.30918097496032715,0.22514265775680542,0.26001617312431335,0.17191243171691895,0.1408759206533432
and,0.41279885172843933,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.238192617893219,0.5477725267410278,0.2595592737197876,1.0,0.26788467168807983,0.5171257257461548,0.2144315540790558,0.20544172823429108
two,0.2791741192340851,0.2755576968193054,0.21525606513023376,0.18127043545246124,0.25216323137283325,0.4333336651325226,0.22480887174606323,0.4671151638031006,0.18876072764396667,0.43858039379119873,0.1854880303144455,0.19645625352859497
years,0.29867154359817505,0.2695724070072174,0.25086215138435364,0.15620282292366028,0.17094522714614868,0.21224987506866455,0.17995043098926544,0.300204873085022,0.20121195912361145,0.2912273406982422,0.21548129618167877,0.1914375126361847
to,0.42656609416007996,0.4452643394470215,0.2294713407754898,0.18221943080425262,0.22747951745986938,0.4239959120750427,0.29713475704193115,0.48971283435821533,0.308837890625,0.535392165184021,0.13290750980377197,0.29463258385658264
do,0.2662210166454315,0.5246143937110901,0.06018393114209175,0.08970802277326584,0.16605065762996674,0.23744353652000427,0.2562583088874817,0.276123583316803,0.26581817865371704,0.30239659547805786,0.1205551028251648,0.4093979299068451
this,0.3345087468624115,0.3609912693500519,0.28079792857170105,0.17467814683914185,0.26036426424980164,0.36358317732810974,0.31563496589660645,0.42353692650794983,0.2532074749469757,0.6274310946464539,0.16165891289710999,0.3155723512172699
.,0.3541337847709656,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.21931332349777222,0.4446153938770294,0.2890409827232361,0.588965117931366,0.2212742418050766,0.5934505462646484,0.210231751203537,0.4130953550338745
