,which,station,started,showing,doctor,who,after,the,sf,channel,closed,?
repeats,0.3983655571937561,0.14836066961288452,0.1401052623987198,0.26783522963523865,0.14890803396701813,0.17133671045303345,0.1788424849510193,0.3083247244358063,0.050084859132766724,0.2563343644142151,0.152767151594162,0.19185885787010193
of,0.5011631846427917,0.17394597828388214,0.22928385436534882,0.3515862822532654,0.16895952820777893,0.2827862501144409,0.3867455720901489,0.733189046382904,0.18850627541542053,0.1671900898218155,0.15899594128131866,0.1826142966747284
both,0.5140923857688904,0.1397940069437027,0.22532247006893158,0.23342131078243256,0.17321419715881348,0.31663915514945984,0.28536173701286316,0.4931981563568115,0.09241902083158493,0.1946195363998413,0.1572754830121994,0.19455738365650177
the,0.6521818041801453,0.23609806597232819,0.3222070634365082,0.34540408849716187,0.2820442318916321,0.3733934462070465,0.4565047025680542,1.0,0.20388393104076385,0.2860044836997986,0.2359541952610016,0.22068053483963013
classic,0.2735642194747925,0.14547964930534363,0.16161157190799713,0.18502238392829895,0.12150934338569641,0.10854986310005188,0.21739886701107025,0.2647959589958191,0.20782914757728577,0.24665817618370056,0.06482122093439102,0.2044331431388855
and,0.506277859210968,0.19091129302978516,0.2649672031402588,0.2609715461730957,0.21673844754695892,0.41279885172843933,0.3765919506549835,0.5171257257461548,0.14819498360157013,0.24836963415145874,0.21235816180706024,0.20544172823429108
modern,0.3329094350337982,0.1285562366247177,0.15600049495697021,0.19357162714004517,0.12570640444755554,0.16937296092510223,0.1340421438217163,0.3283970355987549,0.18780429661273956,0.13494066894054413,0.15194225311279297,0.12475407868623734
series,0.2484029233455658,0.14116597175598145,0.2267429679632187,0.20155158638954163,0.2712797522544861,0.21484537422657013,0.22890618443489075,0.31376904249191284,0.2792262136936188,0.3384625315666199,0.11291944235563278,0.1709602326154709
have,0.49652695655822754,0.11491083353757858,0.13228636980056763,0.31232354044914246,0.17649078369140625,0.39246654510498047,0.2838422358036041,0.40389683842658997,0.1111563891172409,0.1570143699645996,0.27911099791526794,0.32991164922714233
also,0.6566565632820129,0.23779743909835815,0.309529185295105,0.281236469745636,0.2990783452987671,0.47919341921806335,0.33205533027648926,0.6021018624305725,0.21963520348072052,0.20585711300373077,0.20922507345676422,0.21848613023757935
been,0.36993977427482605,0.13928157091140747,0.23313181102275848,0.23325248062610626,0.12184444069862366,0.3295723795890808,0.2954521179199219,0.3563927710056305,0.0862683653831482,0.15185561776161194,0.2627698481082916,0.24354910850524902
shown,0.3214279115200043,0.23081906139850616,0.22618184983730316,0.5659267902374268,0.18401096761226654,0.16586925089359283,0.18614354729652405,0.3387985825538635,0.12381862103939056,0.3177442252635956,0.19239844381809235,0.2433658242225647
on,0.4245251417160034,0.29022887349128723,0.35066497325897217,0.33344483375549316,0.1636410653591156,0.2340552806854248,0.39330315589904785,0.5107308030128479,0.10341222584247589,0.2989991009235382,0.2467423975467682,0.2714994251728058
subscription,0.29409605264663696,0.23673947155475616,0.15042424201965332,0.27806809544563293,0.16428610682487488,0.2185862809419632,0.11942405253648758,0.26760369539260864,0.13523678481578827,0.3301553726196289,0.14188000559806824,0.22697269916534424
television,0.21160198748111725,0.2767264246940613,0.20870769023895264,0.25163301825523376,0.31410008668899536,0.2515988349914551,0.19225278496742249,0.24569597840309143,0.16233710944652557,0.46323826909065247,0.15165811777114868,0.16825827956199646
