,what,is,a,growing,sport,in,southern,california,?
rugby,0.0819927230477333,0.1589912325143814,0.1306363046169281,0.08267668634653091,0.32340237498283386,0.15478554368019104,0.16526903212070465,0.14417915046215057,0.026534482836723328
is,0.28837618231773376,1.0,0.658733606338501,0.2603529095649719,0.1922176480293274,0.5394441485404968,0.2419366091489792,0.20727038383483887,0.22961433231830597
also,0.42747777700424194,0.5012649297714233,0.5149940252304077,0.3150483965873718,0.23100067675113678,0.5073733329772949,0.28076234459877014,0.2569578289985657,0.21848613023757935
a,0.3320399522781372,0.658733606338501,1.0,0.26935911178588867,0.2169417291879654,0.539380669593811,0.25843560695648193,0.2426064908504486,0.23916715383529663
growing,0.20045997202396393,0.2603529095649719,0.26935911178588867,1.0000001192092896,0.13872277736663818,0.33161869645118713,0.20662477612495422,0.1280517429113388,0.10178618133068085
sport,0.1305270493030548,0.1922176480293274,0.2169417291879654,0.13872277736663818,0.9999999403953552,0.2268456369638443,0.15053148567676544,0.10210076719522476,0.0972188338637352
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.33161869645118713,0.2268456369638443,1.0,0.3190481662750244,0.2772824168205261,0.20430970191955566
southern,0.18679563701152802,0.2419366091489792,0.25843560695648193,0.20662477612495422,0.15053148567676544,0.3190481662750244,1.0,0.2983402609825134,0.11225555837154388
california,0.1811584085226059,0.20727038383483887,0.2426064908504486,0.1280517429113388,0.10210076719522476,0.2772824168205261,0.2983402609825134,1.0,0.1409905105829239
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2344273030757904,0.1842397302389145,0.5201468467712402,0.2795628309249878,0.2704589068889618,0.31091248989105225
particularly,0.33027681708335876,0.3122353255748749,0.307696133852005,0.34355199337005615,0.18074201047420502,0.33242201805114746,0.19010688364505768,0.16411766409873962,0.2644225060939789
at,0.2838611304759979,0.25906258821487427,0.3095070421695709,0.15241709351539612,0.19157294929027557,0.4374977946281433,0.23545321822166443,0.256734162569046,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.33280637860298157,0.15650692582130432,0.6662389636039734,0.3282862603664398,0.2750805914402008,0.22068053483963013
high,0.20466077327728271,0.2383800595998764,0.22865821421146393,0.19087736308574677,0.1464349627494812,0.2652597725391388,0.15573836863040924,0.21608760952949524,0.11137914657592773
school,0.18774057924747467,0.19488026201725006,0.2245093584060669,0.13301892578601837,0.15312936902046204,0.26157811284065247,0.15018025040626526,0.2514975368976593,0.15091250836849213
level,0.27376922965049744,0.24803997576236725,0.21346178650856018,0.14393635094165802,0.18603768944740295,0.279204785823822,0.12957242131233215,0.15650886297225952,0.20528386533260345
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2344273030757904,0.1842397302389145,0.5201468467712402,0.2795628309249878,0.2704589068889618,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.3783375024795532,0.24962717294692993,0.15825147926807404,0.4080928862094879,0.18574869632720947,0.1391957849264145,0.2433311939239502
increasing,0.2066856026649475,0.21545660495758057,0.2511899173259735,0.44614332914352417,0.1602581888437271,0.2580164670944214,0.1322713941335678,0.10865912586450577,0.0681626945734024
numbers,0.24586999416351318,0.19465886056423187,0.24434582889080048,0.22479674220085144,0.15771658718585968,0.23087690770626068,0.14340904355049133,0.11250151693820953,0.19297972321510315
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.3095463812351227,0.17918744683265686,0.5696388483047485,0.31933003664016724,0.24929828941822052,0.1826142966747284
schools,0.1820785105228424,0.2022145688533783,0.2118925303220749,0.17750705778598785,0.22208362817764282,0.2632134258747101,0.16387571394443512,0.20861601829528809,0.18349280953407288
adding,0.29902034997940063,0.25671643018722534,0.26839545369148254,0.25796428322792053,0.10372017323970795,0.23352821171283722,0.06330563873052597,0.08639466762542725,0.2800346910953522
rugby,0.0819927230477333,0.1589912325143814,0.1306363046169281,0.08267668634653091,0.32340237498283386,0.15478554368019104,0.16526903212070465,0.14417915046215057,0.026534482836723328
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.21813169121742249,0.15520814061164856,0.3887844979763031,0.17950406670570374,0.1933012157678604,0.27043893933296204
an,0.2821882665157318,0.4654068350791931,0.44552403688430786,0.14731107652187347,0.10980264097452164,0.2605783939361572,0.1620207577943802,0.15679968893527985,0.19793890416622162
official,0.18967986106872559,0.21236078441143036,0.19875815510749817,0.11240235716104507,0.16023217141628265,0.25180214643478394,0.19388486444950104,0.15973788499832153,0.18097688257694244
school,0.18774057924747467,0.19488026201725006,0.2245093584060669,0.13301892578601837,0.15312936902046204,0.26157811284065247,0.15018025040626526,0.2514975368976593,0.15091250836849213
sport,0.1305270493030548,0.1922176480293274,0.2169417291879654,0.13872277736663818,0.9999999403953552,0.2268456369638443,0.15053148567676544,0.10210076719522476,0.0972188338637352
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2699389159679413,0.19931355118751526,0.5591574311256409,0.26629969477653503,0.2870451807975769,0.4130953550338745
