,what,is,william,rankine,'s,nationality,?
it,0.45803478360176086,0.6328473687171936,0.19699214398860931,0.18998494744300842,0.06608816236257553,0.14322364330291748,0.25732165575027466
is,0.28837618231773376,1.0,0.13717274367809296,0.19099628925323486,0.02396530658006668,0.14239731431007385,0.22961433231830597
named,0.1525408923625946,0.28335005044937134,0.18349844217300415,0.21913109719753265,-0.06022389233112335,0.12736470997333527,0.1297498345375061
after,0.21973377466201782,0.2835143506526947,0.23307986557483673,0.13589788973331451,-0.055672239512205124,0.14086849987506866,0.16608688235282898
william,0.24990826845169067,0.13717274367809296,1.0,0.22802728414535522,0.00675395829603076,0.1191522404551506,0.14462219178676605
john,0.18237407505512238,0.16449548304080963,0.45851513743400574,0.23936495184898376,-0.1023898646235466,0.05339326336979866,0.13162356615066528
macquorn,0.21911869943141937,0.22195442020893097,0.3797945976257324,0.24944844841957092,0.07138817012310028,0.15532639622688293,0.1119888499379158
rankine,0.14446263015270233,0.19099628925323486,0.22802728414535522,1.0000001192092896,0.10705062001943588,0.1104353666305542,0.15256094932556152
",",0.3087472915649414,0.4691906273365021,0.23339112102985382,0.2938905656337738,-0.0016132977325469255,0.25539466738700867,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.19269351661205292,0.18306823074817657,0.04866964742541313,0.16426464915275574,0.23916715383529663
scottish,0.13777151703834534,0.16398480534553528,0.26897549629211426,0.2004746049642563,0.09608723223209381,0.23293043673038483,0.06442669779062271
polymath,0.13378845155239105,0.18409256637096405,0.24992550909519196,0.23535427451133728,0.017702337354421616,0.19438698887825012,0.1700359731912613
.,0.3567904531955719,0.4569662809371948,0.2768123149871826,0.24286073446273804,-0.003708066651597619,0.23392154276371002,0.4130953550338745
