,what,causes,strain,in,structures,?
the,0.42745697498321533,0.2518732249736786,0.1979137361049652,0.6662389636039734,0.2516176700592041,0.22068053483963013
stress,0.33004483580589294,0.32706418633461,0.44212839007377625,0.1894814521074295,0.25421521067619324,0.2845553457736969
tensor,0.25098997354507446,0.18730857968330383,0.19256383180618286,0.1845361739397049,0.20087634027004242,0.16432704031467438
accounts,0.29983872175216675,0.18367227911949158,0.20503826439380646,0.16891200840473175,0.13947764039039612,0.32252734899520874
for,0.3017193675041199,0.2272706925868988,0.18620875477790833,0.4322226941585541,0.18247398734092712,0.264628142118454
forces,0.2112482488155365,0.21787525713443756,0.21286895871162415,0.2565164566040039,0.2649044692516327,0.16984491050243378
that,0.6297725439071655,0.2422942817211151,0.27292826771736145,0.435920387506485,0.25528377294540405,0.32716336846351624
cause,0.24883218109607697,0.6853874921798706,0.38930743932724,0.24822883307933807,0.22040916979312897,0.240532785654068
all,0.41981086134910583,0.14416009187698364,0.1678357720375061,0.3335905969142914,0.21800550818443298,0.29575422406196594
strains,0.16519658267498016,0.3312723636627197,0.8459575772285461,0.21450969576835632,0.29485392570495605,0.11230511963367462
(,0.2411840260028839,0.2564166188240051,0.1701318472623825,0.3087427020072937,0.17260029911994934,0.40561532974243164
deformations,0.23782306909561157,0.3957670032978058,0.3581230044364929,0.2552616596221924,0.37335869669914246,0.18067105114459991
),0.26259949803352356,0.22588849067687988,0.19008158147335052,0.3326910734176636,0.19404040277004242,0.42300865054130554
including,0.18328791856765747,0.16285021603107452,0.13972139358520508,0.35857823491096497,0.2497861385345459,0.1633303165435791
also,0.42747777700424194,0.22227169573307037,0.23854227364063263,0.5073733329772949,0.25024136900901794,0.21848613023757935
tensile,0.2526889741420746,0.2810828983783722,0.3720080554485321,0.24763210117816925,0.31649574637413025,0.15161055326461792
stresses,0.29687491059303284,0.29025521874427795,0.34461140632629395,0.20067670941352844,0.2934016287326813,0.20437157154083252
and,0.31309178471565247,0.2964467406272888,0.3105657994747162,0.4954058527946472,0.29943612217903137,0.20544172823429108
compressions,0.23625226318836212,0.23363910615444183,0.3304058611392975,0.17787739634513855,0.3233098089694977,0.22129963338375092
.,0.3567904531955719,0.26090872287750244,0.26238808035850525,0.5591574311256409,0.2735782265663147,0.4130953550338745
,what,causes,strain,in,structures,?
this,0.5489566326141357,0.26710045337677,0.3095785677433014,0.45205554366111755,0.21519361436367035,0.3155723512172699
formalism,0.29607903957366943,0.15404938161373138,0.21550142765045166,0.18643413484096527,0.21799656748771667,0.18209508061408997
includes,0.17138352990150452,0.2086237668991089,0.11804051697254181,0.32460328936576843,0.23865893483161926,0.14011523127555847
pressure,0.2625555694103241,0.2573472261428833,0.2739366888999939,0.16116683185100555,0.11235477775335312,0.142023503780365
terms,0.23885610699653625,0.18054118752479553,0.23551411926746368,0.2410934716463089,0.2811603248119354,0.23466452956199646
associated,0.15836219489574432,0.26963016390800476,0.22925253212451935,0.23328746855258942,0.24009911715984344,0.1453326791524887
with,0.2464839518070221,0.1879570037126541,0.3080061376094818,0.4080928862094879,0.1962338536977768,0.2433311939239502
forces,0.2112482488155365,0.21787525713443756,0.21286895871162415,0.2565164566040039,0.2649044692516327,0.16984491050243378
that,0.6297725439071655,0.2422942817211151,0.27292826771736145,0.435920387506485,0.25528377294540405,0.32716336846351624
act,0.2622668445110321,0.1535976082086563,0.22559794783592224,0.22050046920776367,0.16248995065689087,0.1482519507408142
normal,0.32813265919685364,0.2564775049686432,0.26646772027015686,0.25896620750427246,0.21012885868549347,0.19617988169193268
to,0.455847829580307,0.2537674903869629,0.24741879105567932,0.45010748505592346,0.25539523363113403,0.29463258385658264
the,0.42745697498321533,0.2518732249736786,0.1979137361049652,0.6662389636039734,0.2516176700592041,0.22068053483963013
cross-sectional,0.26170453429222107,0.11834888160228729,0.35296502709388733,0.2973218262195587,0.2705913782119751,0.20900274813175201
area,0.21965408325195312,0.19071711599826813,0.12766097486019135,0.33632898330688477,0.26295384764671326,0.12640461325645447
(,0.2411840260028839,0.2564166188240051,0.1701318472623825,0.3087427020072937,0.17260029911994934,0.40561532974243164
the,0.42745697498321533,0.2518732249736786,0.1979137361049652,0.6662389636039734,0.2516176700592041,0.22068053483963013
matrix,0.2444038838148117,0.10419391840696335,0.1939336657524109,0.17885158956050873,0.22411859035491943,0.14848898351192474
diagonals,0.21781028807163239,0.17941823601722717,0.23524701595306396,0.1702800989151001,0.28325408697128296,0.11622293293476105
of,0.33290785551071167,0.2544642984867096,0.21968291699886322,0.5696388483047485,0.2804560363292694,0.1826142966747284
the,0.42745697498321533,0.2518732249736786,0.1979137361049652,0.6662389636039734,0.2516176700592041,0.22068053483963013
tensor,0.25098997354507446,0.18730857968330383,0.19256383180618286,0.1845361739397049,0.20087634027004242,0.16432704031467438
