,who,was,made,rich,and,prosperous,prior,to,world,war,1
',0.22534559667110443,0.33675912022590637,0.27472299337387085,0.10413914918899536,0.3053182065486908,0.10954207926988602,0.1636682003736496,0.34544456005096436,0.22446990013122559,0.17949679493904114,-0.17751768231391907
'',0.024401003494858742,0.04456103965640068,0.014119047671556473,0.08441521972417831,0.021612688899040222,-0.008613891899585724,-0.00983915850520134,-0.009905828163027763,-0.07833857089281082,-0.04993505775928497,-0.050646256655454636
[,0.011881873942911625,0.03263993561267853,0.017270095646381378,0.03146948665380478,0.08702973276376724,0.09552059322595596,0.04040420427918434,0.07649242132902145,0.18603216111660004,0.12929974496364594,0.07610834389925003
attribution,0.20667508244514465,0.22215935587882996,0.15786145627498627,0.0902848169207573,0.22775767743587494,0.1122959554195404,0.2989845871925354,0.2655651867389679,0.15583139657974243,0.17145080864429474,-0.2628141939640045
needed,0.22536601126194,0.227164626121521,0.3132522702217102,0.16807670891284943,0.32021039724349976,0.18554551899433136,0.2675137519836426,0.45002421736717224,0.17313647270202637,0.17456446588039398,-0.32260462641716003
],0.03976386412978172,0.0001094614781322889,0.04988802596926689,-0.03727921098470688,-0.03590818867087364,-0.08394662290811539,-0.0638386458158493,-0.04249158129096031,-0.04321720823645592,-0.03279586136341095,-0.07658173888921738
because,0.4398062229156494,0.3841400742530823,0.3560832440853119,0.25200366973876953,0.5069696307182312,0.2933402359485626,0.23794855177402496,0.5166091918945312,0.2797095477581024,0.2866854667663574,-0.23692645132541656
of,0.2827862501144409,0.4069072902202606,0.33167365193367004,0.23752830922603607,0.5116966962814331,0.2891075909137726,0.3183474540710449,0.41548454761505127,0.2828933000564575,0.31680163741111755,-0.09473495930433273
the,0.3733934462070465,0.48711544275283813,0.3885267674922943,0.2007024586200714,0.5171257257461548,0.3068082630634308,0.33782097697257996,0.535392165184021,0.33604270219802856,0.366199791431427,-0.1554475575685501
resources,0.22842295467853546,0.14124581217765808,0.15230967104434967,0.3035926818847656,0.3116118013858795,0.2895411252975464,0.2025195062160492,0.3263809382915497,0.327668160200119,0.22381603717803955,-0.20196367800235748
made,0.2576322853565216,0.3433256447315216,1.0,0.16906213760375977,0.34954607486724854,0.22589042782783508,0.20455904304981232,0.3377571105957031,0.23318521678447723,0.1988707333803177,-0.16926148533821106
available,0.1272890865802765,0.1657772958278656,0.29420849680900574,0.14675089716911316,0.24201975762844086,0.13191290199756622,0.23272840678691864,0.2394571453332901,0.21423982083797455,0.15240280330181122,-0.23842161893844604
by,0.39727845788002014,0.4752357602119446,0.34175434708595276,0.19973227381706238,0.4289871156215668,0.18464961647987366,0.2645944356918335,0.33534231781959534,0.22306372225284576,0.18974854052066803,-0.2582099735736847
imperialism,0.1855015754699707,0.2349989414215088,0.17295384407043457,0.19152869284152985,0.19073538482189178,0.33947646617889404,0.11515447497367859,0.21685542166233063,0.2946701943874359,0.3913637399673462,-0.19580905139446259
",",0.3365725874900818,0.45456063747406006,0.32507219910621643,0.272274911403656,0.6633074283599854,0.2878130376338959,0.27105793356895447,0.44245919585227966,0.26091980934143066,0.2671184241771698,-0.15742997825145721
