,the,west,side,of,fresno,is,the,center,of,which,ethnic,community,?
the,1.0,0.32918402552604675,0.37146830558776855,0.733189046382904,0.22571885585784912,0.5823672413825989,1.0,0.29064592719078064,0.733189046382904,0.6521818041801453,0.2494550496339798,0.2601400911808014,0.22068053483963013
neighborhood,0.20152483880519867,0.2434648722410202,0.17404897511005402,0.15683332085609436,0.3306880593299866,0.20414865016937256,0.20152483880519867,0.27755844593048096,0.15683332085609436,0.1964341700077057,0.2361871749162674,0.3303249180316925,0.048473283648490906
is,0.5823672413825989,0.25201764702796936,0.27624061703681946,0.4854315221309662,0.2127077877521515,1.0,0.5823672413825989,0.24782158434391022,0.4854315221309662,0.4457404911518097,0.1695476472377777,0.26023760437965393,0.22961433231830597
traditionally,0.32626137137413025,0.19533401727676392,0.17989474534988403,0.31117507815361023,0.1638830304145813,0.33712470531463623,0.32626137137413025,0.10483814775943756,0.31117507815361023,0.37881484627723694,0.24468600749969482,0.17328575253486633,0.10789176821708679
considered,0.4028765559196472,0.17720438539981842,0.20949500799179077,0.4190242290496826,0.19073370099067688,0.4096149802207947,0.4028765559196472,0.1351383924484253,0.4190242290496826,0.32509535551071167,0.2257102131843567,0.19126693904399872,0.19909770786762238
to,0.535392165184021,0.24611181020736694,0.2686329185962677,0.41548454761505127,0.22500741481781006,0.42745086550712585,0.535392165184021,0.17764393985271454,0.41548454761505127,0.5345056653022766,0.18814419209957123,0.2863751947879791,0.29463258385658264
be,0.4248143136501312,0.14809253811836243,0.25251397490501404,0.33904364705085754,0.1127391830086708,0.4819129705429077,0.4248143136501312,0.17372749745845795,0.33904364705085754,0.476310670375824,0.16928978264331818,0.22295649349689484,0.3324260413646698
the,1.0,0.32918402552604675,0.37146830558776855,0.733189046382904,0.22571885585784912,0.5823672413825989,1.0,0.29064592719078064,0.733189046382904,0.6521818041801453,0.2494550496339798,0.2601400911808014,0.22068053483963013
center,0.29064592719078064,0.22273516654968262,0.17808657884597778,0.24526838958263397,0.26067841053009033,0.24782158434391022,0.29064592719078064,0.9999999403953552,0.24526838958263397,0.22164148092269897,0.19083182513713837,0.191753089427948,0.12538520991802216
of,0.733189046382904,0.2891985774040222,0.2452700436115265,1.0,0.1875009983778,0.4854315221309662,0.733189046382904,0.24526838958263397,1.0,0.5011631846427917,0.2623131573200226,0.2367410808801651,0.1826142966747284
fresno,0.22571885585784912,0.2787109911441803,0.2175837755203247,0.1875009983778,1.0000001192092896,0.2127077877521515,0.22571885585784912,0.26067841053009033,0.1875009983778,0.14756552875041962,0.16144831478595734,0.2422681599855423,0.13224096596240997
's,-0.01540423184633255,0.05081431567668915,0.05179053172469139,-0.03817026689648628,0.032067470252513885,0.02396530658006668,-0.01540423184633255,-0.006294060964137316,-0.03817026689648628,0.03856118768453598,0.005507649388164282,0.020855724811553955,-0.023395681753754616
african-american,0.3077481985092163,0.2981140911579132,0.12664297223091125,0.2843579947948456,0.2944262623786926,0.21530787646770477,0.3077481985092163,0.18238565325737,0.2843579947948456,0.22814516723155975,0.3096180558204651,0.18563346564769745,0.21985267102718353
community,0.2601400911808014,0.23071354627609253,0.17685265839099884,0.2367410808801651,0.2422681599855423,0.26023760437965393,0.2601400911808014,0.191753089427948,0.2367410808801651,0.2314024716615677,0.21926763653755188,0.9999998807907104,0.2380419820547104
.,0.5934505462646484,0.2804967761039734,0.3030071258544922,0.5352458953857422,0.2480216920375824,0.4569662809371948,0.5934505462646484,0.29649654030799866,0.5352458953857422,0.45942068099975586,0.17723505198955536,0.2594514787197113,0.4130953550338745
