,how,many,invertebrate,species,are,known,in,brazil,alone,?
scientists,0.3038296401500702,0.3708920478820801,0.30009883642196655,0.30216091871261597,0.3041467070579529,0.19127026200294495,0.1995355486869812,0.0685618594288826,0.17609383165836334,0.16597221791744232
have,0.4370637536048889,0.5841760635375977,0.34801602363586426,0.3239450752735138,0.6577680706977844,0.1978331357240677,0.36843645572662354,0.16095329821109772,0.33635756373405457,0.32991164922714233
described,0.2526073157787323,0.2943393588066101,0.2087859809398651,0.28715652227401733,0.25001800060272217,0.39754924178123474,0.28813880681991577,0.12345939129590988,0.17462745308876038,0.1374269425868988
between,0.2747800648212433,0.29423660039901733,0.09744700789451599,0.19528718292713165,0.2766000032424927,0.19939005374908447,0.41100412607192993,0.1458589732646942,0.1691533625125885,0.12887074053287506
"96,660",-0.002811896614730358,0.1533288210630417,0.16083873808383942,0.015699977055191994,0.20651359856128693,0.07772829383611679,0.2175830751657486,-0.023516912013292313,0.01813960261642933,0.047524262219667435
and,0.33647966384887695,0.5296266674995422,0.22460855543613434,0.23547904193401337,0.48576638102531433,0.3468935489654541,0.4954058527946472,0.24266564846038818,0.2519807815551758,0.20544172823429108
"128,843",-0.22511109709739685,-0.2281903773546219,-0.1686079353094101,-0.14243273437023163,-0.16410456597805023,-0.1384914070367813,-0.1802801489830017,-0.20800204575061798,-0.1894603967666626,-0.22503024339675903
invertebrate,0.2279718965291977,0.21634234488010406,0.9999999403953552,0.5714539289474487,0.30277833342552185,0.21291708946228027,0.23821565508842468,0.1568937599658966,0.1725860834121704,0.19114018976688385
species,0.20142129063606262,0.25436872243881226,0.5714539289474487,0.9999999403953552,0.3297041952610016,0.23394286632537842,0.2179255336523056,0.20450951159000397,0.20530328154563904,0.1957087516784668
in,0.2601168751716614,0.41474202275276184,0.23821565508842468,0.2179255336523056,0.3841303884983063,0.32641831040382385,1.0,0.23529648780822754,0.24454614520072937,0.20430970191955566
brazil,0.12747052311897278,0.24294866621494293,0.1568937599658966,0.20450951159000397,0.12391183525323868,0.14914309978485107,0.23529648780822754,1.0000001192092896,0.15756456553936005,0.14306876063346863
alone,0.3223377764225006,0.25460565090179443,0.1725860834121704,0.20530328154563904,0.265561044216156,0.13761146366596222,0.24454614520072937,0.15756456553936005,1.0,0.25589054822921753
.,0.3287222981452942,0.3974229395389557,0.2959435284137726,0.25772613286972046,0.3452940285205841,0.283290296792984,0.5591574311256409,0.26984333992004395,0.27440783381462097,0.4130953550338745
