,who,did,wiesner,hire,to,monitor,and,second,guess,nasa,'s,decisions,?
kennedy,0.19708238542079926,0.18083488941192627,0.25918495655059814,0.1013023778796196,0.2569362223148346,0.19139762222766876,0.22218705713748932,0.1591431349515915,0.1952304095029831,0.2364986389875412,-0.03838328644633293,0.2388106882572174,0.21965277194976807
's,0.05599616840481758,0.05069678649306297,0.05787868797779083,0.03628150746226311,0.03782717138528824,0.1309094876050949,0.06895173341035843,-0.060212843120098114,0.08562827110290527,-0.09383333474397659,0.9999999403953552,0.04356657713651657,-0.023395681753754616
science,0.19709691405296326,0.14819081127643585,0.34732750058174133,0.14775346219539642,0.2226530760526657,0.23162569105625153,0.2865735590457916,0.1992667317390442,0.2628670930862427,0.277741402387619,0.03909866884350777,0.2277797907590866,0.17974960803985596
advisor,0.2548273205757141,0.252360075712204,0.279806911945343,0.2107744812965393,0.20777706801891327,0.213093101978302,0.21706335246562958,0.07440945506095886,0.11470696330070496,0.2391776293516159,-0.024858558550477028,0.2707306146621704,0.0939842164516449
jerome,0.2169465273618698,0.15185312926769257,0.3234388530254364,0.17861555516719818,0.15107719600200653,-0.03749876096844673,0.23336732387542725,0.0988096222281456,0.1754584014415741,0.1725841909646988,-0.0023843904491513968,0.051104359328746796,0.17408518493175507
wiesner,0.2924979329109192,0.18779589235782623,0.9999999403953552,0.15225106477737427,0.193395733833313,0.07567618787288666,0.346465140581131,0.2094772607088089,0.21921655535697937,0.23799602687358856,0.05787868797779083,0.1610756367444992,0.2351539433002472
",",0.3365725874900818,0.3015086054801941,0.37364280223846436,0.15399982035160065,0.44245919585227966,0.22247396409511566,0.6633074283599854,0.29927265644073486,0.28415217995643616,0.18665438890457153,-0.0016132977325469255,0.28079578280448914,0.31091248989105225
who,0.9999998807907104,0.34038686752319336,0.2924979329109192,0.3917136788368225,0.42656609416007996,0.1760794073343277,0.41279885172843933,0.21920166909694672,0.2899603843688965,0.1536933034658432,0.05599616840481758,0.3022976219654083,0.26220351457595825
had,0.36173108220100403,0.540525496006012,0.22037382423877716,0.21889065206050873,0.37984350323677063,0.219822496175766,0.3872550129890442,0.2551495432853699,0.23529505729675293,0.13812682032585144,-0.004401352722197771,0.2874186933040619,0.20728366076946259
expressed,0.20309218764305115,0.17606444656848907,0.11684761941432953,0.13911591470241547,0.2824164628982544,0.0927603468298912,0.24103379249572754,0.24903354048728943,0.2741364538669586,0.09627632051706314,-0.04779237508773804,0.29445794224739075,0.17175263166427612
