,what,is,the,country,known,for,?
the,0.42745697498321533,0.5823672413825989,1.0,0.30432501435279846,0.3624623417854309,0.4739971458911896,0.22068053483963013
country,0.22705033421516418,0.24409033358097076,0.30432501435279846,1.0000001192092896,0.1656552404165268,0.2644098401069641,0.12647280097007751
is,0.28837618231773376,1.0,0.5823672413825989,0.24409033358097076,0.41921812295913696,0.43268078565597534,0.22961433231830597
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.1656552404165268,1.0,0.363901823759079,0.18314571678638458
chiefly,0.23201492428779602,0.2374519258737564,0.3110561668872833,0.17385901510715485,0.2764218747615814,0.23968462646007538,0.021524203941226006
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2644098401069641,0.363901823759079,0.9999999403953552,0.264628142118454
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.25601598620414734,0.31007078289985657,0.2992613911628723,0.15103481709957123
dominance,0.27423277497291565,0.20233985781669617,0.3841419219970703,0.218621626496315,0.19730503857135773,0.2627892792224884,0.08315658569335938
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3040012717247009,0.32641831040382385,0.4322226941585541,0.20430970191955566
middle-distance,0.23686020076274872,0.27615413069725037,0.3205470144748688,0.19528868794441223,0.22166474163532257,0.2788650095462799,0.1560133993625641
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.30884742736816406,0.3468935489654541,0.5064792633056641,0.20544172823429108
long-distance,0.226483553647995,0.23650847375392914,0.29401952028274536,0.222443625330925,0.18961107730865479,0.28577372431755066,0.14623819291591644
athletics,0.18140217661857605,0.14491918683052063,0.23869381844997406,0.17222939431667328,0.14516538381576538,0.20846976339817047,0.10309170186519623
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.27878350019454956,0.3604377806186676,0.4464869201183319,0.31091248989105225
having,0.34064167737960815,0.29556408524513245,0.3821379244327545,0.22370775043964386,0.1644883006811142,0.38465240597724915,0.22418256103992462
consistently,0.37857121229171753,0.2740470767021179,0.2695158123970032,0.18940240144729614,0.21729141473770142,0.3542441427707672,0.2656213045120239
produced,0.1393624097108841,0.25678005814552307,0.22045251727104187,0.12595748901367188,0.2549735903739929,0.16180217266082764,0.1623450517654419
olympic,0.1032477542757988,0.14401084184646606,0.20010532438755035,0.24334625899791718,0.17253248393535614,0.21669703722000122,0.14391231536865234
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.30884742736816406,0.3468935489654541,0.5064792633056641,0.20544172823429108
commonwealth,0.1751948744058609,0.1592666506767273,0.3297852873802185,0.2992890179157257,0.16036900877952576,0.2045663297176361,0.13252873718738556
games,0.1820194572210312,0.17599987983703613,0.2676136791706085,0.18278607726097107,0.18201258778572083,0.2952845096588135,0.1360001415014267
champions,0.12770533561706543,0.1543613076210022,0.26727694272994995,0.17874671518802643,0.14174285531044006,0.21329842507839203,0.1751273274421692
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3040012717247009,0.32641831040382385,0.4322226941585541,0.20430970191955566
various,0.26045072078704834,0.13601526618003845,0.3235042691230774,0.17515665292739868,0.23669686913490295,0.3578505516052246,0.12823495268821716
distance,0.18809965252876282,0.2458917796611786,0.26146480441093445,0.18249833583831787,0.15597416460514069,0.23153051733970642,0.05407539755105972
events,0.269866019487381,0.17093729972839355,0.3102840185165405,0.1800263375043869,0.163478821516037,0.2524527311325073,0.09835197776556015
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.27878350019454956,0.3604377806186676,0.4464869201183319,0.31091248989105225
especially,0.3590192496776581,0.32683345675468445,0.39420849084854126,0.2146720439195633,0.27128729224205017,0.42758095264434814,0.19751401245594025
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3040012717247009,0.32641831040382385,0.4322226941585541,0.20430970191955566
800,0.12326471507549286,-0.008355949074029922,0.007269678637385368,0.0746205672621727,0.01555517129600048,0.03149709478020668,0.04938950017094612
m,0.23871465027332306,0.22669823467731476,0.15156042575836182,0.15428277850151062,0.10370873659849167,0.1902354210615158,0.2618667185306549
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.27878350019454956,0.3604377806186676,0.4464869201183319,0.31091248989105225
