,what,is,the,name,of,the,private,day,school,for,k-12,students,the,university,runs,?
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.2910972535610199,0.38761502504348755,0.6251175999641418,0.17335385084152222,0.2486180067062378,0.22964634001255035,0.32171204686164856,0.40049636363983154,0.2610231041908264,0.6251175999641418,0.20301668345928192,0.2526554465293884,0.25732165575027466
operates,0.17323419451713562,0.29712775349617004,0.2663705050945282,0.15024195611476898,0.22910091280937195,0.2663705050945282,0.2775810658931732,0.17054297029972076,0.18981273472309113,0.22636084258556366,0.23968200385570526,0.205306276679039,0.2663705050945282,0.18956801295280457,0.41775718331336975,0.12270797789096832
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.18291357159614563,0.3062323033809662,0.22953221201896667,0.4739971458911896,0.40333887934684753,0.25268980860710144,1.0,0.263973206281662,0.30832576751708984,0.22068053483963013
university,0.20256435871124268,0.20346471667289734,0.263973206281662,0.1568726748228073,0.30646374821662903,0.263973206281662,0.33786600828170776,0.17589150369167328,0.48676231503486633,0.18573740124702454,0.17231003940105438,0.4958297908306122,0.263973206281662,1.0,0.15604981780052185,0.11887256056070328
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.18706899881362915,0.2934032380580902,0.2391800880432129,0.4185989499092102,0.35074689984321594,0.25513339042663574,0.733189046382904,0.30646374821662903,0.22292760014533997,0.1826142966747284
chicago,0.1521448791027069,0.12146236002445221,0.27360326051712036,0.1020326316356659,0.18391016125679016,0.27360326051712036,0.1683819591999054,0.150318905711174,0.25633347034454346,0.2320132851600647,0.13260604441165924,0.1723083257675171,0.27360326051712036,0.29005804657936096,0.16284847259521484,0.16446958482265472
laboratory,0.20190474390983582,0.21502412855625153,0.19762322306632996,0.13158656656742096,0.23493865132331848,0.19762322306632996,0.20735760033130646,0.16932249069213867,0.22459523379802704,0.26230254769325256,0.09399803727865219,0.2543911635875702,0.19762322306632996,0.3646054267883301,0.07193589955568314,0.07445509731769562
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.12527719140052795,0.265506386756897,0.22905772924423218,0.4158569872379303,0.13669390976428986,0.7602541446685791,0.2320515662431717,0.19639074802398682,0.6169943809509277,0.22905772924423218,0.4070035517215729,0.18934756517410278,0.18349280953407288
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.33289089798927307,0.162434384226799,0.22952881455421448,0.16600246727466583,0.3357032239437103,0.33534011244773865,0.13481496274471283,0.33289089798927307,0.20313534140586853,0.14261752367019653,0.40561532974243164
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.20346391201019287,0.18630309402942657,0.2245093584060669,0.44038116931915283,0.3649747669696808,0.2676560878753662,0.5829201340675354,0.20256656408309937,0.23921579122543335,0.23916715383529663
