,what,is,said,to,be,the,largest,travelling,funfair,in,europe,?
honorary,0.09812729060649872,0.18617857992649078,0.19024832546710968,0.153671532869339,0.14374707639217377,0.2217240184545517,0.16245241463184357,0.13607832789421082,0.22005333006381989,0.19684521853923798,0.13918165862560272,0.12819144129753113
freemen,0.19465023279190063,0.1608799397945404,0.2260122299194336,0.27990785241127014,0.1972850114107132,0.2489958107471466,0.19675767421722412,0.2745383679866791,0.34066593647003174,0.255904883146286,0.23497426509857178,0.08972366899251938
include,0.1535889357328415,0.28863582015037537,0.20378634333610535,0.1820748895406723,0.29535481333732605,0.2951717972755432,0.24294912815093994,0.12031933665275574,0.17967593669891357,0.28694382309913635,0.19212675094604492,0.14925788342952728
bob,0.19678163528442383,0.12528516352176666,0.1671365648508072,0.20610371232032776,0.16151916980743408,0.22041159868240356,0.016978276893496513,0.16079838573932648,0.1859358251094818,0.18750905990600586,0.08253922313451767,0.14176081120967865
geldof,0.18439289927482605,0.20732557773590088,0.2294134795665741,0.19538158178329468,0.16973739862442017,0.21126411855220795,0.07261969149112701,0.16646021604537964,0.29284536838531494,0.24240024387836456,0.13817301392555237,0.1870681494474411
",",0.3087472915649414,0.4691906273365021,0.34496036171913147,0.44245919585227966,0.39254459738731384,0.4933079481124878,0.26626327633857727,0.2211819440126419,0.377482146024704,0.5201468467712402,0.2542513906955719,0.31091248989105225
king,0.18449601531028748,0.193196102976799,0.2241702377796173,0.24476152658462524,0.1335083544254303,0.25887003540992737,0.12957428395748138,0.12641584873199463,0.21790476143360138,0.2044914960861206,0.15336142480373383,0.19130074977874756
harald,0.13398951292037964,0.11524487286806107,0.18292930722236633,0.16726529598236084,0.08703631907701492,0.1725732386112213,0.07864569872617722,0.14732034504413605,0.16982384026050568,0.1371411383152008,0.21573925018310547,0.17046159505844116
v,0.16628342866897583,0.16126930713653564,0.1292225867509842,0.2109750658273697,0.11805149912834167,0.18580520153045654,0.06051240116357803,0.10969267040491104,0.19120731949806213,0.15216681361198425,0.10453177988529205,0.28677162528038025
of,0.33290785551071167,0.4854315221309662,0.29014745354652405,0.41548454761505127,0.33904364705085754,0.733189046382904,0.36650770902633667,0.2174810916185379,0.24703454971313477,0.5696388483047485,0.29299741983413696,0.1826142966747284
norway,0.13499143719673157,0.16516347229480743,0.12321172654628754,0.19345083832740784,0.14078383147716522,0.20952337980270386,0.19085296988487244,0.2043033391237259,0.21302571892738342,0.25539493560791016,0.3299200236797333,0.12105534970760345
