,what,was,tesla,'s,ac,system,used,for,in,pittsburgh,?
during,0.24137552082538605,0.4470829963684082,0.08954931050539017,0.011294117197394371,0.01885044202208519,0.18141427636146545,0.2677379846572876,0.3448435664176941,0.4627237319946289,0.14155662059783936,0.1325719803571701
that,0.6297725439071655,0.33670201897621155,0.22102725505828857,0.04397977516055107,0.10693444311618805,0.3088737428188324,0.37621384859085083,0.4137635827064514,0.435920387506485,0.16949330270290375,0.32716336846351624
year,0.15184831619262695,0.3209837079048157,0.1455472707748413,-0.04087831452488899,0.0834597572684288,0.15319517254829407,0.1307803839445114,0.29294124245643616,0.3359307050704956,0.20837409794330597,0.18315006792545319
",",0.3087472915649414,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.1705707460641861,0.18439900875091553,0.3120402991771698,0.4464869201183319,0.5201468467712402,0.2340477555990219,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.31766265630722046,0.18243813514709473,0.226042702794075,0.13983871042728424,0.17097744345664978,0.1537020057439804,0.10250775516033173
worked,0.168898344039917,0.38922780752182007,0.15985111892223358,-0.054441310465335846,0.09355892241001129,0.1250094771385193,0.2756395936012268,0.3048533797264099,0.28707414865493774,0.2475702315568924,0.0901828184723854
in,0.30808621644973755,0.45514053106307983,0.17097744345664978,-0.037580832839012146,0.09242649376392365,0.21978288888931274,0.3090210556983948,0.4322226941585541,1.0,0.1921023428440094,0.20430970191955566
pittsburgh,0.16984835267066956,0.24069096148014069,0.1537020057439804,-0.013219165615737438,0.08973267674446106,0.12969012558460236,0.09879501909017563,0.18945613503456116,0.1921023428440094,0.9999999403953552,0.17622371017932892
",",0.3087472915649414,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.1705707460641861,0.18439900875091553,0.3120402991771698,0.4464869201183319,0.5201468467712402,0.2340477555990219,0.31091248989105225
helping,0.33323097229003906,0.18125568330287933,0.14112336933612823,0.03619043156504631,0.01252010092139244,0.14536331593990326,0.23763945698738098,0.3029560446739197,0.27409082651138306,0.19019761681556702,0.28235307335853577
to,0.455847829580307,0.3636345863342285,0.17548894882202148,0.03782717138528824,0.13302072882652283,0.26662686467170715,0.40058770775794983,0.4451248347759247,0.45010748505592346,0.16627483069896698,0.29463258385658264
create,0.2962724268436432,0.17767828702926636,0.19459636509418488,0.04883107915520668,0.13746583461761475,0.23219428956508636,0.32549139857292175,0.2826802134513855,0.21287982165813446,0.10701769590377808,0.300167441368103
an,0.2821882665157318,0.3694365322589874,0.13714656233787537,0.025255560874938965,0.178873673081398,0.17536801099777222,0.25728896260261536,0.3236706852912903,0.2605783939361572,0.15141674876213074,0.19793890416622162
alternating,0.10095972567796707,0.15524277091026306,0.20965251326560974,-0.036665238440036774,0.3527459502220154,0.25607529282569885,0.31735649704933167,0.28052112460136414,0.24697254598140717,0.11903426051139832,0.13878576457500458
