,what,was,the,name,of,temüjin,'s,wife,börte,'s,first,son,?
she,0.23844075202941895,0.42156049609184265,0.36308351159095764,0.1394435316324234,0.28080645203590393,0.36295875906944275,0.026962807402014732,0.4471406638622284,0.20401160418987274,0.026962807402014732,0.310329794883728,0.3483649492263794,0.14223381876945496
gave,0.14222867786884308,0.42201077938079834,0.32555076479911804,0.23035766184329987,0.3650403320789337,0.3252185583114624,0.0414002351462841,0.24654391407966614,0.20047341287136078,0.0414002351462841,0.25189340114593506,0.25381574034690857,0.1910865753889084
birth,0.17344997823238373,0.17733189463615417,0.21280217170715332,0.29241010546684265,0.2531921863555908,0.3185897469520569,-0.017712045460939407,0.25390636920928955,0.11872448772192001,-0.017712045460939407,0.1775147020816803,0.28725820779800415,0.10080231726169586
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.36858871579170227,0.03782717138528824,0.20460014045238495,0.21717941761016846,0.03782717138528824,0.3792489171028137,0.16820268332958221,0.29463258385658264
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.36845725774765015,0.04866964742541313,0.15953688323497772,0.263821005821228,0.04866964742541313,0.4287874400615692,0.16976182162761688,0.23916715383529663
son,0.15706995129585266,0.3045712113380432,0.2102738618850708,0.1709931641817093,0.22933141887187958,0.39123988151550293,-0.035570673644542694,0.6026097536087036,0.24662339687347412,-0.035570673644542694,0.20649024844169617,1.0,0.14735563099384308
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.27755871415138245,0.30557334423065186,-0.0016132977325469255,0.34503069519996643,0.2594279944896698,0.31091248989105225
jochi,0.12511183321475983,0.22727705538272858,0.19898229837417603,0.1495499312877655,0.15254677832126617,0.37734687328338623,0.07596804201602936,0.20720671117305756,0.3272222876548767,0.07596804201602936,0.19018293917179108,0.2647548019886017,0.10597938299179077
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.2132648229598999,0.0012731997994706035,0.15391512215137482,0.3193424940109253,0.0012731997994706035,0.2450505793094635,0.19591182470321655,0.40561532974243164
1185–1226,0.08034686744213104,0.12406612932682037,0.0577571876347065,0.01862817257642746,0.05093197152018547,0.24061352014541626,0.09188078343868256,0.04625001177191734,0.08074901252985,0.09188078343868256,0.08002487570047379,0.012687760405242443,0.020227691158652306
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.2638341188430786,0.3680361211299896,0.23526804149150848,0.021107977256178856,0.16176708042621613,0.3353121876716614,0.021107977256178856,0.27228695154190063,0.20861954987049103,0.42300865054130554
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.27755871415138245,0.30557334423065186,-0.0016132977325469255,0.34503069519996643,0.2594279944896698,0.31091248989105225
nine,0.11931172013282776,0.2782309651374817,0.33253175020217896,0.15506751835346222,0.29486238956451416,0.24922645092010498,0.011213268153369427,0.18697063624858856,0.17974725365638733,0.011213268153369427,0.31363314390182495,0.1675541251897812,0.13964155316352844
months,0.24954822659492493,0.30324822664260864,0.2680157423019409,0.15078459680080414,0.22298860549926758,0.29843100905418396,0.017206644639372826,0.22587034106254578,0.17505373060703278,0.017206644639372826,0.24026255309581757,0.2008616179227829,0.2804218530654907
later,0.2517229914665222,0.5684447288513184,0.4060266613960266,0.2509414553642273,0.3458743393421173,0.4264255166053772,0.05591587722301483,0.30542421340942383,0.19303859770298004,0.05591587722301483,0.48412203788757324,0.2839990258216858,0.1417175978422165
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.27755871415138245,0.30557334423065186,-0.0016132977325469255,0.34503069519996643,0.2594279944896698,0.31091248989105225
clouding,0.29617899656295776,0.21517163515090942,0.35110020637512207,0.19684924185276031,0.31418782472610474,0.29756319522857666,0.051701705902814865,0.21290388703346252,0.0956568717956543,0.051701705902814865,0.1775224804878235,0.1470453292131424,0.2333221733570099
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,0.43713900446891785,-0.01540423184633255,0.18555577099323273,0.26430708169937134,-0.01540423184633255,0.49448907375335693,0.2102738618850708,0.22068053483963013
issue,0.32369524240493774,0.22246617078781128,0.22164808213710785,0.13324397802352905,0.2598971724510193,0.2315240353345871,-0.0772196352481842,0.17182520031929016,0.182353213429451,-0.0772196352481842,0.2688688337802887,0.13287942111492157,0.32172858715057373
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.378805011510849,-0.03817026689648628,0.2074100226163864,0.2801446318626404,-0.03817026689648628,0.3536086082458496,0.22933141887187958,0.1826142966747284
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.1914493292570114,0.38364991545677185,0.4682264029979706,0.047556519508361816,0.4532906115055084,0.2615121304988861,0.047556519508361816,0.3241460621356964,0.4423290193080902,0.18075084686279297
parentage,0.2457733303308487,0.17834968864917755,0.2637968063354492,0.21404819190502167,0.19517862796783447,0.1981046050786972,0.026327162981033325,0.17099110782146454,0.10121805965900421,0.026327162981033325,0.22251060605049133,0.22763937711715698,0.18862174451351166
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.31788840889930725,-0.003708066651597619,0.24426577985286713,0.31827959418296814,-0.003708066651597619,0.4345304071903229,0.19869175553321838,0.4130953550338745
