,gateways,allowed,private,companies,to,do,what
the,0.31361740827560425,0.2985120713710785,0.18291357159614563,0.26917189359664917,0.535392165184021,0.30239659547805786,0.42745697498321533
private,0.25880303978919983,0.2225826382637024,1.0,0.32399415969848633,0.18892748653888702,0.15537725389003754,0.16778090596199036
networks,0.5106542706489563,0.16453035175800323,0.32683098316192627,0.45240703225135803,0.23877078294754028,0.16823774576187134,0.18279550969600677
were,0.2597752511501312,0.37402987480163574,0.16483961045742035,0.22409465909004211,0.31913647055625916,0.23274902999401093,0.22298263013362885
often,0.2873115837574005,0.33013880252838135,0.22649462521076202,0.22446493804454803,0.4351843297481537,0.30438441038131714,0.3849453330039978
connected,0.424923837184906,0.2329447716474533,0.2061353176832199,0.17954085767269135,0.2315610647201538,0.21595774590969086,0.21880124509334564
via,0.3697076141834259,0.17698699235916138,0.2219628095626831,0.23324598371982574,0.27847176790237427,0.1296939104795456,0.16736915707588196
gateways,1.0000001192092896,0.2779891788959503,0.25880303978919983,0.30342036485671997,0.31445378065109253,0.2115715891122818,0.1974622905254364
to,0.31445378065109253,0.42967355251312256,0.18892748653888702,0.2619103491306305,1.0,0.38876664638519287,0.455847829580307
the,0.31361740827560425,0.2985120713710785,0.18291357159614563,0.26917189359664917,0.535392165184021,0.30239659547805786,0.42745697498321533
public,0.2836190462112427,0.2674766778945923,0.5126727223396301,0.26643046736717224,0.2672370672225952,0.14626605808734894,0.1729622185230255
network,0.4389273524284363,0.11737009882926941,0.26141172647476196,0.3142971396446228,0.25940340757369995,0.12826339900493622,0.16917307674884796
to,0.31445378065109253,0.42967355251312256,0.18892748653888702,0.2619103491306305,1.0,0.38876664638519287,0.455847829580307
reach,0.251614511013031,0.24008379876613617,0.10021605342626572,0.11052582412958145,0.37959611415863037,0.28542083501815796,0.23399507999420166
locations,0.4219413101673126,0.1852247267961502,0.24888871610164642,0.31634142994880676,0.29775765538215637,0.17399930953979492,0.21363390982151031
not,0.21742680668830872,0.5134925246238708,0.181801438331604,0.18915697932243347,0.5149973034858704,0.6619802713394165,0.5449194312095642
on,0.23324868083000183,0.28039318323135376,0.21000011265277863,0.23421919345855713,0.41031414270401,0.3025321364402771,0.34226128458976746
the,0.31361740827560425,0.2985120713710785,0.18291357159614563,0.26917189359664917,0.535392165184021,0.30239659547805786,0.42745697498321533
private,0.25880303978919983,0.2225826382637024,1.0,0.32399415969848633,0.18892748653888702,0.15537725389003754,0.16778090596199036
network,0.4389273524284363,0.11737009882926941,0.26141172647476196,0.3142971396446228,0.25940340757369995,0.12826339900493622,0.16917307674884796
.,0.2834497392177582,0.3197084665298462,0.2534593939781189,0.20400826632976532,0.4645031690597534,0.3613996207714081,0.3567904531955719
