,what,gameshow,featuring,newly,married,people,was,debuted,by,abc,in,july,1966,?
this,0.5489566326141357,0.20881758630275726,0.16359883546829224,0.25820276141166687,0.09908413887023926,0.27838850021362305,0.3638818562030792,0.1850968450307846,0.38438332080841064,0.16107726097106934,0.45205554366111755,0.2439165860414505,0.06640449166297913,0.3155723512172699
was,0.22111038863658905,0.2193676084280014,0.16899792850017548,0.39056387543678284,0.3079395592212677,0.2518421411514282,1.0000001192092896,0.3357197344303131,0.4752357602119446,0.21565799415111542,0.45514053106307983,0.40724116563796997,-0.12360594421625137,0.18412111699581146
followed,0.20169416069984436,0.15574736893177032,0.2231689840555191,0.1688135713338852,0.11974474042654037,0.1496179848909378,0.2845839560031891,0.29811519384384155,0.3815058469772339,0.18081481754779816,0.3307904005050659,0.1692722588777542,0.046711962670087814,0.20567169785499573
up,0.28591108322143555,0.17555604875087738,0.17102648317813873,0.18983986973762512,0.14383460581302643,0.2338736206293106,0.24070115387439728,0.17045854032039642,0.2738759219646454,0.13020706176757812,0.3120773434638977,0.17907261848449707,0.04255405440926552,0.1819818764925003
in,0.30808621644973755,0.22212086617946625,0.1888517439365387,0.3222779333591461,0.21549314260482788,0.39605680108070374,0.45514053106307983,0.25110283493995667,0.370934396982193,0.1697147786617279,1.0,0.26500701904296875,-0.09151272475719452,0.20430970191955566
july,0.22688010334968567,0.23914003372192383,0.13259819149971008,0.16188226640224457,0.3124435842037201,0.1869933009147644,0.40724116563796997,0.21975873410701752,0.16927224397659302,0.15350030362606049,0.26500701904296875,1.0,-0.08423631638288498,0.2897891402244568
1966,0.04680648446083069,0.10362370312213898,0.12756264209747314,-0.05318927764892578,-0.05163798853754997,-0.04252982512116432,-0.12360594421625137,0.02981148660182953,0.044637467712163925,0.012195252813398838,-0.09151272475719452,-0.08423631638288498,1.0,0.08956238627433777
by,0.2455483376979828,0.20723724365234375,0.19083385169506073,0.3245653510093689,0.17593929171562195,0.20350977778434753,0.4752357602119446,0.20822018384933472,1.0000001192092896,0.17600902915000916,0.370934396982193,0.16927224397659302,0.044637467712163925,0.17966607213020325
the,0.42745697498321533,0.22271066904067993,0.21340800821781158,0.35828328132629395,0.10720405727624893,0.36838498711586,0.48711544275283813,0.28418588638305664,0.4408751428127289,0.2068762183189392,0.6662389636039734,0.2371699959039688,-0.0162473414093256,0.22068053483963013
newlywed,0.18169951438903809,0.23731908202171326,0.24822193384170532,0.6756773591041565,0.3899834156036377,0.1747535765171051,0.44569265842437744,0.3060542047023773,0.3252464532852173,0.20445047318935394,0.3845749795436859,0.2578794062137604,-0.04048052430152893,0.14887641370296478
