,who,was,yersinia,pestis,named,for,?
the,0.3733934462070465,0.48711544275283813,0.26242390275001526,0.23376873135566711,0.3521348536014557,0.4739971458911896,0.22068053483963013
investigation,0.20230402052402496,0.27696651220321655,0.22496025264263153,0.23435643315315247,0.15043814480304718,0.266801118850708,0.1558016687631607
of,0.2827862501144409,0.4069072902202606,0.26018857955932617,0.19618989527225494,0.2820465862751007,0.4185989499092102,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.26242390275001526,0.23376873135566711,0.3521348536014557,0.4739971458911896,0.22068053483963013
pathogen,0.15207768976688385,0.13435368239879608,0.5760546922683716,0.5520470142364502,0.08851857483386993,0.18619482219219208,0.1893778294324875
that,0.45444270968437195,0.33670201897621155,0.29945167899131775,0.2785785496234894,0.2836160957813263,0.4137635827064514,0.32716336846351624
caused,0.17188787460327148,0.25113144516944885,0.3441568613052368,0.3284347653388977,0.15418390929698944,0.1862620860338211,0.20679491758346558
the,0.3733934462070465,0.48711544275283813,0.26242390275001526,0.23376873135566711,0.3521348536014557,0.4739971458911896,0.22068053483963013
19th-century,0.34201791882514954,0.3491089642047882,0.2408256083726883,0.22073912620544434,0.19021567702293396,0.17616231739521027,0.09364749491214752
plague,0.22886906564235687,0.24312011897563934,0.4461015462875366,0.5067715644836426,0.1305045634508133,0.1471073478460312,0.11872942000627518
was,0.3318818509578705,1.0000001192092896,0.1922709196805954,0.19139879941940308,0.37528327107429504,0.3863949179649353,0.18412111699581146
begun,0.2095632702112198,0.2829301357269287,0.1780429184436798,0.1721489131450653,0.17896011471748352,0.2174149751663208,0.13816508650779724
by,0.39727845788002014,0.4752357602119446,0.22461627423763275,0.2306092530488968,0.30212631821632385,0.3248702883720398,0.17966607213020325
teams,0.23560982942581177,0.1698075383901596,0.1632426381111145,0.07232537120580673,0.1625431627035141,0.25904974341392517,0.11150168627500534
of,0.2827862501144409,0.4069072902202606,0.26018857955932617,0.19618989527225494,0.2820465862751007,0.4185989499092102,0.1826142966747284
scientists,0.2545245885848999,0.21144776046276093,0.2722923159599304,0.25728869438171387,0.2020396739244461,0.17087750136852264,0.16597221791744232
who,0.9999998807907104,0.3318818509578705,0.14815980195999146,0.2290160357952118,0.38541290163993835,0.37110671401023865,0.26220351457595825
visited,0.2990178167819977,0.2746925354003906,0.1111525222659111,0.1481117308139801,0.3120228350162506,0.19959858059883118,0.10874007642269135
hong,0.16093415021896362,0.23567552864551544,0.14010511338710785,0.1051870658993721,0.10696600377559662,0.19012272357940674,0.10784482210874557
kong,0.1501600444316864,0.23660093545913696,0.13497096300125122,0.12894025444984436,0.11415817588567734,0.15944050252437592,0.10485735535621643
in,0.2792111933231354,0.45514053106307983,0.2823023796081543,0.16708125174045563,0.28130269050598145,0.4322226941585541,0.20430970191955566
1894,0.12799611687660217,0.19647718966007233,0.2167482227087021,0.10903328657150269,0.13154825568199158,0.08538650721311569,0.1500938981771469
",",0.3365725874900818,0.45456063747406006,0.22470152378082275,0.2664850056171417,0.2530003488063812,0.4464869201183319,0.31091248989105225
among,0.32480236887931824,0.23730893433094025,0.157069131731987,0.19978463649749756,0.2548973262310028,0.2832789719104767,0.14343059062957764
whom,0.6214004158973694,0.2438793033361435,0.20260249078273773,0.18121866881847382,0.28758057951927185,0.24361787736415863,0.222135990858078
was,0.3318818509578705,1.0000001192092896,0.1922709196805954,0.19139879941940308,0.37528327107429504,0.3863949179649353,0.18412111699581146
the,0.3733934462070465,0.48711544275283813,0.26242390275001526,0.23376873135566711,0.3521348536014557,0.4739971458911896,0.22068053483963013
french-swiss,0.29779911041259766,0.29319190979003906,0.27705076336860657,0.20230011641979218,0.212396040558815,0.220964714884758,0.19132785499095917
bacteriologist,0.26946184039115906,0.26421600580215454,0.40924835205078125,0.4335666298866272,0.2511804401874542,0.16786091029644012,0.15713158249855042
alexandre,0.23114635050296783,0.27653151750564575,0.13051250576972961,0.18501940369606018,0.15657490491867065,0.16572463512420654,0.11866532266139984
yersin,0.2091052532196045,0.2011692374944687,0.7920392155647278,0.4954102635383606,0.11388759315013885,0.2007816880941391,0.2174769639968872
",",0.3365725874900818,0.45456063747406006,0.22470152378082275,0.2664850056171417,0.2530003488063812,0.4464869201183319,0.31091248989105225
after,0.32549580931663513,0.49306565523147583,0.26297053694725037,0.18941524624824524,0.4528660774230957,0.3650246858596802,0.16608688235282898
whom,0.6214004158973694,0.2438793033361435,0.20260249078273773,0.18121866881847382,0.28758057951927185,0.24361787736415863,0.222135990858078
the,0.3733934462070465,0.48711544275283813,0.26242390275001526,0.23376873135566711,0.3521348536014557,0.4739971458911896,0.22068053483963013
pathogen,0.15207768976688385,0.13435368239879608,0.5760546922683716,0.5520470142364502,0.08851857483386993,0.18619482219219208,0.1893778294324875
was,0.3318818509578705,1.0000001192092896,0.1922709196805954,0.19139879941940308,0.37528327107429504,0.3863949179649353,0.18412111699581146
named,0.38541290163993835,0.37528327107429504,0.1096150353550911,0.15911436080932617,1.0,0.22057102620601654,0.1297498345375061
yersinia,0.14815980195999146,0.1922709196805954,1.0,0.5700177550315857,0.1096150353550911,0.14848415553569794,0.22753337025642395
pestis,0.2290160357952118,0.19139879941940308,0.5700177550315857,1.0000001192092896,0.15911436080932617,0.18700870871543884,0.2471543848514557
.,0.3541337847709656,0.40146201848983765,0.2827284634113312,0.2792564034461975,0.24760639667510986,0.4726039469242096,0.4130953550338745
