,where,is,much,of,the,work,of,the,scottish,parliament,done,?
much,0.30434560775756836,0.3156087100505829,0.9999998807907104,0.2671096920967102,0.35023224353790283,0.38858485221862793,0.2671096920967102,0.35023224353790283,0.1467839777469635,0.162418931722641,0.35928860306739807,0.23442231118679047
of,0.38066378235816956,0.4854315221309662,0.2671096920967102,1.0,0.733189046382904,0.23473061621189117,1.0,0.733189046382904,0.1698460429906845,0.2885259687900543,0.23300732672214508,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,0.35023224353790283,0.733189046382904,1.0,0.2704800069332123,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.26575928926467896,0.22068053483963013
work,0.2737104296684265,0.22475390136241913,0.38858485221862793,0.23473061621189117,0.2704800069332123,1.0,0.23473061621189117,0.2704800069332123,0.1747785061597824,0.16524556279182434,0.47957438230514526,0.2621155381202698
of,0.38066378235816956,0.4854315221309662,0.2671096920967102,1.0,0.733189046382904,0.23473061621189117,1.0,0.733189046382904,0.1698460429906845,0.2885259687900543,0.23300732672214508,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,0.35023224353790283,0.733189046382904,1.0,0.2704800069332123,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.26575928926467896,0.22068053483963013
scottish,0.16515733301639557,0.16398480534553528,0.1467839777469635,0.1698460429906845,0.21724988520145416,0.1747785061597824,0.1698460429906845,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.1499115228652954,0.06442669779062271
parliament,0.14109039306640625,0.19676777720451355,0.162418931722641,0.2885259687900543,0.26521381735801697,0.16524556279182434,0.2885259687900543,0.26521381735801697,0.3418616056442261,1.0,0.14715635776519775,0.1586504578590393
is,0.3586711287498474,1.0,0.3156087100505829,0.4854315221309662,0.5823672413825989,0.22475390136241913,0.4854315221309662,0.5823672413825989,0.16398480534553528,0.19676777720451355,0.2536029815673828,0.22961433231830597
done,0.24295906722545624,0.2536029815673828,0.35928860306739807,0.23300732672214508,0.26575928926467896,0.47957438230514526,0.23300732672214508,0.26575928926467896,0.1499115228652954,0.14715635776519775,1.0000001192092896,0.36153489351272583
in,0.5344807505607605,0.5394441485404968,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.2753349542617798,0.5696388483047485,0.6662389636039734,0.16512006521224976,0.2323146015405655,0.22165289521217346,0.20430970191955566
committee,0.15980705618858337,0.1410297304391861,0.08676882088184357,0.2920650243759155,0.24322165548801422,0.16941428184509277,0.2920650243759155,0.24322165548801422,0.17743992805480957,0.4109974205493927,0.1937110275030136,0.12144632637500763
.,0.41390106081962585,0.4569662809371948,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.33121398091316223,0.5352458953857422,0.5934505462646484,0.20125295221805573,0.23747818171977997,0.3132319152355194,0.4130953550338745
