,what,work,is,useful,for,pastors,?
luther,0.2134782373905182,0.15580131113529205,0.08282390236854553,0.1355782002210617,0.12958186864852905,0.3949829041957855,0.1732746809720993
's,0.02692362666130066,-0.03332063928246498,0.02396530658006668,0.004898374434560537,-0.07241261005401611,0.052883442491292953,-0.023395681753754616
small,0.2504110634326935,0.17062796652317047,0.32085540890693665,0.32261383533477783,0.20376276969909668,0.15360204875469208,0.13914890587329865
catechism,0.29557177424430847,0.19849686324596405,0.1836092174053192,0.17415839433670044,0.14362718164920807,0.29629746079444885,0.25135189294815063
proved,0.23704653978347778,0.25560256838798523,0.16634024679660797,0.3750469982624054,0.22118917107582092,0.08712335675954819,0.1678566187620163
especially,0.3590192496776581,0.3470107913017273,0.32683345675468445,0.4376835823059082,0.42758095264434814,0.23041445016860962,0.19751401245594025
effective,0.23494793474674225,0.24738164246082306,0.19124136865139008,0.46122339367866516,0.2914128005504608,0.145307257771492,0.21825028955936432
in,0.30808621644973755,0.2753349542617798,0.5394441485404968,0.19052453339099884,0.4322226941585541,0.20203432440757751,0.20430970191955566
helping,0.33323097229003906,0.4426861107349396,0.1578391045331955,0.32191208004951477,0.3029560446739197,0.2881024181842804,0.28235307335853577
parents,0.24383264780044556,0.2016276717185974,0.16050268709659576,0.13261045515537262,0.20578457415103912,0.34296008944511414,0.17306075990200043
teach,0.2818700671195984,0.3329504132270813,0.15221208333969116,0.25827011466026306,0.31015744805336,0.38485094904899597,0.24188745021820068
their,0.35142919421195984,0.3008926510810852,0.2101074606180191,0.29348960518836975,0.3406745493412018,0.32939475774765015,0.1898253709077835
children,0.22469459474086761,0.1791052222251892,0.15495672821998596,0.1529790759086609,0.19934585690498352,0.3420198857784271,0.21788206696510315
;,0.10986888408660889,0.044925615191459656,0.05324986204504967,0.01555702742189169,0.0293948445469141,-0.006148001179099083,0.10349778085947037
likewise,0.3193172216415405,0.2648273706436157,0.26193881034851074,0.36124926805496216,0.3012573719024658,0.22337834537029266,0.2001093626022339
the,0.42745697498321533,0.2704800069332123,0.5823672413825989,0.24760913848876953,0.4739971458911896,0.1971966028213501,0.22068053483963013
larger,0.23663538694381714,0.18890351057052612,0.24218857288360596,0.233155757188797,0.18703162670135498,0.1845553070306778,0.1602165699005127
catechism,0.29557177424430847,0.19849686324596405,0.1836092174053192,0.17415839433670044,0.14362718164920807,0.29629746079444885,0.25135189294815063
was,0.22111038863658905,0.24745555222034454,0.5810302495956421,0.1030915230512619,0.3863949179649353,0.23307035863399506,0.18412111699581146
effective,0.23494793474674225,0.24738164246082306,0.19124136865139008,0.46122339367866516,0.2914128005504608,0.145307257771492,0.21825028955936432
for,0.3017193675041199,0.4087657630443573,0.43268078565597534,0.3907424807548523,0.9999999403953552,0.21625728905200958,0.264628142118454
pastors,0.2295304387807846,0.24742542207241058,0.1068577691912651,0.15565811097621918,0.21625728905200958,1.0000001192092896,0.17702129483222961
.,0.3567904531955719,0.33121398091316223,0.4569662809371948,0.2683940827846527,0.4726039469242096,0.19854140281677246,0.4130953550338745
