,the,number,of,new,huguenot,colonists,declined,after,what,year,?
the,1.0,0.35145696997642517,0.733189046382904,0.3845241069793701,0.29557526111602783,0.2727788984775543,0.2764727771282196,0.4565047025680542,0.42745697498321533,0.3609684407711029,0.22068053483963013
largest,0.3757036626338959,0.2101866453886032,0.36650770902633667,0.19267795979976654,0.19646020233631134,0.15445846319198608,0.08521947264671326,0.2332882136106491,0.13463157415390015,0.11769411712884903,0.12401245534420013
portion,0.42017096281051636,0.28316730260849,0.31845465302467346,0.19751599431037903,0.17213593423366547,0.16259044408798218,0.13958020508289337,0.1637127548456192,0.287394255399704,0.15285378694534302,0.11719609797000885
of,0.733189046382904,0.2778518795967102,1.0,0.343457967042923,0.29061198234558105,0.24155713617801666,0.205408975481987,0.3867455720901489,0.33290785551071167,0.2578314542770386,0.1826142966747284
the,1.0,0.35145696997642517,0.733189046382904,0.3845241069793701,0.29557526111602783,0.2727788984775543,0.2764727771282196,0.4565047025680542,0.42745697498321533,0.3609684407711029,0.22068053483963013
huguenots,0.30745792388916016,0.20253853499889374,0.27577435970306396,0.22766715288162231,0.9459913372993469,0.4672936797142029,0.22367891669273376,0.27856364846229553,0.22128188610076904,0.16438573598861694,0.16010338068008423
to,0.535392165184021,0.2706126868724823,0.41548454761505127,0.33159172534942627,0.24496324360370636,0.3264412581920624,0.2757633328437805,0.37890323996543884,0.455847829580307,0.23523004353046417,0.29463258385658264
settle,0.2943725883960724,0.09796129912137985,0.2614152729511261,0.26252198219299316,0.2685301601886749,0.529257595539093,0.16161930561065674,0.21107469499111176,0.3276752829551697,0.11967428028583527,0.19976577162742615
in,0.6662389636039734,0.3024539053440094,0.5696388483047485,0.3758552670478821,0.26198551058769226,0.22301137447357178,0.25098711252212524,0.44050168991088867,0.30808621644973755,0.3359307050704956,0.20430970191955566
the,1.0,0.35145696997642517,0.733189046382904,0.3845241069793701,0.29557526111602783,0.2727788984775543,0.2764727771282196,0.4565047025680542,0.42745697498321533,0.3609684407711029,0.22068053483963013
cape,0.2352786809206009,0.1526528000831604,0.23413194715976715,0.2824491560459137,0.23918122053146362,0.32888245582580566,0.13278049230575562,0.1771613359451294,0.17391739785671234,0.16343417763710022,0.10433043539524078
arrived,0.279670387506485,0.11664357781410217,0.2384427934885025,0.22840465605258942,0.29379802942276,0.4409622848033905,0.2095722258090973,0.3245880603790283,0.25085949897766113,0.15676580369472504,0.1681029200553894
between,0.39067012071609497,0.22219079732894897,0.3737983703613281,0.20217913389205933,0.22346898913383484,0.2437126338481903,0.03924611955881119,0.2667563259601593,0.2462156116962433,0.18525539338588715,0.12887074053287506
1688,0.11098330467939377,-0.03278699889779091,0.06287897378206253,0.09495995938777924,-0.044925056397914886,-0.07021693885326385,0.07108769565820694,0.08353635668754578,0.17087507247924805,0.11413215100765228,0.06432292610406876
and,0.5171257257461548,0.28545793890953064,0.5116966962814331,0.31402453780174255,0.2762077748775482,0.2779245972633362,0.284045547246933,0.3765919506549835,0.31309178471565247,0.2506658732891083,0.20544172823429108
1689,0.11863991618156433,0.044664736837148666,0.060958150774240494,0.028097275644540787,-0.038493573665618896,-0.06855952739715576,0.017155064269900322,0.015396465547382832,0.046013932675123215,0.04973120987415314,0.05400998890399933
in,0.6662389636039734,0.3024539053440094,0.5696388483047485,0.3758552670478821,0.26198551058769226,0.22301137447357178,0.25098711252212524,0.44050168991088867,0.30808621644973755,0.3359307050704956,0.20430970191955566
seven,0.28151169419288635,0.2784739136695862,0.273354172706604,0.13715340197086334,0.14747567474842072,0.105955570936203,0.15327808260917664,0.4133448898792267,0.15978287160396576,0.23835140466690063,0.1732930988073349
ships,0.279244989156723,0.17424535751342773,0.2382369190454483,0.14009931683540344,0.2543046474456787,0.46115297079086304,0.15244153141975403,0.26315590739250183,0.18164707720279694,0.13139280676841736,0.18477600812911987
as,0.48381632566452026,0.26786008477211,0.3886612355709076,0.24585270881652832,0.15821954607963562,0.20774362981319427,0.2829371988773346,0.3014480769634247,0.31749409437179565,0.28440728783607483,0.27043893933296204
part,0.527681291103363,0.21476125717163086,0.452393114566803,0.23838530480861664,0.1939619928598404,0.1592986136674881,0.10596060752868652,0.26263684034347534,0.3476244807243347,0.20301291346549988,0.08557961881160736
of,0.733189046382904,0.2778518795967102,1.0,0.343457967042923,0.29061198234558105,0.24155713617801666,0.205408975481987,0.3867455720901489,0.33290785551071167,0.2578314542770386,0.1826142966747284
the,1.0,0.35145696997642517,0.733189046382904,0.3845241069793701,0.29557526111602783,0.2727788984775543,0.2764727771282196,0.4565047025680542,0.42745697498321533,0.3609684407711029,0.22068053483963013
organised,0.2934150993824005,0.1813153326511383,0.27673259377479553,0.1629745215177536,0.25932878255844116,0.1868864893913269,0.17780978977680206,0.18167021870613098,0.17656099796295166,0.24843654036521912,0.12453324347734451
migration,0.3215121030807495,0.23131205141544342,0.27637460827827454,0.14472706615924835,0.2822641432285309,0.2702515423297882,0.1626265048980713,0.12454848736524582,0.24132461845874786,0.1675874888896942,0.1366364061832428
",",0.4933079481124878,0.2535701394081116,0.4946078956127167,0.36073189973831177,0.24752236902713776,0.22380682826042175,0.3096577823162079,0.38860568404197693,0.3087472915649414,0.28560417890548706,0.31091248989105225
but,0.4859698414802551,0.27500495314598083,0.39942997694015503,0.2431885451078415,0.24413850903511047,0.2716372311115265,0.37729206681251526,0.38354751467704773,0.5029441118240356,0.2701607942581177,0.27921953797340393
quite,0.3001116216182709,0.25844016671180725,0.2703956961631775,0.1879279613494873,0.1531931757926941,0.20178426802158356,0.2566561698913574,0.2176872044801712,0.4139309525489807,0.17290589213371277,0.2597154676914215
a,0.5829201340675354,0.2992287278175354,0.5052502155303955,0.3214259147644043,0.22502337396144867,0.16409318149089813,0.18412065505981445,0.3831600844860077,0.3320399522781372,0.29350247979164124,0.23916715383529663
few,0.34660017490386963,0.3553004264831543,0.2682102620601654,0.29734930396080017,0.17556032538414001,0.2314143180847168,0.2861917018890381,0.35943305492401123,0.2780759632587433,0.260651558637619,0.2334265559911728
arrived,0.279670387506485,0.11664357781410217,0.2384427934885025,0.22840465605258942,0.29379802942276,0.4409622848033905,0.2095722258090973,0.3245880603790283,0.25085949897766113,0.15676580369472504,0.1681029200553894
as,0.48381632566452026,0.26786008477211,0.3886612355709076,0.24585270881652832,0.15821954607963562,0.20774362981319427,0.2829371988773346,0.3014480769634247,0.31749409437179565,0.28440728783607483,0.27043893933296204
late,0.31481194496154785,0.18848778307437897,0.21690747141838074,0.24998606741428375,0.1328481137752533,0.22563712298870087,0.32834091782569885,0.32546740770339966,0.1576872020959854,0.2591397762298584,0.11339222639799118
as,0.48381632566452026,0.26786008477211,0.3886612355709076,0.24585270881652832,0.15821954607963562,0.20774362981319427,0.2829371988773346,0.3014480769634247,0.31749409437179565,0.28440728783607483,0.27043893933296204
