,which,one,of,fresno,'s,hotels,burned,down,?
among,0.3077724575996399,0.3877730369567871,0.3679063022136688,0.14480182528495789,0.01186611782759428,0.18483377993106842,0.1659059226512909,0.196394145488739,0.14343059062957764
them,0.4958057701587677,0.4273320138454437,0.34503093361854553,0.15008322894573212,0.025712676346302032,0.24710865318775177,0.24592123925685883,0.3945907652378082,0.35435691475868225
",",0.3658004403114319,0.3696635365486145,0.4946078956127167,0.2561432421207428,-0.0016132977325469255,0.20616306364536285,0.23157525062561035,0.23362469673156738,0.31091248989105225
the,0.6521818041801453,0.5514441132545471,0.733189046382904,0.22571885585784912,-0.01540423184633255,0.2037777304649353,0.27910104393959045,0.3325848877429962,0.22068053483963013
original,0.3607312738895416,0.35621145367622375,0.30228546261787415,0.1384359449148178,0.0564689077436924,0.13882490992546082,0.2033485621213913,0.2128400355577469,0.17256900668144226
fresno,0.14756552875041962,0.1632690131664276,0.1875009983778,1.0000001192092896,0.032067470252513885,0.2510073184967041,0.18977490067481995,0.09570533037185669,0.13224096596240997
county,0.1709478199481964,0.11895550042390823,0.2393190860748291,0.2867359220981598,-0.018623292446136475,0.20901457965373993,0.22853460907936096,0.12586556375026703,0.07680056244134903
courthouse,0.21537110209465027,0.1618654429912567,0.2979876697063446,0.33762025833129883,-0.08029074966907501,0.3595702648162842,0.3488980829715729,0.21372836828231812,0.15635086596012115
(,0.2589828372001648,0.2922096848487854,0.35032153129577637,0.188642680644989,0.0012731997994706035,0.11048039048910141,0.13924720883369446,0.14931032061576843,0.40561532974243164
demolished,0.2312709540128708,0.16583923995494843,0.24649691581726074,0.16828620433807373,-0.025960886850953102,0.27232125401496887,0.4727344214916229,0.28227290511131287,0.15856656432151794
),0.2758678197860718,0.31658053398132324,0.3680361211299896,0.20478583872318268,0.021107977256178856,0.1258498877286911,0.1543184220790863,0.1588357537984848,0.42300865054130554
",",0.3658004403114319,0.3696635365486145,0.4946078956127167,0.2561432421207428,-0.0016132977325469255,0.20616306364536285,0.23157525062561035,0.23362469673156738,0.31091248989105225
the,0.6521818041801453,0.5514441132545471,0.733189046382904,0.22571885585784912,-0.01540423184633255,0.2037777304649353,0.27910104393959045,0.3325848877429962,0.22068053483963013
