,when,is,the,warsaw,gallery,weekend,held,?
since,0.42774689197540283,0.3567592203617096,0.4054957628250122,0.2226824164390564,0.17322909832000732,0.2977199852466583,0.30853620171546936,0.2876587212085724
2011,0.07140792906284332,0.07836040109395981,0.07811610400676727,-0.046463921666145325,-0.045615848153829575,-0.02920335717499256,0.0700150579214096,0.005212190095335245
warsaw,0.1615014374256134,0.09741193056106567,0.23137180507183075,1.0,0.17563293874263763,0.15488530695438385,0.1729760617017746,0.09769917279481888
gallery,0.13951179385185242,0.15374112129211426,0.19251246750354767,0.17563293874263763,1.0,0.19022084772586823,0.24883949756622314,0.18202216923236847
weekend,0.17435544729232788,0.15539562702178955,0.19240649044513702,0.15488530695438385,0.19022084772586823,1.0,0.31447237730026245,0.29261621832847595
is,0.3471449911594391,1.0,0.5823672413825989,0.09741193056106567,0.15374112129211426,0.15539562702178955,0.19884860515594482,0.22961433231830597
held,0.1848648637533188,0.19884860515594482,0.32185450196266174,0.1729760617017746,0.24883949756622314,0.31447237730026245,1.0,0.14103956520557404
on,0.37706470489501953,0.3635730445384979,0.5107308030128479,0.19170401990413666,0.1865847259759903,0.31891369819641113,0.2410694807767868,0.2714994251728058
last,0.3294509947299957,0.2445172220468521,0.3698786795139313,0.12620431184768677,0.12129218131303787,0.2964406907558441,0.20021413266658783,0.22371746599674225
weekend,0.17435544729232788,0.15539562702178955,0.19240649044513702,0.15488530695438385,0.19022084772586823,1.0,0.31447237730026245,0.29261621832847595
of,0.3757161796092987,0.4854315221309662,0.733189046382904,0.19253842532634735,0.1971534639596939,0.08190958946943283,0.28960686922073364,0.1826142966747284
september,0.2483685463666916,0.2304503619670868,0.2516939043998718,0.22575141489505768,0.16278833150863647,0.27565717697143555,0.18129463493824005,0.2665146589279175
.,0.475719153881073,0.4569662809371948,0.5934505462646484,0.26825499534606934,0.21326512098312378,0.23360580205917358,0.2628571093082428,0.4130953550338745
