,what,system,was,adopted,for,education,?
between,0.2462156116962433,0.1696578860282898,0.24048170447349548,0.1572352945804596,0.24671313166618347,0.17897328734397888,0.12887074053287506
1964,-0.0811573788523674,0.06181224808096886,-0.10244843363761902,-0.0034311215858906507,0.013491551391780376,-0.06690914183855057,0.041380032896995544
and,0.31309178471565247,0.231138214468956,0.3740963041782379,0.18808485567569733,0.5064792633056641,0.308173805475235,0.20544172823429108
1985,0.07759413868188858,-0.030647099018096924,0.010012023150920868,-0.03791308403015137,0.010790123604238033,0.14416979253292084,-0.03005216084420681
",",0.3087472915649414,0.18439900875091553,0.45456063747406006,0.19488979876041412,0.4464869201183319,0.2718683183193207,0.31091248989105225
the,0.42745697498321533,0.3233085572719574,0.48711544275283813,0.23462533950805664,0.4739971458911896,0.23982903361320496,0.22068053483963013
7–4–2–3,0.10807541757822037,0.06323695927858353,0.16820991039276123,0.06969107687473297,0.1980634182691574,0.22681103646755219,0.023762304335832596
system,0.23557309806346893,1.0000001192092896,0.2147521674633026,0.1441238969564438,0.2630598843097687,0.1948843002319336,0.15556083619594574
was,0.22111038863658905,0.2147521674633026,1.0000001192092896,0.31838172674179077,0.3863949179649353,0.23187610507011414,0.18412111699581146
adopted,0.1504661738872528,0.1441238969564438,0.31838172674179077,1.0,0.20525452494621277,0.2334708869457245,0.14235380291938782
–,0.13008765876293182,0.11285022646188736,0.30754852294921875,0.16974438726902008,0.2408909648656845,0.149392232298851,0.2714554965496063
seven,0.15978287160396576,0.11631762981414795,0.28194957971572876,0.17318299412727356,0.22466500103473663,0.11146640032529831,0.1732930988073349
years,0.1981470286846161,0.16418379545211792,0.35855233669281006,0.25040462613105774,0.2878222167491913,0.24918466806411743,0.1914375126361847
of,0.33290785551071167,0.25597915053367615,0.4069072902202606,0.25312307476997375,0.4185989499092102,0.3015166223049164,0.1826142966747284
primary,0.2113915979862213,0.25969868898391724,0.16384649276733398,0.12552741169929504,0.2533470094203949,0.3644731044769287,0.16286636888980865
",",0.3087472915649414,0.18439900875091553,0.45456063747406006,0.19488979876041412,0.4464869201183319,0.2718683183193207,0.31091248989105225
four,0.18057085573673248,0.161275714635849,0.2866098880767822,0.23825986683368683,0.27783235907554626,0.17069323360919952,0.14532537758350372
years,0.1981470286846161,0.16418379545211792,0.35855233669281006,0.25040462613105774,0.2878222167491913,0.24918466806411743,0.1914375126361847
of,0.33290785551071167,0.25597915053367615,0.4069072902202606,0.25312307476997375,0.4185989499092102,0.3015166223049164,0.1826142966747284
lower,0.20079238712787628,0.21685558557510376,0.1138346716761589,0.09316327422857285,0.15945355594158173,0.21266406774520874,0.08471795171499252
secondary,0.20388361811637878,0.20522193610668182,0.12099137902259827,0.13745644688606262,0.2065851241350174,0.4472634196281433,0.18118004500865936
",",0.3087472915649414,0.18439900875091553,0.45456063747406006,0.19488979876041412,0.4464869201183319,0.2718683183193207,0.31091248989105225
two,0.23363454639911652,0.14671745896339417,0.27166637778282166,0.2274947315454483,0.34734001755714417,0.14526154100894928,0.19645625352859497
years,0.1981470286846161,0.16418379545211792,0.35855233669281006,0.25040462613105774,0.2878222167491913,0.24918466806411743,0.1914375126361847
of,0.33290785551071167,0.25597915053367615,0.4069072902202606,0.25312307476997375,0.4185989499092102,0.3015166223049164,0.1826142966747284
upper,0.1592642068862915,0.17121560871601105,0.16268539428710938,0.16088855266571045,0.12166716158390045,0.2005116045475006,0.051342256367206573
secondary,0.20388361811637878,0.20522193610668182,0.12099137902259827,0.13745644688606262,0.2065851241350174,0.4472634196281433,0.18118004500865936
",",0.3087472915649414,0.18439900875091553,0.45456063747406006,0.19488979876041412,0.4464869201183319,0.2718683183193207,0.31091248989105225
and,0.31309178471565247,0.231138214468956,0.3740963041782379,0.18808485567569733,0.5064792633056641,0.308173805475235,0.20544172823429108
three,0.24888746440410614,0.1660754680633545,0.2748996615409851,0.2278987616300583,0.3032672107219696,0.13937804102897644,0.20928427577018738
years,0.1981470286846161,0.16418379545211792,0.35855233669281006,0.25040462613105774,0.2878222167491913,0.24918466806411743,0.1914375126361847
of,0.33290785551071167,0.25597915053367615,0.4069072902202606,0.25312307476997375,0.4185989499092102,0.3015166223049164,0.1826142966747284
university,0.20256435871124268,0.16972410678863525,0.290752112865448,0.20479995012283325,0.18573740124702454,0.503289520740509,0.11887256056070328
.,0.3567904531955719,0.2277725487947464,0.40146201848983765,0.16039791703224182,0.4726039469242096,0.27047446370124817,0.4130953550338745
