,in,sept,1760,who,negotiated,a,capitulation,from,montreal,?
in,1.0,0.19940254092216492,0.1117415502667427,0.2792111933231354,0.2906990051269531,0.539380669593811,0.33680593967437744,0.4274188280105591,0.18092122673988342,0.20430970191955566
september,0.25402772426605225,0.42043623328208923,0.04916752502322197,0.21365830302238464,0.2643998861312866,0.21795299649238586,0.193837970495224,0.19398373365402222,0.21035273373126984,0.2665146589279175
1760,0.1117415502667427,0.1712951511144638,1.0,0.03620631992816925,0.13085144758224487,0.060718465596437454,0.20419961214065552,0.08623892068862915,0.1363859623670578,0.12722811102867126
",",0.5201468467712402,0.2839919626712799,0.12693288922309875,0.3365725874900818,0.20660267770290375,0.427140474319458,0.31039348244667053,0.39760664105415344,0.24191880226135254,0.31091248989105225
and,0.4954058527946472,0.16667884588241577,0.15359190106391907,0.41279885172843933,0.23920446634292603,0.3739250600337982,0.22050122916698456,0.3601827025413513,0.1864165961742401,0.20544172823429108
before,0.4155850410461426,0.16048410534858704,0.0631842166185379,0.31244513392448425,0.2614395022392273,0.3583870828151703,0.2341916710138321,0.38587698340415955,0.20390182733535767,0.2507109045982361
any,0.3135753571987152,0.08413244783878326,0.1748024970293045,0.29236510396003723,0.20737306773662567,0.45031747221946716,0.29978421330451965,0.24951094388961792,0.13606347143650055,0.4113408327102661
hostilities,0.22676371037960052,0.18202567100524902,0.18149958550930023,0.2495930939912796,0.48163408041000366,0.1754525750875473,0.33675339818000793,0.17662566900253296,0.14588308334350586,0.14715032279491425
erupted,0.2798374593257904,0.1231410875916481,0.06867130845785141,0.11990305781364441,0.17762470245361328,0.2025643289089203,0.2502709627151489,0.20645014941692352,0.15543042123317719,0.11324462294578552
",",0.5201468467712402,0.2839919626712799,0.12693288922309875,0.3365725874900818,0.20660267770290375,0.427140474319458,0.31039348244667053,0.39760664105415344,0.24191880226135254,0.31091248989105225
governor,0.19612561166286469,0.20787371695041656,0.04521847143769264,0.20484673976898193,0.22963948547840118,0.1417548954486847,0.2273465245962143,0.17470450699329376,0.1756344884634018,0.135940283536911
vaudreuil,0.282931387424469,0.351784884929657,0.32947319746017456,0.20052999258041382,0.1784018725156784,0.2685423195362091,0.2556498050689697,0.18221215903759003,0.40791055560112,0.19054962694644928
negotiated,0.2906990051269531,0.11465248465538025,0.13085144758224487,0.21122373640537262,1.0,0.22143876552581787,0.307822585105896,0.15403197705745697,0.1571321040391922,0.09223373234272003
from,0.4274188280105591,0.1816248744726181,0.08623892068862915,0.27839982509613037,0.15403197705745697,0.322764128446579,0.2470540851354599,1.0,0.1743229627609253,0.19969791173934937
montreal,0.18092122673988342,0.23271921277046204,0.1363859623670578,0.18394069373607635,0.1571321040391922,0.1820511817932129,0.16126319766044617,0.1743229627609253,1.0,0.13639995455741882
a,0.539380669593811,0.10911919176578522,0.060718465596437454,0.36608949303627014,0.22143876552581787,1.0,0.2762840688228607,0.322764128446579,0.1820511817932129,0.23916715383529663
capitulation,0.33680593967437744,0.14590175449848175,0.20419961214065552,0.16947981715202332,0.307822585105896,0.2762840688228607,1.0,0.2470540851354599,0.16126319766044617,0.20604896545410156
with,0.4080928862094879,0.08679623156785965,0.19270561635494232,0.3282766342163086,0.30734148621559143,0.3783375024795532,0.19205564260482788,0.26272761821746826,0.22356709837913513,0.2433311939239502
general,0.259066641330719,0.15247780084609985,0.11014151573181152,0.2461782991886139,0.19438262283802032,0.2157215178012848,0.23508211970329285,0.1645994782447815,0.12068101763725281,0.1972234547138214
amherst,0.31788772344589233,0.2627716362476349,0.13110603392124176,0.21949024498462677,0.15999062359333038,0.2316368818283081,0.2948673665523529,0.2507285177707672,0.3627932071685791,0.14774024486541748
.,0.5591574311256409,0.3195572793483734,0.16449762880802155,0.3541337847709656,0.198323056101799,0.50484299659729,0.2866551876068115,0.41536515951156616,0.22505514323711395,0.4130953550338745
