,what,version,of,the,english,translation,of,the,bible,did,luther,'s,translation,affect,?
it,0.45803478360176086,0.3319656252861023,0.38761502504348755,0.6251175999641418,0.2231159806251526,0.2212449461221695,0.38761502504348755,0.6251175999641418,0.25538355112075806,0.2993364930152893,0.15365919470787048,0.06608816236257553,0.2212449461221695,0.22605007886886597,0.25732165575027466
fostered,0.205365389585495,0.11163949966430664,0.26776400208473206,0.2980041205883026,0.2266855239868164,0.13559065759181976,0.26776400208473206,0.2980041205883026,0.16483323276042938,0.15977534651756287,0.1036779060959816,0.06302471458911896,0.13559065759181976,0.1482679545879364,0.17178767919540405
the,0.42745697498321533,0.27268242835998535,0.733189046382904,1.0,0.23982001841068268,0.26402729749679565,0.733189046382904,1.0,0.27647915482521057,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.26402729749679565,0.314972460269928,0.22068053483963013
development,0.19014155864715576,0.24453090131282806,0.28700894117355347,0.3362044394016266,0.1360219269990921,0.17375364899635315,0.28700894117355347,0.3362044394016266,0.18353617191314697,0.16852836310863495,0.07174760848283768,0.004789014346897602,0.17375364899635315,0.3467848598957062,0.1211358830332756
of,0.33290785551071167,0.14166875183582306,1.0,0.733189046382904,0.17198967933654785,0.18704865872859955,1.0,0.733189046382904,0.25664499402046204,0.2513895630836487,0.1719115972518921,-0.03817026689648628,0.18704865872859955,0.3070525825023651,0.1826142966747284
a,0.3320399522781372,0.27132871747016907,0.5052502155303955,0.5829201340675354,0.21707510948181152,0.21946357190608978,0.5052502155303955,0.5829201340675354,0.15878930687904358,0.2552328109741211,0.17967689037322998,0.04866964742541313,0.21946357190608978,0.20271271467208862,0.23916715383529663
standard,0.22809998691082,0.3520631194114685,0.2296806275844574,0.29008856415748596,0.2231394648551941,0.20239734649658203,0.2296806275844574,0.29008856415748596,0.2334880232810974,0.15843048691749573,0.11501801759004593,-0.011532524600625038,0.20239734649658203,0.26695823669433594,0.17029257118701935
version,0.20755547285079956,1.0000001192092896,0.14166875183582306,0.27268242835998535,0.2753444015979767,0.42185109853744507,0.14166875183582306,0.27268242835998535,0.33069539070129395,0.21677692234516144,0.18143774569034576,-0.009124638512730598,0.42185109853744507,0.13343583047389984,0.2573966085910797
of,0.33290785551071167,0.14166875183582306,1.0,0.733189046382904,0.17198967933654785,0.18704865872859955,1.0,0.733189046382904,0.25664499402046204,0.2513895630836487,0.1719115972518921,-0.03817026689648628,0.18704865872859955,0.3070525825023651,0.1826142966747284
the,0.42745697498321533,0.27268242835998535,0.733189046382904,1.0,0.23982001841068268,0.26402729749679565,0.733189046382904,1.0,0.27647915482521057,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.26402729749679565,0.314972460269928,0.22068053483963013
german,0.1960553526878357,0.17686030268669128,0.2122138887643814,0.256483793258667,0.415692001581192,0.19319815933704376,0.2122138887643814,0.256483793258667,0.20066101849079132,0.2048940509557724,0.28169330954551697,0.07066776603460312,0.19319815933704376,0.07874148339033127,0.13978645205497742
language,0.28220435976982117,0.23587697744369507,0.25272229313850403,0.30198320746421814,0.4612087905406952,0.40156617760658264,0.25272229313850403,0.30198320746421814,0.3281344771385193,0.1788339912891388,0.12746912240982056,-0.03558342531323433,0.40156617760658264,0.2619220018386841,0.25349316000938416
