,in,what,year,did,the,university,first,see,a,drop,in,applications,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.4127444326877594,0.2973747253417969,0.539380669593811,0.18230557441711426,1.0,0.2334391176700592,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.263973206281662,0.49448907375335693,0.3770301640033722,0.5829201340675354,0.2759656608104706,0.6662389636039734,0.23664557933807373,0.22068053483963013
early,0.34672921895980835,0.2454567849636078,0.22533860802650452,0.32047218084335327,0.34442198276519775,0.15928985178470612,0.4007106125354767,0.13548029959201813,0.2710886299610138,0.16775698959827423,0.34672921895980835,0.2311762422323227,0.15272949635982513
1950s,0.26312577724456787,0.2998310923576355,0.1768297553062439,0.3492051362991333,0.3424292504787445,0.21646328270435333,0.29731088876724243,0.23886296153068542,0.34951528906822205,0.262892484664917,0.26312577724456787,0.1773069202899933,0.16557677090168
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.3017033040523529,0.34503069519996643,0.35306161642074585,0.427140474319458,0.21217185258865356,0.5201468467712402,0.29862213134765625,0.31091248989105225
student,0.254856139421463,0.20548318326473236,0.24777936935424805,0.17656166851520538,0.21259291470050812,0.46536099910736084,0.23948314785957336,0.17812630534172058,0.3207114636898041,0.15276938676834106,0.254856139421463,0.20594818890094757,0.13282090425491333
applications,0.2334391176700592,0.20821766555309296,0.1568620353937149,0.1447269320487976,0.23664557933807373,0.18592429161071777,0.167597696185112,0.2612578272819519,0.2877165377140045,0.2816402316093445,0.2334391176700592,1.0,0.19125857949256897
declined,0.25098711252212524,0.21339869499206543,0.28388774394989014,0.3516852855682373,0.2764727771282196,0.11593565344810486,0.21612027287483215,0.2535605728626251,0.18412065505981445,0.19345587491989136,0.25098711252212524,0.17232553660869598,0.17974776029586792
as,0.3887844979763031,0.31749409437179565,0.28440728783607483,0.3596470057964325,0.48381632566452026,0.21858684718608856,0.33842000365257263,0.3243166506290436,0.39550232887268066,0.2204866260290146,0.3887844979763031,0.212767094373703,0.27043893933296204
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.20256656408309937,0.4287874400615692,0.3039536476135254,1.0,0.26995548605918884,0.539380669593811,0.2877165377140045,0.23916715383529663
result,0.25670310854911804,0.19945499300956726,0.19740116596221924,0.2026577889919281,0.27778977155685425,0.08028028160333633,0.18566511571407318,0.2939661741256714,0.2767398953437805,0.27736979722976685,0.25670310854911804,0.2313128113746643,0.17218433320522308
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.733189046382904,0.30646374821662903,0.3536086082458496,0.33962661027908325,0.5052502155303955,0.1734435260295868,0.5696388483047485,0.24918507039546967,0.1826142966747284
increasing,0.2580164670944214,0.2066856026649475,0.1790672242641449,0.16384060680866241,0.34958165884017944,0.15622280538082123,0.161896750330925,0.2293105125427246,0.2511899173259735,0.2987852990627289,0.2580164670944214,0.26653969287872314,0.0681626945734024
crime,0.22510747611522675,0.24425745010375977,0.20048807561397552,0.18921169638633728,0.2052120864391327,0.11104946583509445,0.11497903615236282,0.17552940547466278,0.22928372025489807,0.21743926405906677,0.22510747611522675,0.07388555258512497,0.2067868858575821
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.5171257257461548,0.2665814459323883,0.3167642652988434,0.367068350315094,0.3739250600337982,0.2385902851819992,0.4954058527946472,0.2504773437976837,0.20544172823429108
poverty,0.26252827048301697,0.20925714075565338,0.1422068178653717,0.146656334400177,0.20494918525218964,0.1611134111881256,0.10397914797067642,0.19980014860630035,0.19118662178516388,0.13517186045646667,0.26252827048301697,0.1528981626033783,0.16537553071975708
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.4127444326877594,0.2973747253417969,0.539380669593811,0.18230557441711426,1.0,0.2334391176700592,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.263973206281662,0.49448907375335693,0.3770301640033722,0.5829201340675354,0.2759656608104706,0.6662389636039734,0.23664557933807373,0.22068053483963013
hyde,0.23714761435985565,0.14748896658420563,0.10157331079244614,0.21468432247638702,0.2556402087211609,0.17534923553466797,0.27248233556747437,0.1036147028207779,0.2406734824180603,0.14644761383533478,0.23714761435985565,0.15138861536979675,0.14295879006385803
park,0.22758090496063232,0.13500720262527466,0.19919338822364807,0.12431816756725311,0.24748283624649048,0.2525845468044281,0.22013017535209656,0.09371837228536606,0.2207280695438385,0.06691338121891022,0.22758090496063232,0.1635984629392624,0.13508929312229156
neighborhood,0.20924240350723267,0.12062139064073563,0.18850010633468628,0.09432718902826309,0.20152483880519867,0.19067342579364777,0.13111189007759094,0.09909742325544357,0.22184410691261292,0.04842817783355713,0.20924240350723267,0.1304440051317215,0.048473283648490906
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.5934505462646484,0.290679007768631,0.4345304071903229,0.3851161599159241,0.50484299659729,0.2864284813404083,0.5591574311256409,0.2639653980731964,0.4130953550338745
