,were,the,restored,tapes,able,to,have,color,added,to,them,to,enhance,the,picture,or,did,they,remain,black,and,white,?
the,0.3906462490558624,1.0,0.29931989312171936,0.2105327844619751,0.3435857892036438,0.535392165184021,0.40389683842658997,0.21895472705364227,0.3207796514034271,0.535392165184021,0.4788833558559418,0.535392165184021,0.20015929639339447,1.0,0.31755533814430237,0.4174870550632477,0.34736719727516174,0.49925389885902405,0.33184581995010376,0.28466513752937317,0.5171257257461548,0.25492873787879944,0.22068053483963013
restored,0.2514154613018036,0.29931989312171936,1.0,0.2590710520744324,0.28200849890708923,0.2595904469490051,0.2564258277416229,0.09484214335680008,0.3435746133327484,0.2595904469490051,0.23116466403007507,0.2595904469490051,0.14822641015052795,0.29931989312171936,0.20475465059280396,0.19985200464725494,0.22396154701709747,0.190689817070961,0.4037293493747711,0.08090481907129288,0.25671181082725525,0.07795561850070953,0.1778445541858673
video,0.17028473317623138,0.2506899833679199,0.1651637703180313,0.3953835666179657,0.1810002624988556,0.18658137321472168,0.2139592170715332,0.19015957415103912,0.12714792788028717,0.18658137321472168,0.24438944458961487,0.18658137321472168,0.27793875336647034,0.2506899833679199,0.29529282450675964,0.18382734060287476,0.16985929012298584,0.1884607970714569,0.11329982429742813,0.1466376632452011,0.22093096375465393,0.10440652072429657,0.22771678864955902
",",0.36755475401878357,0.4933079481124878,0.24934202432632446,0.1773630827665329,0.28725793957710266,0.44245919585227966,0.3541618287563324,0.20653429627418518,0.28397712111473083,0.44245919585227966,0.3985835015773773,0.44245919585227966,0.15132740139961243,0.4933079481124878,0.21603867411613464,0.3769497275352478,0.3015086054801941,0.390799880027771,0.23353272676467896,0.23807229101657867,0.6633074283599854,0.27337658405303955,0.31091248989105225
remaining,0.3991833031177521,0.45105910301208496,0.34674063324928284,0.12854577600955963,0.3320132791996002,0.3465334177017212,0.3514479696750641,0.12587140500545502,0.27189141511917114,0.3465334177017212,0.404215008020401,0.3465334177017212,0.25189778208732605,0.45105910301208496,0.13176383078098297,0.2674029767513275,0.27409452199935913,0.337417870759964,0.6631647944450378,0.10815552622079849,0.34621065855026245,0.178239107131958,0.16961920261383057
in,0.3815755248069763,0.6662389636039734,0.22816066443920135,0.18297863006591797,0.23456627130508423,0.45010748505592346,0.36843645572662354,0.10136925429105759,0.26384392380714417,0.45010748505592346,0.29119014739990234,0.45010748505592346,0.1250447779893875,0.6662389636039734,0.24315592646598816,0.3586423695087433,0.2593238651752472,0.4330179989337921,0.2372020184993744,0.20407067239284515,0.4954058527946472,0.1821274310350418,0.20430970191955566
black,0.1622566133737564,0.28466513752937317,0.08090481907129288,0.20220130681991577,0.15561604499816895,0.23292754590511322,0.22332455217838287,0.35015174746513367,0.10846199095249176,0.23292754590511322,0.2322283834218979,0.23292754590511322,0.14994016289710999,0.28466513752937317,0.18805091083049774,0.2541639804840088,0.14310608804225922,0.23608162999153137,0.05357962101697922,1.0,0.24407927691936493,0.6371033191680908,0.15159966051578522
and,0.42175528407096863,0.5171257257461548,0.25671181082725525,0.2145281732082367,0.3303895890712738,0.48971283435821533,0.4711785912513733,0.21500243246555328,0.29847657680511475,0.48971283435821533,0.48717668652534485,0.48971283435821533,0.2690582275390625,0.5171257257461548,0.20889809727668762,0.4713204801082611,0.34479495882987976,0.5073080658912659,0.28385093808174133,0.24407927691936493,1.0,0.2696375846862793,0.20544172823429108
white,0.20375953614711761,0.25492873787879944,0.07795561850070953,0.19709616899490356,0.16519466042518616,0.23700939118862152,0.21639792621135712,0.32437393069267273,0.15283405780792236,0.23700939118862152,0.244920015335083,0.23700939118862152,0.17435979843139648,0.25492873787879944,0.1831337958574295,0.24258503317832947,0.1683805286884308,0.2811111807823181,0.12721283733844757,0.6371033191680908,0.2696375846862793,1.0,0.124679796397686
",",0.36755475401878357,0.4933079481124878,0.24934202432632446,0.1773630827665329,0.28725793957710266,0.44245919585227966,0.3541618287563324,0.20653429627418518,0.28397712111473083,0.44245919585227966,0.3985835015773773,0.44245919585227966,0.15132740139961243,0.4933079481124878,0.21603867411613464,0.3769497275352478,0.3015086054801941,0.390799880027771,0.23353272676467896,0.23807229101657867,0.6633074283599854,0.27337658405303955,0.31091248989105225
