,how,long,does,it,take,to,get,to,the,middle,of,newcastle,from,its,outskirts,when,riding,the,rails,?
it,0.36714982986450195,0.34568047523498535,0.34188351035118103,0.9999999403953552,0.27032700181007385,0.513711154460907,0.2993776202201843,0.513711154460907,0.6251175999641418,0.24598756432533264,0.38761502504348755,0.17789338529109955,0.325604110956192,0.5786119699478149,0.2478501796722412,0.4775012135505676,0.16948048770427704,0.6251175999641418,0.2352728694677353,0.25732165575027466
is,0.22544461488723755,0.28473302721977234,0.4403602182865143,0.6328473687171936,0.22669753432273865,0.42745086550712585,0.29207053780555725,0.42745086550712585,0.5823672413825989,0.21621397137641907,0.4854315221309662,0.1841045320034027,0.27355384826660156,0.4447362422943115,0.24243749678134918,0.3471449911594391,0.20072978734970093,0.5823672413825989,0.19172078371047974,0.22961433231830597
connected,0.18171964585781097,0.20405344665050507,0.20881067216396332,0.26872825622558594,0.13141164183616638,0.2315610647201538,0.16391699016094208,0.2315610647201538,0.31369513273239136,0.20153145492076874,0.2951911687850952,0.06594400107860565,0.23603110015392303,0.20460474491119385,0.26525694131851196,0.2092495858669281,0.12725195288658142,0.31369513273239136,0.36718446016311646,0.11086785048246384
to,0.44169697165489197,0.30218687653541565,0.4391997456550598,0.513711154460907,0.4075521230697632,1.0,0.4388369917869568,1.0,0.535392165184021,0.2015334814786911,0.41548454761505127,0.23559264838695526,0.4069952368736267,0.3691340684890747,0.180349200963974,0.5423505902290344,0.20592302083969116,0.535392165184021,0.2179355025291443,0.29463258385658264
the,0.33890387415885925,0.3075225353240967,0.35928019881248474,0.6251175999641418,0.31620436906814575,0.535392165184021,0.29667025804519653,0.535392165184021,1.0,0.3405749201774597,0.733189046382904,0.2253497689962387,0.40150508284568787,0.559237003326416,0.2740437090396881,0.5091903209686279,0.2104644775390625,1.0,0.2029203325510025,0.22068053483963013
city,0.12024712562561035,0.177640900015831,0.10004369169473648,0.3001909852027893,0.181010439991951,0.20300441980361938,0.1543910801410675,0.20300441980361938,0.35769423842430115,0.20624801516532898,0.32503411173820496,0.32860881090164185,0.3118290305137634,0.3465842306613922,0.3991163671016693,0.19592350721359253,0.16694375872612,0.35769423842430115,0.17207516729831696,0.13423943519592285
via,0.13460594415664673,0.20604795217514038,0.11708846688270569,0.22836729884147644,0.17062973976135254,0.27847176790237427,0.20843076705932617,0.27847176790237427,0.23979412019252777,0.10915219038724899,0.1293322592973709,0.17067094147205353,0.24748080968856812,0.05037503316998482,0.19229061901569366,0.24114570021629333,0.07307785004377365,0.23979412019252777,0.1766233742237091,0.19443516433238983
the,0.33890387415885925,0.3075225353240967,0.35928019881248474,0.6251175999641418,0.31620436906814575,0.535392165184021,0.29667025804519653,0.535392165184021,1.0,0.3405749201774597,0.733189046382904,0.2253497689962387,0.40150508284568787,0.559237003326416,0.2740437090396881,0.5091903209686279,0.2104644775390625,1.0,0.2029203325510025,0.22068053483963013
metro,0.10284798592329025,0.1213579922914505,0.11642738431692123,0.21758104860782623,0.14480537176132202,0.17760074138641357,0.07567370682954788,0.17760074138641357,0.18014898896217346,0.10622965544462204,0.1791107952594757,0.15731719136238098,0.20873109996318817,0.21018795669078827,0.38717272877693176,0.12205445766448975,0.18622790277004242,0.18014898896217346,0.2870868146419525,0.15922676026821136
light,0.29295584559440613,0.23601804673671722,0.1665857434272766,0.2782151997089386,0.22946876287460327,0.22474321722984314,0.18875737488269806,0.22474321722984314,0.2649136185646057,0.16320833563804626,0.18257063627243042,0.10103492438793182,0.22130177915096283,0.19857388734817505,0.25052961707115173,0.24681223928928375,0.1474951207637787,0.2649136185646057,0.25874122977256775,0.17429810762405396
