,what,monument,is,in,memory,of,the,largest,insurrection,of,wwii,?
another,0.4190070629119873,0.17907552421092987,0.41278526186943054,0.3397690951824188,0.19067303836345673,0.38147079944610596,0.5019711852073669,0.20938348770141602,0.1686714142560959,0.38147079944610596,0.17094871401786804,0.295511931180954
important,0.31164905428886414,0.26880577206611633,0.350485235452652,0.3796374499797821,0.17760403454303741,0.43301743268966675,0.39348116517066956,0.3188871443271637,0.11480818688869476,0.43301743268966675,0.1898665875196457,0.17812499403953552
monument,0.16629868745803833,0.9999999403953552,0.2182770073413849,0.24587227404117584,0.27393874526023865,0.23529943823814392,0.23366175591945648,0.22111007571220398,0.2401159256696701,0.23529943823814392,0.2115938514471054,0.1146806851029396
",",0.3087472915649414,0.20374365150928497,0.4691906273365021,0.5201468467712402,0.14977091550827026,0.4946078956127167,0.4933079481124878,0.26626327633857727,0.18609647452831268,0.4946078956127167,0.19326148927211761,0.31091248989105225
the,0.42745697498321533,0.23366175591945648,0.5823672413825989,0.6662389636039734,0.1785092055797577,0.733189046382904,1.0,0.3757036626338959,0.2910209894180298,0.733189046382904,0.26334160566329956,0.22068053483963013
statue,0.07594400644302368,0.5057560205459595,0.200333371758461,0.17760419845581055,0.20624560117721558,0.2287396490573883,0.21746210753917694,0.21488057076931,0.22255420684814453,0.2287396490573883,0.1302701085805893,0.08672746270895004
of,0.33290785551071167,0.23529943823814392,0.4854315221309662,0.5696388483047485,0.17919406294822693,1.0,0.733189046382904,0.36650770902633667,0.2683432400226593,1.0,0.18575458228588104,0.1826142966747284
little,0.2614184617996216,0.1397230178117752,0.23436859250068665,0.22515349090099335,0.13846078515052795,0.20116642117500305,0.2412613034248352,0.09989427030086517,0.11856874823570251,0.20116642117500305,0.17306867241859436,0.20336517691612244
insurgent,0.19382913410663605,0.14497064054012299,0.15207388997077942,0.2106817364692688,0.11995150148868561,0.2130366563796997,0.248968243598938,0.17713160812854767,0.5493811964988708,0.2130366563796997,0.40261462330818176,0.12513381242752075
located,0.2034616470336914,0.2826957106590271,0.35717159509658813,0.35149815678596497,0.13038767874240875,0.32520920038223267,0.407527357339859,0.37509143352508545,0.11832061409950256,0.32520920038223267,0.1468726247549057,0.08983194828033447
at,0.2838611304759979,0.19046592712402344,0.25906258821487427,0.4374977946281433,0.10988222062587738,0.42558613419532776,0.457212895154953,0.17044749855995178,0.16816174983978271,0.42558613419532776,0.12639330327510834,0.21978627145290375
the,0.42745697498321533,0.23366175591945648,0.5823672413825989,0.6662389636039734,0.1785092055797577,0.733189046382904,1.0,0.3757036626338959,0.2910209894180298,0.733189046382904,0.26334160566329956,0.22068053483963013
ramparts,0.23628415167331696,0.2994188666343689,0.23338443040847778,0.20666435360908508,0.13489794731140137,0.29617127776145935,0.34215784072875977,0.21431131660938263,0.2547416388988495,0.29617127776145935,0.1694032847881317,0.10576679557561874
of,0.33290785551071167,0.23529943823814392,0.4854315221309662,0.5696388483047485,0.17919406294822693,1.0,0.733189046382904,0.36650770902633667,0.2683432400226593,1.0,0.18575458228588104,0.1826142966747284
the,0.42745697498321533,0.23366175591945648,0.5823672413825989,0.6662389636039734,0.1785092055797577,0.733189046382904,1.0,0.3757036626338959,0.2910209894180298,0.733189046382904,0.26334160566329956,0.22068053483963013
old,0.22117848694324493,0.20263326168060303,0.24332627654075623,0.2865324318408966,0.1494886726140976,0.30522194504737854,0.31849798560142517,0.10063324868679047,0.1586976796388626,0.30522194504737854,0.21011070907115936,0.20577076077461243
town,0.19713185727596283,0.2689918279647827,0.30097827315330505,0.34975525736808777,0.12319639325141907,0.26585668325424194,0.2974243760108948,0.2161252647638321,0.18621665239334106,0.26585668325424194,0.17058174312114716,0.09902279824018478
",",0.3087472915649414,0.20374365150928497,0.4691906273365021,0.5201468467712402,0.14977091550827026,0.4946078956127167,0.4933079481124878,0.26626327633857727,0.18609647452831268,0.4946078956127167,0.19326148927211761,0.31091248989105225
commemorates,0.08336523920297623,0.4339506924152374,0.24824048578739166,0.3413720428943634,0.3328821063041687,0.30555829405784607,0.3377683758735657,0.253056138753891,0.34109559655189514,0.30555829405784607,0.2535751461982727,0.1053490936756134
the,0.42745697498321533,0.23366175591945648,0.5823672413825989,0.6662389636039734,0.1785092055797577,0.733189046382904,1.0,0.3757036626338959,0.2910209894180298,0.733189046382904,0.26334160566329956,0.22068053483963013
children,0.22469459474086761,0.19899678230285645,0.15495672821998596,0.2065156251192093,0.167173832654953,0.1978350728750229,0.15654058754444122,0.13492374122142792,0.16147908568382263,0.1978350728750229,0.17257674038410187,0.21788206696510315
who,0.40942975878715515,0.15605571866035461,0.24293622374534607,0.2792111933231354,0.17716307938098907,0.2827862501144409,0.3733934462070465,0.12422340363264084,0.213869109749794,0.2827862501144409,0.17844155430793762,0.26220351457595825
served,0.1271134465932846,0.16805395483970642,0.21776750683784485,0.24299493432044983,0.1010507270693779,0.2967056334018707,0.25209251046180725,0.20250022411346436,0.21369116008281708,0.2967056334018707,0.162674680352211,0.117141492664814
as,0.31749409437179565,0.16568654775619507,0.43216490745544434,0.3887844979763031,0.12827107310295105,0.3886612355709076,0.48381632566452026,0.1819920688867569,0.16316427290439606,0.3886612355709076,0.1961502730846405,0.27043893933296204
messengers,0.22576728463172913,0.06057528406381607,0.16049824655056,0.19190974533557892,0.17512564361095428,0.2098473310470581,0.2832241356372833,0.11318976432085037,0.16654138267040253,0.2098473310470581,0.07430604100227356,0.15207652747631073
and,0.31309178471565247,0.18470770120620728,0.3859752118587494,0.4954058527946472,0.20261503756046295,0.5116966962814331,0.5171257257461548,0.24602696299552917,0.17656072974205017,0.5116966962814331,0.20593219995498657,0.20544172823429108
