,in,what,year,did,nikola,tesla,emigrate,to,the,united,states,?
tesla,0.17097744345664978,0.23221199214458466,0.1455472707748413,0.09757418930530548,0.5656248331069946,0.9999999403953552,0.15707260370254517,0.17548894882202148,0.1324402391910553,0.1552019715309143,0.17635658383369446,0.10250775516033173
gained,0.2935055196285248,0.15457381308078766,0.11285152286291122,0.2939504086971283,0.11913199722766876,0.2018451988697052,0.13659413158893585,0.22058042883872986,0.29543522000312805,0.23471371829509735,0.248657688498497,0.11261032521724701
experience,0.19806437194347382,0.3894727826118469,0.16810964047908783,0.2411177009344101,0.1368405520915985,0.23926784098148346,0.19525490701198578,0.25535836815834045,0.21682339906692505,0.17249204218387604,0.19226029515266418,0.25203612446784973
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.11547333002090454,0.17097744345664978,0.2956639528274536,0.45010748505592346,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
telephony,0.26129165291786194,0.2220737338066101,0.1142132580280304,0.15577323734760284,0.2022235095500946,0.3377399444580078,0.14014126360416412,0.27052682638168335,0.2518288791179657,0.22218769788742065,0.21663977205753326,0.14779767394065857
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.1761501580476761,0.19560420513153076,0.22909003496170044,0.48971283435821533,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.20544172823429108
electrical,0.2146623730659485,0.19961315393447876,0.1168355718255043,0.12294142693281174,0.26995140314102173,0.45727142691612244,0.0863242894411087,0.2649001479148865,0.2523402273654938,0.16479429602622986,0.1464807391166687,0.10923371464014053
engineering,0.2634803354740143,0.1897483468055725,0.1297389417886734,0.14655107259750366,0.1423400193452835,0.31800028681755066,0.14669126272201538,0.21773739159107208,0.23901307582855225,0.23063026368618011,0.21341769397258759,0.16555240750312805
before,0.4155850410461426,0.3801657259464264,0.3268006145954132,0.33642593026161194,0.11396864801645279,0.14506052434444427,0.23719295859336853,0.4190867841243744,0.45900648832321167,0.2543083131313324,0.23412185907363892,0.2507109045982361
emigrating,0.33440110087394714,0.2456328123807907,0.1548123061656952,0.17718683183193207,0.21505166590213776,0.23259085416793823,0.8302226662635803,0.3138192296028137,0.3192072808742523,0.31828585267066956,0.3135095536708832,0.14666429162025452
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.09627079218626022,0.17548894882202148,0.3268754184246063,1.0,0.535392165184021,0.2715383470058441,0.2828785181045532,0.29463258385658264
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.1146918535232544,0.1324402391910553,0.22921960055828094,0.535392165184021,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
united,0.3938477039337158,0.20036718249320984,0.23911906778812408,0.21137088537216187,0.1459662914276123,0.1552019715309143,0.30549049377441406,0.2715383470058441,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.17266890406608582
states,0.3977442979812622,0.21526020765304565,0.24276629090309143,0.21754568815231323,0.13040342926979065,0.17635658383369446,0.3129997253417969,0.2828785181045532,0.3463578522205353,0.8952266573905945,1.0,0.16272737085819244
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.11547333002090454,0.17097744345664978,0.2956639528274536,0.45010748505592346,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
1884,0.06194859743118286,-0.09389782696962357,-0.0630902498960495,-0.019103914499282837,0.1375509798526764,0.029632732272148132,0.13830086588859558,0.0789077877998352,0.07194139063358307,0.05140275880694389,0.1082279309630394,-0.08445221930742264
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.09627079218626022,0.17548894882202148,0.3268754184246063,1.0,0.535392165184021,0.2715383470058441,0.2828785181045532,0.29463258385658264
work,0.2753349542617798,0.3762225806713104,0.18683093786239624,0.336654931306839,0.18190892040729523,0.2545209228992462,0.3036620616912842,0.3482864499092102,0.2704800069332123,0.13603049516677856,0.14620256423950195,0.2621155381202698
for,0.4322226941585541,0.3017193675041199,0.29294124245643616,0.318512886762619,0.16655883193016052,0.13983871042728424,0.19506493210792542,0.4451248347759247,0.4739971458911896,0.30487096309661865,0.2496437132358551,0.264628142118454
thomas,0.21133768558502197,0.1806955188512802,0.1567562371492386,0.20728807151317596,0.19989247620105743,0.21892967820167542,0.1172449067234993,0.1928519904613495,0.23505409061908722,0.1532033234834671,0.12428610771894455,0.16133050620555878
edison,0.22187061607837677,0.15105706453323364,0.16835036873817444,0.1372239738702774,0.21929745376110077,0.35526686906814575,0.11920975893735886,0.21176284551620483,0.25419825315475464,0.2525595724582672,0.269476056098938,0.10244420915842056
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.11547333002090454,0.17097744345664978,0.2956639528274536,0.45010748505592346,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
new,0.3758552670478821,0.2130378633737564,0.25045546889305115,0.227974995970726,0.09467387944459915,0.15999311208724976,0.244027778506279,0.33159172534942627,0.3845241069793701,0.3118351995944977,0.2868576645851135,0.14782847464084625
york,0.2961827218532562,0.15652963519096375,0.22226636111736298,0.16606222093105316,0.13036438822746277,0.15629629790782928,0.28746238350868225,0.22230617702007294,0.3034006953239441,0.3543524742126465,0.34004098176956177,0.15262620151042938
city,0.3911624252796173,0.17493832111358643,0.24964560568332672,0.12266099452972412,0.06883786618709564,0.13220614194869995,0.25291183590888977,0.20300441980361938,0.35769423842430115,0.3402864933013916,0.33636292815208435,0.13423943519592285
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.16399122774600983,0.17949827015399933,0.25590071082115173,0.4645031690597534,0.5934505462646484,0.3406063914299011,0.33941102027893066,0.4130953550338745
