,what,did,tesla,'s,device,work,from,the,output,of,?
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,-0.037580832839012146,0.16225403547286987,0.2753349542617798,0.4274188280105591,0.6662389636039734,0.15088461339473724,0.5696388483047485,0.20430970191955566
march,0.20529508590698242,0.27992504835128784,0.1457514613866806,-0.036253921687603,0.16118133068084717,0.2583886384963989,0.23610013723373413,0.2680487632751465,0.10897590965032578,0.20692677795886993,0.2802562415599823
1896,0.11299002915620804,0.23122188448905945,0.13362865149974823,-0.032892126590013504,0.21884368360042572,0.1792636215686798,0.134107306599617,0.29002413153648376,0.11950807273387909,0.1831727921962738,0.05348491296172142
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.13617408275604248,0.3283594250679016,0.39760664105415344,0.4933079481124878,0.20966894924640656,0.4946078956127167,0.31091248989105225
after,0.21973377466201782,0.30330467224121094,0.0752151682972908,-0.055672239512205124,0.1485559195280075,0.13635344803333282,0.4051513373851776,0.4565047025680542,0.13602416217327118,0.3867455720901489,0.16608688235282898
hearing,0.34058091044425964,0.26051026582717896,0.24375475943088531,0.044985927641391754,0.2804233133792877,0.17552714049816132,0.1683407425880432,0.22072359919548035,0.17898821830749512,0.23290106654167175,0.19994913041591644
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,-0.03817026689648628,0.17168864607810974,0.23473061621189117,0.4249346852302551,0.733189046382904,0.15243679285049438,1.0,0.1826142966747284
wilhelm,0.19761525094509125,0.1907045841217041,0.25783807039260864,0.06356336176395416,0.18740086257457733,0.15665371716022491,0.14257845282554626,0.19754266738891602,0.13618098199367523,0.22128090262413025,0.12678855657577515
röntgen,0.17986534535884857,0.19253376126289368,0.32189181447029114,-0.04835933819413185,0.2407953143119812,0.27268341183662415,0.24593162536621094,0.3291729986667633,0.17568103969097137,0.3298545479774475,0.19019243121147156
's,0.02692362666130066,0.05069678649306297,0.06449045985937119,0.9999999403953552,0.041711531579494476,-0.03332063928246498,-0.01936490088701248,-0.01540423184633255,0.03475746139883995,-0.03817026689648628,-0.023395681753754616
discovery,0.16559629142284393,0.14172746241092682,0.19655756652355194,-0.09045044332742691,0.21481908857822418,0.2643250524997711,0.13837124407291412,0.29877567291259766,0.19313080608844757,0.2566966712474823,0.11594310402870178
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,-0.03817026689648628,0.17168864607810974,0.23473061621189117,0.4249346852302551,0.733189046382904,0.15243679285049438,1.0,0.1826142966747284
x-ray,0.24739032983779907,0.23021014034748077,0.07060568034648895,0.03043914958834648,0.19700269401073456,0.14610430598258972,0.11980848759412766,0.256484717130661,0.2016146034002304,0.19506630301475525,0.26398539543151855
and,0.31309178471565247,0.34479495882987976,0.19560420513153076,0.06895173341035843,0.15071305632591248,0.37551814317703247,0.3601827025413513,0.5171257257461548,0.2404075562953949,0.5116966962814331,0.20544172823429108
x-ray,0.24739032983779907,0.23021014034748077,0.07060568034648895,0.03043914958834648,0.19700269401073456,0.14610430598258972,0.11980848759412766,0.256484717130661,0.2016146034002304,0.19506630301475525,0.26398539543151855
imaging,0.2268199324607849,0.1540277749300003,0.29163673520088196,0.014660782180726528,0.4058854579925537,0.30321910977363586,0.14398638904094696,0.19243761897087097,0.27510711550712585,0.2478860467672348,0.0898628756403923
(,0.2411840260028839,0.18979617953300476,0.2156914919614792,0.0012731997994706035,0.10604002326726913,0.22960703074932098,0.25806233286857605,0.33289089798927307,0.18807610869407654,0.35032153129577637,0.40561532974243164
radiography,0.26185622811317444,0.20611554384231567,0.27407652139663696,0.015934983268380165,0.3041948974132538,0.3525759279727936,0.19183135032653809,0.19834567606449127,0.21498166024684906,0.24665740132331848,0.17347325384616852
),0.26259949803352356,0.18584993481636047,0.22692398726940155,0.021107977256178856,0.11770573258399963,0.251366525888443,0.2672361731529236,0.3456730246543884,0.19735705852508545,0.3680361211299896,0.42300865054130554
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.13617408275604248,0.3283594250679016,0.39760664105415344,0.4933079481124878,0.20966894924640656,0.4946078956127167,0.31091248989105225
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.06449045985937119,0.3621044158935547,0.2545209228992462,0.10324860364198685,0.1324402391910553,0.295663446187973,0.18837453424930573,0.10250775516033173
proceeded,0.27625489234924316,0.3054560720920563,0.11048620939254761,-0.10751664638519287,0.23524947464466095,0.26654893159866333,0.2164221554994583,0.28474119305610657,0.24374768137931824,0.2392881065607071,0.15368618071079254
to,0.455847829580307,0.4452643394470215,0.17548894882202148,0.03782717138528824,0.2965817153453827,0.3482864499092102,0.4069952368736267,0.535392165184021,0.24095958471298218,0.41548454761505127,0.29463258385658264
do,0.4609605669975281,0.5246143937110901,0.13880622386932373,-0.01994597539305687,0.22297438979148865,0.3533625304698944,0.20424067974090576,0.30239659547805786,0.19805578887462616,0.26150479912757874,0.4093979299068451
his,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.047556519508361816,0.1749366968870163,0.36648666858673096,0.3195365369319916,0.4394008219242096,0.0778580754995346,0.38364991545677185,0.18075084686279297
own,0.35062843561172485,0.34475913643836975,0.17710740864276886,-0.0030622677877545357,0.1854088008403778,0.33226919174194336,0.23242637515068054,0.334675133228302,0.1291082799434662,0.3269667625427246,0.1937696635723114
experiments,0.3106561601161957,0.2717590034008026,0.29793205857276917,-0.0008199171279557049,0.29906120896339417,0.4124527871608734,0.186936616897583,0.21008943021297455,0.2773039937019348,0.16935081779956818,0.14564716815948486
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,-0.037580832839012146,0.16225403547286987,0.2753349542617798,0.4274188280105591,0.6662389636039734,0.15088461339473724,0.5696388483047485,0.20430970191955566
x-ray,0.24739032983779907,0.23021014034748077,0.07060568034648895,0.03043914958834648,0.19700269401073456,0.14610430598258972,0.11980848759412766,0.256484717130661,0.2016146034002304,0.19506630301475525,0.26398539543151855
imaging,0.2268199324607849,0.1540277749300003,0.29163673520088196,0.014660782180726528,0.4058854579925537,0.30321910977363586,0.14398638904094696,0.19243761897087097,0.27510711550712585,0.2478860467672348,0.0898628756403923
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.13617408275604248,0.3283594250679016,0.39760664105415344,0.4933079481124878,0.20966894924640656,0.4946078956127167,0.31091248989105225
developing,0.22094523906707764,0.21685825288295746,0.19485853612422943,-0.02905133366584778,0.20952430367469788,0.38021719455718994,0.21542595326900482,0.3203009068965912,0.17952027916908264,0.27299609780311584,0.1301516592502594
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.04866964742541313,0.3107774555683136,0.266241192817688,0.322764128446579,0.5829201340675354,0.17850732803344727,0.5052502155303955,0.23916715383529663
high,0.20466077327728271,0.15957149863243103,0.2007197141647339,-0.04658069461584091,0.23632663488388062,0.1812952160835266,0.193696990609169,0.28034812211990356,0.18524137139320374,0.2803038954734802,0.11137914657592773
