,where,can,ctenophores,be,found,in,large,amounts,?
ctenophores,0.15624114871025085,0.3193504512310028,1.0,0.23367419838905334,0.32198694348335266,0.1814151555299759,0.32397639751434326,0.35367292165756226,0.2054179310798645
may,0.23215454816818237,0.43584567308425903,0.23303748667240143,0.45514434576034546,0.1953253149986267,0.3424151837825775,0.17708203196525574,0.216044619679451,0.2768254578113556
be,0.3651217818260193,0.5791122913360596,0.23367419838905334,1.0,0.23313552141189575,0.3481820821762085,0.2907196581363678,0.325001984834671,0.3324260413646698
abundant,0.23284128308296204,0.22132115066051483,0.427273154258728,0.2833958864212036,0.33998388051986694,0.21504533290863037,0.3665969669818878,0.37242522835731506,0.13836130499839783
during,0.3543127477169037,0.1645900309085846,0.19254276156425476,0.24990400671958923,0.119338758289814,0.4627237319946289,0.218748077750206,0.2552817165851593,0.1325719803571701
the,0.5003893971443176,0.312528520822525,0.2543465793132782,0.4248143136501312,0.3452354073524475,0.6662389636039734,0.3828733265399933,0.2816965878009796,0.22068053483963013
summer,0.2592296600341797,0.1685040295124054,0.14763116836547852,0.15315558016300201,0.14277662336826324,0.31081318855285645,0.14267532527446747,0.14829523861408234,0.11625723540782928
months,0.2565062642097473,0.23342326283454895,0.15126821398735046,0.27389517426490784,0.20292367041110992,0.27186378836631775,0.1846727728843689,0.15959255397319794,0.2804218530654907
in,0.5344807505607605,0.26527702808380127,0.1814151555299759,0.3481820821762085,0.39141854643821716,1.0,0.2841601073741913,0.2579386234283447,0.20430970191955566
some,0.39480453729629517,0.5319128632545471,0.3641049563884735,0.49956634640693665,0.3385355472564697,0.4010399878025055,0.3944830894470215,0.44582292437553406,0.2562315762042999
coastal,0.25423139333724976,0.14049947261810303,0.27554091811180115,0.14474183320999146,0.23492838442325592,0.2924878001213074,0.31335049867630005,0.23279772698879242,0.13777320086956024
locations,0.4026567041873932,0.2908288538455963,0.17070941627025604,0.2794824540615082,0.2279001921415329,0.36845505237579346,0.2655089795589447,0.24429936707019806,0.14570996165275574
",",0.3149496018886566,0.3139454126358032,0.19362998008728027,0.39254459738731384,0.27385151386260986,0.5201468467712402,0.2263888567686081,0.23585352301597595,0.31091248989105225
but,0.49101024866104126,0.4161612093448639,0.24390928447246552,0.5764366984367371,0.32550859451293945,0.48674455285072327,0.26450419425964355,0.29436618089675903,0.27921953797340393
in,0.5344807505607605,0.26527702808380127,0.1814151555299759,0.3481820821762085,0.39141854643821716,1.0,0.2841601073741913,0.2579386234283447,0.20430970191955566
other,0.3730994164943695,0.454561322927475,0.2790910303592682,0.4629868268966675,0.2849148213863373,0.39989137649536133,0.353826105594635,0.3316204845905304,0.24682199954986572
places,0.44862592220306396,0.34986719489097595,0.22474892437458038,0.32110077142715454,0.26325929164886475,0.3709096312522888,0.27001550793647766,0.30908510088920593,0.17623652517795563
they,0.43078136444091797,0.47909218072891235,0.38561221957206726,0.4858434796333313,0.3030489683151245,0.4330179989337921,0.3571751117706299,0.392985075712204,0.2753053903579712
are,0.32389864325523376,0.5408529043197632,0.35426098108291626,0.5556803941726685,0.2740558087825775,0.3841303884983063,0.3467932939529419,0.361055463552475,0.24591213464736938
uncommon,0.2828887701034546,0.34040313959121704,0.2612422704696655,0.28275904059410095,0.2280007004737854,0.22283607721328735,0.23475679755210876,0.2426982820034027,0.22410981357097626
and,0.43859338760375977,0.3675691485404968,0.20973104238510132,0.41766801476478577,0.27978911995887756,0.4954058527946472,0.3404269814491272,0.33048760890960693,0.20544172823429108
difficult,0.3255346715450287,0.44322800636291504,0.2438623011112213,0.374691903591156,0.23254141211509705,0.2128705233335495,0.36335012316703796,0.2715578079223633,0.20408590137958527
to,0.47735077142715454,0.4979398250579834,0.2038351595401764,0.4972836375236511,0.25225648283958435,0.45010748505592346,0.3150999844074249,0.3106820285320282,0.29463258385658264
find,0.36891716718673706,0.38054314255714417,0.218995600938797,0.3459516167640686,0.411496639251709,0.2040027230978012,0.2090807855129242,0.26371514797210693,0.30313602089881897
.,0.41390106081962585,0.35783761739730835,0.22269779443740845,0.4383580684661865,0.3618174195289612,0.5591574311256409,0.2304532378911972,0.2320205122232437,0.4130953550338745
,where,can,ctenophores,be,found,in,large,amounts,?
in,0.5344807505607605,0.26527702808380127,0.1814151555299759,0.3481820821762085,0.39141854643821716,1.0,0.2841601073741913,0.2579386234283447,0.20430970191955566
bays,0.23780319094657898,0.247140035033226,0.2783697545528412,0.21177250146865845,0.2029469907283783,0.1823759227991104,0.30479779839515686,0.2128167748451233,0.13760831952095032
where,0.9999999403953552,0.3773181736469269,0.15624114871025085,0.3651217818260193,0.2867223024368286,0.5344807505607605,0.33358052372932434,0.2569367289543152,0.24793872237205505
they,0.43078136444091797,0.47909218072891235,0.38561221957206726,0.4858434796333313,0.3030489683151245,0.4330179989337921,0.3571751117706299,0.392985075712204,0.2753053903579712
occur,0.2437029927968979,0.3453861474990845,0.36737361550331116,0.3403855562210083,0.3248732388019562,0.26916563510894775,0.19938071072101593,0.3308388888835907,0.17999543249607086
in,0.5344807505607605,0.26527702808380127,0.1814151555299759,0.3481820821762085,0.39141854643821716,1.0,0.2841601073741913,0.2579386234283447,0.20430970191955566
very,0.36831510066986084,0.3976881802082062,0.2460808902978897,0.4292002320289612,0.30070754885673523,0.3209688663482666,0.40810373425483704,0.37168222665786743,0.20864155888557434
high,0.26466572284698486,0.24255423247814178,0.1212068721652031,0.1991795301437378,0.16688138246536255,0.2652597725391388,0.2578596770763397,0.2241855412721634,0.11137914657592773
numbers,0.23721979558467865,0.32231637835502625,0.30005496740341187,0.2776923179626465,0.1933557093143463,0.23087690770626068,0.34294047951698303,0.3713832199573517,0.19297972321510315
",",0.3149496018886566,0.3139454126358032,0.19362998008728027,0.39254459738731384,0.27385151386260986,0.5201468467712402,0.2263888567686081,0.23585352301597595,0.31091248989105225
predation,0.11846589297056198,0.3136350214481354,0.5476491451263428,0.2970317304134369,0.2502002716064453,0.22676971554756165,0.3535657823085785,0.34027981758117676,0.20364801585674286
by,0.2641284465789795,0.29642900824546814,0.13966427743434906,0.43158695101737976,0.17248263955116272,0.370934396982193,0.2555539309978485,0.18336957693099976,0.17966607213020325
ctenophores,0.15624114871025085,0.3193504512310028,1.0,0.23367419838905334,0.32198694348335266,0.1814151555299759,0.32397639751434326,0.35367292165756226,0.2054179310798645
may,0.23215454816818237,0.43584567308425903,0.23303748667240143,0.45514434576034546,0.1953253149986267,0.3424151837825775,0.17708203196525574,0.216044619679451,0.2768254578113556
control,0.23649609088897705,0.20071545243263245,0.22009630501270294,0.21166473627090454,0.13738124072551727,0.24831421673297882,0.20379868149757385,0.162849560379982,0.1620711386203766
the,0.5003893971443176,0.312528520822525,0.2543465793132782,0.4248143136501312,0.3452354073524475,0.6662389636039734,0.3828733265399933,0.2816965878009796,0.22068053483963013
populations,0.1923121213912964,0.24503934383392334,0.39032894372940063,0.22982792556285858,0.21780632436275482,0.29535284638404846,0.3290034234523773,0.3169887065887451,0.17519071698188782
of,0.38066378235816956,0.2603091299533844,0.2626190483570099,0.33904364705085754,0.2982911467552185,0.5696388483047485,0.3569655418395996,0.25878721475601196,0.1826142966747284
small,0.33669906854629517,0.304699569940567,0.34023144841194153,0.2888108789920807,0.2775862216949463,0.3722202181816101,0.7174716591835022,0.3758622705936432,0.13914890587329865
zooplanktonic,0.20433591306209564,0.33725616335868835,0.6950557827949524,0.282906174659729,0.2591596245765686,0.2535386383533478,0.36276641488075256,0.34440433979034424,0.20534299314022064
organisms,0.20966456830501556,0.31675317883491516,0.6084904670715332,0.2677736282348633,0.24145568907260895,0.21345661580562592,0.2783084809780121,0.3836466073989868,0.22621455788612366
such,0.3198639750480652,0.396209716796875,0.3131811022758484,0.5239806771278381,0.22653555870056152,0.2704046070575714,0.3375214636325836,0.33702418208122253,0.17851735651493073
as,0.35409465432167053,0.3245031237602234,0.23381571471691132,0.5230465531349182,0.20543651282787323,0.3887844979763031,0.24282054603099823,0.2134210169315338,0.27043893933296204
copepods,0.2394455224275589,0.34623193740844727,0.6847136616706848,0.2957165837287903,0.2988940477371216,0.21126314997673035,0.4155813753604889,0.3765489161014557,0.18471437692642212
",",0.3149496018886566,0.3139454126358032,0.19362998008728027,0.39254459738731384,0.27385151386260986,0.5201468467712402,0.2263888567686081,0.23585352301597595,0.31091248989105225
which,0.5477990508079529,0.41132649779319763,0.37328192591667175,0.476310670375824,0.25134438276290894,0.4840516746044159,0.46308431029319763,0.3927643299102783,0.25814583897590637
might,0.35553544759750366,0.6426551342010498,0.32310083508491516,0.5260229706764221,0.2647128701210022,0.26443570852279663,0.3139502704143524,0.3398709297180176,0.41058459877967834
otherwise,0.3683772087097168,0.47109806537628174,0.3013495206832886,0.5183118581771851,0.24108289182186127,0.25651246309280396,0.257167786359787,0.2866118252277374,0.29367905855178833
wipe,0.18263192474842072,0.3133493959903717,0.16893170773983002,0.26146912574768066,0.16355709731578827,0.12498656660318375,0.23583157360553741,0.23931168019771576,0.2617027163505554
out,0.4094439148902893,0.33329886198043823,0.16258008778095245,0.3626708686351776,0.22100472450256348,0.3576207756996155,0.24965140223503113,0.31678321957588196,0.22020699083805084
the,0.5003893971443176,0.312528520822525,0.2543465793132782,0.4248143136501312,0.3452354073524475,0.6662389636039734,0.3828733265399933,0.2816965878009796,0.22068053483963013
phytoplankton,0.23842953145503998,0.3264620900154114,0.6683948040008545,0.28678271174430847,0.24853406846523285,0.26219967007637024,0.3549686670303345,0.36704713106155396,0.21467401087284088
